event_id,roi,lon,lat,area_ha,radd_any,clear_post,s1_post,ang_2020_2021_deg,tau,registered
C1743,CG1,29.391,1.099,1.251,2021-01-15,31.468,78.097,40.413,16.309,1
C1744,CG1,29.401,1.017,1.52,2021-02-18,26.329,73.284,46.782,16.309,1
C1745,CG1,29.401,1.08,1.162,2021-03-14,27.99,68.29,54.004,16.309,1
C1746,CG1,29.407,1.085,1.877,2021-01-03,34.048,80.419,31.756,16.309,1
C1747,CG1,29.413,1.073,1.162,2021-07-26,16.302,36.613,38.859,16.309,1
C1748,CG1,29.415,1.05,1.341,2021-01-27,27.999,75.774,51.346,16.309,1
C1749,CG1,29.418,1.059,1.073,2021-01-15,32.149,78.097,37.443,16.309,1
C1750,CG1,29.423,1.091,1.073,2021-01-27,31.601,75.774,38.996,16.309,1
C1751,CG1,29.449,1.082,1.251,2022-09-17,0.0,0.0,36.777,16.309,1
C1752,CG1,29.455,1.102,1.251,2021-02-20,30.482,72.143,38.811,16.309,1
C1753,CG1,29.46,1.104,1.073,2021-02-08,29.779,73.857,45.186,16.309,1
C1754,CG1,29.465,1.102,4.29,2021-02-06,27.238,74.143,34.435,16.309,1
C1755,CG1,29.468,1.038,1.43,2021-02-08,28.32,73.857,41.078,16.309,1
C1756,CG1,29.467,1.103,1.43,2021-01-15,28.32,78.097,45.953,16.309,1
C1757,CG1,29.468,1.094,1.341,2021-01-03,33.799,80.419,36.744,16.309,1
C1758,CG1,29.47,1.102,1.073,2021-03-28,24.918,65.581,37.244,16.309,1
C1759,CG1,29.472,1.094,1.073,2021-01-01,34.469,80.806,34.982,16.309,1
C1760,CG1,29.487,0.98,1.073,2021-03-02,25.914,79.484,28.8,16.309,1
C1761,CG1,29.496,1.052,1.341,2021-02-18,23.475,72.429,36.381,16.309,1
C1762,CG1,29.505,1.076,1.519,2021-01-15,28.048,78.097,41.449,16.309,1
C1763,CG1,29.508,1.045,1.341,2021-01-25,23.925,76.161,35.773,16.309,1
C1764,CG1,29.509,1.052,1.877,2021-02-20,23.345,72.143,40.227,16.309,1
C1765,CG1,29.512,1.047,1.162,2021-01-01,30.772,80.806,47.294,16.309,1
