B11_2019,B11_2020,B12_2019,B12_2020,B2_2019,B2_2020,B3_2019,B3_2020,B4_2019,B4_2020,B8_2019,B8_2020,NBR_2019,NBR_2020,NDVI_2019,NDVI_2020,angle_deg,strat,lon,lat,roi,s2_angle
0.4311000108718872,0.42500001192092896,0.3734999895095825,0.32919999957084656,0.12700000405311584,0.11479999870061874,0.17739999294281006,0.1589999943971634,0.2542000114917755,0.21559999883174896,0.33079999685287476,0.32339999079704285,-0.060627564787864685,-0.00888754054903984,0.13094013929367065,0.19999998807907104,21.215893400561047,0,42.95595466637672,6.811430726072065,ET_somali,7.924134648637745
0.3790000081062317,0.3684999942779541,0.33649998903274536,0.29919999837875366,0.09189999848604202,0.09130000323057175,0.1306000053882599,0.13199999928474426,0.21160000562667847,0.2046000063419342,0.2750000059604645,0.26759999990463257,-0.10057233273983002,-0.055751584470272064,0.13029181957244873,0.1334180235862732,16.333872406941847,0,43.05566766291399,6.719982230148698,ET_somali,4.41495927795544
0.4065000116825104,0.4153499901294708,0.35647499561309814,0.35323333740234375,0.09650000184774399,0.09551333636045456,0.14820000529289246,0.15215714275836945,0.24979999661445618,0.24455000460147858,0.30880001187324524,0.3129749894142151,-0.0716620683670044,-0.06042906641960144,0.10562121868133545,0.12272989749908447,14.771861176227315,0,42.94472572532523,7.043824890073786,ET_somali,1.8695266061319336
0.4246000051498413,0.4219000041484833,0.35569998621940613,0.33480000495910645,0.1225999966263771,0.12160000205039978,0.17759999632835388,0.1770000010728836,0.24959999322891235,0.2409999966621399,0.3176000118255615,0.3199999928474426,-0.05658692121505737,-0.022602340206503868,0.11988719552755356,0.1408199667930603,18.321521887265906,0,43.06689660396548,6.840086983635478,ET_somali,3.5168468447070156
0.4544999897480011,0.4264500141143799,0.40059998631477356,0.3687500059604645,0.10050000250339508,0.09764999896287918,0.15620000660419464,0.14560000598430634,0.2337999939918518,0.20999999344348907,0.30640000104904175,0.29170000553131104,-0.1332390159368515,-0.1166628822684288,0.13439467549324036,0.16284634172916412,18.839929422973718,0,43.095283366943654,7.041399438806663,ET_somali,3.174738791847891
0.39606666564941406,0.3919000029563904,0.32876667380332947,0.31360000371932983,0.08817777782678604,0.0926833301782608,0.12664000689983368,0.13147999346256256,0.19766665995121002,0.1898999959230423,0.2721666693687439,0.27889999747276306,-0.09418682754039764,-0.0585654117166996,0.1585668921470642,0.18984642624855042,15.502284974406628,0,42.8017139320934,6.841883614203717,ET_somali,4.464444004578746
0.49904999136924744,0.4980500042438507,0.45713332295417786,0.443366676568985,0.11037500202655792,0.11509999632835388,0.17520000040531158,0.18243999779224396,0.29946666955947876,0.294979989528656,0.37400001287460327,0.3716000020503998,-0.1000240370631218,-0.08806087076663971,0.11067117005586624,0.11494496464729309,15.19321337271327,0,42.77961537610406,6.992890413464209,ET_somali,1.2805748335480407
0.4278999865055084,0.4166499972343445,0.3655500113964081,0.3305000066757202,0.10809999704360962,0.10909999907016754,0.15870000422000885,0.15780000388622284,0.23899999260902405,0.22360000014305115,0.3084999918937683,0.30630001425743103,-0.08463766425848007,-0.03800249844789505,0.12694063782691956,0.15606720745563507,18.206176368155308,0,43.04291158587949,6.666712133800411,ET_somali,4.978662643545556
0.4169999957084656,0.42274999618530273,0.35499998927116394,0.350600004196167,0.12219999730587006,0.12687499821186066,0.1808999925851822,0.18514999747276306,0.2637999951839447,0.2632000148296356,0.3350285589694977,0.3421199917793274,-0.028942903503775597,-0.012241615913808346,0.11894650757312775,0.13037727773189545,15.915263575790265,0,42.87330966023772,7.090177958734353,ET_somali,1.721946812564638
0.4093500077724457,0.39489999413490295,0.36114999651908875,0.32989999651908875,0.09759999811649323,0.09799999743700027,0.14550000429153442,0.14499999582767487,0.2378000020980835,0.23960000276565552,0.2994999885559082,0.3043999969959259,-0.09331720322370529,-0.04020179808139801,0.11483339965343475,0.11911763995885849,15.449314640158784,0,43.058362608766345,6.975373265423879,ET_somali,4.824788540851773
0.3256250023841858,0.2732749879360199,0.22795000672340393,0.16979464888572693,0.09099999815225601,0.07266666740179062,0.12404000014066696,0.10468000173568726,0.16468000411987305,0.11833333224058151,0.27219998836517334,0.2687000036239624,0.08847342431545258,0.22555658221244812,0.246108740568161,0.38851091265678406,15.263858904958802,0,42.672176868123366,6.656022181919388,ET_somali,20.068466236156876
0.40572500228881836,0.399260014295578,0.3416999876499176,0.3250555694103241,0.1020750030875206,0.09851666539907455,0.14720000326633453,0.1453000009059906,0.21412500739097595,0.20999999344348907,0.2910250127315521,0.29385000467300415,-0.08009004592895508,-0.05042055994272232,0.15223202109336853,0.16641859710216522,15.997323370981011,0,42.62465598959344,6.75959793417837,ET_somali,3.01334037407856
0.40597501397132874,0.41350001096725464,0.3325749933719635,0.31839999556541443,0.10163749754428864,0.10466666519641876,0.15326666831970215,0.15413333475589752,0.24115000665187836,0.225600004196167,0.31690001487731934,0.3160000145435333,-0.024134844541549683,-0.0037830721121281385,0.13574053347110748,0.16691286861896515,22.117625198022672,0,42.861901056129405,6.668688427425474,ET_somali,3.577680968960178
0.4359000027179718,0.4219000041484833,0.35589998960494995,0.32690000534057617,0.12370000034570694,0.11940000206232071,0.18170000612735748,0.1736000031232834,0.2671999931335449,0.2443999946117401,0.3416000008583069,0.3384000062942505,-0.020501775667071342,0.017285436391830444,0.1222076341509819,0.16129034757614136,17.35927286276094,0,43.03509624290765,6.700219293898069,ET_somali,4.848468509666766
0.47119998931884766,0.45570001006126404,0.4136500060558319,0.38589999079704285,0.12030000239610672,0.11420000344514847,0.179299995303154,0.1688999980688095,0.2718999981880188,0.2515000104904175,0.35019999742507935,0.3310000002384186,-0.08306606113910675,-0.07657970488071442,0.12586401402950287,0.1364806592464447,19.582781925391547,0,43.05809311418111,6.612992879810063,ET_somali,1.5883879733760757
0.5121999979019165,0.5134999752044678,0.43529999256134033,0.4185500144958496,0.16660000383853912,0.1598999947309494,0.23399999737739563,0.22120000422000885,0.3163999915122986,0.2915000021457672,0.39399999380111694,0.37689998745918274,-0.04980103671550751,-0.05236033350229263,0.10923423618078232,0.12776778638362885,17.993384577402747,0,43.0242266279698,6.91976754933688,ET_somali,2.1651972528151613
0.44429999589920044,0.3990499973297119,0.36039999127388,0.2959499955177307,0.10899999737739563,0.08754999935626984,0.1501999944448471,0.12479999661445618,0.2093999981880188,0.1647000014781952,0.30640000104904175,0.28290000557899475,-0.08098378777503967,-0.022544683888554573,0.18805739283561707,0.26407507061958313,22.93020244840495,0,42.882652139192565,6.60131478111651,ET_somali,9.873826565744293
0.4108999967575073,0.4083249866962433,0.3377000093460083,0.3252499997615814,0.09849999845027924,0.10379999876022339,0.14139999449253082,0.14773333072662354,0.19840000569820404,0.20069999992847443,0.2809999883174896,0.29607999324798584,-0.0916438028216362,-0.04694768786430359,0.17229866981506348,0.19199644029140472,19.63162632851344,0,42.79955797541151,6.73938584028568,ET_somali,4.454699137405389
0.47714999318122864,0.43869999051094055,0.38019999861717224,0.3325999975204468,0.1665000021457672,0.15039999783039093,0.22840000689029694,0.20239999890327454,0.3050000071525574,0.25440001487731934,0.3813000023365021,0.3472000062465668,0.0014445222914218903,0.02147691696882248,0.11117586493492126,0.15425530076026917,21.896192736775333,0,42.99134828857103,6.600775791946038,ET_somali,4.748703361535328
0.4556199908256531,0.4172999858856201,0.3824250102043152,0.3191800117492676,0.11913000047206879,0.1046999990940094,0.17470000684261322,0.15360000729560852,0.25870001316070557,0.20613333582878113,0.32760000228881836,0.30935001373291016,-0.07721560448408127,-0.015639662742614746,0.11751660704612732,0.20023280382156372,21.82477821809111,0,42.85399588162915,6.889763818847288,ET_somali,9.540112655744714
0.4503333270549774,0.4591499865055084,0.38545000553131104,0.4000999927520752,0.09632500261068344,0.10740000009536743,0.1516333371400833,0.16699999570846558,0.2489333301782608,0.26460000872612,0.32385000586509705,0.3395000100135803,-0.08684618771076202,-0.08193615823984146,0.13079409301280975,0.12398609519004822,16.770380331122038,0,42.78365779488259,7.031967128323408,ET_somali,1.579721891335483
0.4263499975204468,0.4065999984741211,0.3591499924659729,0.32120001316070557,0.10610000044107437,0.1031000018119812,0.15289999544620514,0.14589999616146088,0.22709999978542328,0.19820000231266022,0.2994999885559082,0.29280000925064087,-0.09056404232978821,-0.046254076063632965,0.13748574256896973,0.19266803562641144,18.826230126530195,0,43.05530833680034,6.690427657301166,ET_somali,6.634672479231132
0.3972874879837036,0.3637250065803528,0.32456666231155396,0.2820200026035309,0.08885714411735535,0.0771000012755394,0.1279333382844925,0.11448000371456146,0.19644999504089355,0.1573600023984909,0.27530667185783386,0.257099986076355,-0.08211731910705566,-0.04622350633144379,0.1671553999185562,0.24065044522285461,19.18219617264789,0,42.616840646621604,6.612543722168003,ET_somali,8.964693701684823
0.49935001134872437,0.49810001254081726,0.45809999108314514,0.44519999623298645,0.10689999908208847,0.11400000005960464,0.164900004863739,0.17800000309944153,0.2793000042438507,0.2784000039100647,0.3596000075340271,0.38519999384880066,-0.12045980989933014,-0.07225433737039566,0.12568476796150208,0.16094030439853668,21.508679306778394,0,42.97670574943988,6.960101905593847,ET_somali,4.493623520557784
0.38199999928474426,0.36649999022483826,0.29794999957084656,0.26249998807907104,0.09103333204984665,0.08489000052213669,0.1239200010895729,0.11708000302314758,0.16509999334812164,0.1451999992132187,0.24906666576862335,0.2460249960422516,-0.08936351537704468,-0.03239760547876358,0.20273643732070923,0.2577161490917206,18.551323294009464,0,42.686909238782924,6.632935479117517,ET_somali,8.21452364588058
