cls,cnt_202012,cnt_202101,cnt_202102,cnt_202103,cnt_202104,cnt_202105,cnt_202106,cnt_202107,cnt_202108,cnt_202109,cnt_202110,cnt_202111,cnt_202112,cnt_202201,lat,lon,nbr_202012,nbr_202101,nbr_202102,nbr_202103,nbr_202104,nbr_202105,nbr_202106,nbr_202107,nbr_202108,nbr_202109,nbr_202110,nbr_202111,nbr_202112,nbr_202201,ndvi_202012,ndvi_202101,ndvi_202102,ndvi_202103,ndvi_202104,ndvi_202105,ndvi_202106,ndvi_202107,ndvi_202108,ndvi_202109,ndvi_202110,ndvi_202111,ndvi_202112,ndvi_202201
1,10,12,8,2,4,9,12,10,16,7,8,6,6,11,0.85847500126882,23.831271425114167,0.28595486283302307,0.2752450704574585,0.24727748334407806,0.22875817120075226,0.42922666668891907,0.3597523272037506,0.36828893423080444,0.39940598607063293,0.4376818835735321,0.4147750735282898,0.5389431715011597,0.5317570567131042,0.5370086431503296,0.6008492708206177,0.546375036239624,0.5138529539108276,0.5306485891342163,0.5599427819252014,0.6028004288673401,0.6040905714035034,0.4855412542819977,0.45206812024116516,0.6632996797561646,0.7003968358039856,0.7814176082611084,0.7979974150657654,0.3993981182575226,0.7509434223175049
1,2,2,3,2,0,2,4,2,4,2,0,2,2,1,0.6632710900296477,23.934487851259497,0.5172629356384277,0.357498437166214,0.18453724682331085,0.08098974078893661,-9.0,-0.014039192348718643,0.26628854870796204,0.3019043803215027,0.39836013317108154,0.36153915524482727,-9.0,0.4081479012966156,0.45220687985420227,0.4870738983154297,0.7495946884155273,0.5697067975997925,0.5388563275337219,0.2906758785247803,-9.0,0.45867589116096497,0.6361036896705627,0.6728268265724182,0.7365776300430298,0.5681165456771851,-9.0,0.6119109392166138,0.5384394526481628,0.7347211241722107
1,10,9,10,4,2,12,11,8,12,6,2,2,4,6,0.7556179012371338,23.771892784833867,0.5329221487045288,0.38372448086738586,0.23135271668434143,0.06073662266135216,0.02310509979724884,0.1882520318031311,0.33314138650894165,0.1840258240699768,0.2371964305639267,0.3219747543334961,0.3853456676006317,0.4560196101665497,0.5187274813652039,0.515080988407135,0.7305231690406799,0.6752767562866211,0.5856735706329346,0.5071089863777161,0.49516162276268005,0.581539511680603,0.6885485053062439,0.16476190090179443,0.5741274356842041,0.5349779725074768,0.7532347440719604,0.5972696542739868,0.5829959511756897,0.5351808071136475
1,5,10,2,0,3,6,6,0,4,2,6,0,4,5,0.8372747605635986,23.44939759783496,0.40154311060905457,0.16428343951702118,0.17765000462532043,-9.0,-0.03424223139882088,-0.10085806995630264,-0.14932547509670258,-9.0,0.17848217487335205,0.21323749423027039,0.12403678894042969,-9.0,0.33324772119522095,0.36742034554481506,0.648776650428772,0.49734368920326233,0.48918718099594116,-9.0,0.43341177701950073,0.33919966220855713,0.36332008242607117,-9.0,0.5204479694366455,0.4204067289829254,0.5880597233772278,-9.0,0.6385732293128967,0.7030400037765503
1,6,4,4,0,1,6,4,2,0,2,6,0,0,6,0.9440844478454088,23.76803002911216,0.6219470500946045,0.39755138754844666,0.27546295523643494,-9.0,0.19339865446090698,-0.015118109993636608,0.04790925979614258,0.17935729026794434,-9.0,0.23819275200366974,0.21340887248516083,-9.0,-9.0,0.5257668495178223,0.7883557677268982,0.6927812099456787,0.6017441749572754,-9.0,0.4692063629627228,0.39411503076553345,0.41227468848228455,0.4120545983314514,-9.0,0.5451205968856812,0.6484926342964172,-9.0,-9.0,0.8028271198272705
1,4,6,6,6,0,4,4,6,6,4,0,6,6,2,0.8607207894791173,23.97868496323818,0.44837164878845215,0.3493248522281647,0.35481882095336914,0.18593816459178925,-9.0,0.3906444013118744,0.40442782640457153,0.25414812564849854,0.4177835285663605,0.42282623052597046,-9.0,0.48219749331474304,0.39426204562187195,0.40822434425354004,0.7183666229248047,0.6486801505088806,0.6249306201934814,0.44877544045448303,-9.0,0.5260448455810547,0.6881559491157532,0.17933593690395355,0.7253594994544983,0.7261103391647339,-9.0,0.7214722037315369,0.7257916927337646,0.7028005123138428
1,5,2,4,2,0,2,7,6,6,3,0,2,3,3,0.4944776481435884,23.87618718932014,0.5336672067642212,0.08537375181913376,0.08060836791992188,-0.044629260897636414,-9.0,0.06555723398923874,0.21367113292217255,0.2353350967168808,0.3076108694076538,0.32962244749069214,-9.0,0.47320660948753357,0.4993019998073578,0.5227790474891663,0.6498054265975952,0.45199307799339294,0.34479495882987976,0.3060047924518585,-9.0,0.5372862815856934,0.5543311834335327,0.5809558033943176,0.6417073011398315,0.6878648400306702,-9.0,0.7510566711425781,0.7345895171165466,0.7708609104156494
1,2,3,4,1,0,1,3,3,3,3,0,2,3,1,0.5647259033617367,23.99799874184675,0.4758198857307434,0.5565134286880493,0.4931538701057434,0.08536899089813232,-9.0,0.3779505789279938,0.4822043776512146,0.4207412004470825,0.4515398442745209,0.529460608959198,-9.0,0.6057600975036621,0.5801082849502563,0.5694117546081543,0.5645256042480469,0.7759562730789185,0.6980733871459961,0.25737264752388,-9.0,0.7601986527442932,0.7422401905059814,0.6571013331413269,0.6174615025520325,0.7632145285606384,-9.0,0.8401185870170593,0.6841205358505249,0.7585024833679199
1,5,6,4,2,1,6,4,2,6,4,3,2,3,3,0.9223452179697168,23.947243928294,0.6317530274391174,0.3694998621940613,0.2520272433757782,0.28722476959228516,0.10804744809865952,-0.19401659071445465,-0.052074138075113297,-0.07044386863708496,0.024220449849963188,0.025316456332802773,0.01718403585255146,0.21789230406284332,0.32170456647872925,0.41191643476486206,0.7710410952568054,0.6587222814559937,0.5539452433586121,0.38793012499809265,0.43640896677970886,0.3179946839809418,0.3681528568267822,0.39708560705184937,0.46758103370666504,0.40497738122940063,0.48222941160202026,0.6367731690406799,0.6301742792129517,0.6910719871520996
1,12,19,14,10,3,17,16,10,14,6,19,0,2,4,0.8964737377870744,23.781684421430768,0.5001614689826965,0.475649356842041,0.49065786600112915,0.42454639077186584,0.4350487291812897,0.5053088665008545,0.5447470545768738,0.5365697145462036,0.4414178729057312,0.5108520984649658,0.6431192755699158,-9.0,0.5933395624160767,0.6495656967163086,0.7426856756210327,0.7380496859550476,0.722423791885376,0.6629390716552734,0.5785536170005798,0.6679144501686096,0.7845202684402466,0.47324174642562866,0.5857105255126953,0.7499755620956421,0.8521199822425842,-9.0,0.8102850914001465,0.8535915613174438
