cls,lat,lon,sep_stable
0,-6.90719775179366,-54.90838396072307,0.17528964519689721
0,-6.873241434053952,-54.601339796611015,0.12755290106229963
0,-6.501967727127351,-54.99857481524867,0.1621172447098873
0,-6.721336319509334,-54.6928781240628,0.13710459622898222
0,-7.179027956768238,-54.56783263651336,0.10410623792153013
0,-7.0586537086962124,-55.21210435828388,0.13962201111330258
0,-7.032782228513568,-55.12218299834352,0.13234632598199922
0,-6.525054429929213,-54.51923377964249,0.16416261647272593
0,-7.058743540224626,-54.696471385199274,0.15046289919875055
0,-6.512478015951544,-54.96857108475908,0.2021722443471649
0,-7.151090351432117,-54.63484695670867,0.1581990905150233
0,-7.4870602676928115,-55.38997078453954,0.1970384451930275
0,-6.540774947401317,-55.41925586280185,0.20186464864923526
0,-7.370908101456166,-55.31657842582699,0.1287232627430388
0,-6.857251421996622,-54.74183630704731,0.12939204816117839
0,-7.092340531850695,-54.526779628029104,0.16717865254882214
0,-7.237059124122354,-54.52848642706893,0.14102023428296734
0,-6.529096848707752,-55.436503516256934,0.38356547562041016
0,-6.968822180284263,-54.78558426138393,0.12298052026812416
0,-6.967025549716027,-55.06873323893841,0.1605410019587488
0,-7.079674286344613,-55.31127836565068,0.23974643186304265
0,-6.681630783951249,-54.63008588570284,0.12994900325080783
0,-6.524156114645095,-54.6072686774862,0.15453388938926402
0,-6.518586559883559,-54.815228665759875,0.12916165839468105
0,-7.237598113292819,-54.89284310630781,0.14200121887751044
0,-7.457056537203229,-54.66332355121527,0.19915707143763778
0,-6.510591553854894,-55.24354539322806,0.3219347931430908
0,-7.33713144677327,-54.85484436978955,0.14216553595439457
0,-7.341443360137035,-54.50665736566482,0.1626516713442465
0,-7.486431446993933,-55.16467331128237,0.16413647285861147
0,-7.269398474350652,-54.835979748823036,0.17252648369248513
0,-6.950137222374579,-54.621372227446884,0.18632462736978178
0,-7.193490832842556,-54.698357847295924,0.11864468406366235
0,-6.9290268131977655,-54.6988968364664,0.15801071257153115
0,-6.888153467770337,-54.506747197193235,0.16230883512263708
0,-6.694297029457331,-54.53288817196112,0.10705235837512872
0,-6.520922179622275,-55.38808432244289,0.20290795905952574
0,-6.577605874050207,-54.61939593382182,0.1256336725971504
0,-6.884380543577024,-55.19764148220956,0.2221736613955975
0,-6.530354490105523,-54.51671849684696,0.1974926179662108
0,-6.5851517224368195,-54.804808208464095,0.12272669422165373
0,-7.49352813773848,-54.527228785671156,0.15554570702477524
0,-6.955257619494063,-54.64176398439639,0.1074934028282907
0,-6.833715561552694,-54.825289796942016,0.13997113864178695
0,-7.413039088281366,-54.544745933711496,0.16995049324092973
0,-7.06143848607698,-54.643111457322576,0.13286734981645015
0,-6.957054250062299,-55.04025664443182,0.18704634162477357
0,-7.450139509515509,-54.94243010999121,0.20157673842667861
0,-7.230681085605099,-55.28028648834855,0.19391448150981894
0,-6.833176572382214,-54.79402842505466,0.1509288058608894
0,-7.330573745199189,-54.64805219138523,0.15103585519288476
0,-7.470980424107083,-54.64409960413511,0.142586623712768
0,-7.090993058924525,-54.64544707706129,0.15565768507893915
0,-6.709837883872609,-54.71677331062038,0.1598899358259697
0,-7.482658522800634,-54.77273835282102,0.15088734961144926
0,-6.671030663598643,-54.894909231461284,0.15019122506188148
0,-7.442952987242549,-55.036034562596456,0.12284900964122139
0,-7.052455333235784,-55.203390700027924,0.16178662967588028
0,-6.606711289255685,-55.135478064548494,0.14922407994075404
0,-6.861742998417213,-54.89481939993287,0.14042028697295214
0,-6.915821578521218,-54.79681320243543,0.12512493804625968
0,-7.07742849813431,-54.774445151860846,0.13051365549609797
0,-7.177410989256813,-54.9799796888674,0.158144075824327
0,-7.374860688706292,-54.76788745028678,0.16351801150581308
0,-6.721875308679813,-54.57160556070666,0.11337391589634052
0,-7.2937428185502995,-54.505489555795464,0.18793378172438602
0,-6.521640831849567,-54.7845961145714,0.15108350628593076
0,-6.969630664039968,-54.840291662186814,0.17041567426300264
0,-6.555417486532463,-54.810198100168805,0.09532643176996672
0,-7.247479581418133,-54.72054623481368,0.13423321576988306
0,-6.919325008129277,-54.937040218286484,0.1070825635154161
0,-7.356804551495486,-54.552022287512855,0.1297717450482834
0,-7.294012313135525,-54.66161675217543,0.18239488559119216
0,-7.15657007466524,-54.890866812682745,0.15629572400227473
0,-7.216667367172846,-54.50378275675564,0.14601953738267073
0,-7.24765924447496,-55.384311398249594,0.1950190959308277
0,-6.67570190307606,-54.702220603017636,0.13995502658138967
0,-7.44582759615173,-54.94440640361627,0.14833792969638382
0,-6.767779219698312,-54.73195483892199,0.1711455175348934
0,-7.230950580190338,-54.634577462123445,0.11407986608615024
0,-6.896867126026294,-54.6854221072046,0.15939470877679277
0,-7.316560026766936,-54.81567782340194,0.08794748013707701
0,-7.01454642824595,-54.996957847737264,0.12796068288033408
0,-6.72681604274247,-55.39706747528409,0.23944207460641095
0,-7.459032830828292,-55.04304142181259,0.15291781193851536
0,-6.624857257994904,-54.85152060323831,0.1406306130882433
0,-6.778109845465693,-54.516538833790136,0.17311842061421603
