A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,B11,B12,B2,B3,B4,B8,NBR,NDVI,elev,prec,slope,tmean,y,lon,lat,reg
-0.08882737408688965,0.03254133025759323,-0.21413302575932336,-0.07535563244905807,-0.08421376393694734,-0.03844675124951941,-0.022206843521722412,0.17279507881584008,-0.07111111111111111,0.029773164167627833,-0.004982698961937716,0.08882737408688965,0.019930795847750864,-0.07535563244905807,0.0271280276816609,-0.16633602460592078,-0.14769703960015382,-0.09842368319876971,0.024605920799692427,-0.041584006151480196,0.16000000000000003,-0.03844675124951941,0.1929104190695886,0.34602076124567477,0.017777777777777778,0.0629911572472126,0.3188927335640138,-0.07535563244905807,0.041584006151480196,-0.10340638216070744,0.16633602460592078,-0.11374086889657825,-0.012056901191849288,-0.11909265667051133,-0.08421376393694734,-0.044844290657439445,-0.09356401384083046,-0.03543252595155709,-0.3188927335640138,0.007443291041906958,-0.09356401384083046,0.17279507881584008,0.05173394848135333,-0.01384083044982699,0.186082276047674,-0.008858131487889272,-0.14173010380622836,-0.08421376393694734,-0.012056901191849288,-0.008858131487889272,0.19986159169550174,-0.01574778931180315,-0.03844675124951941,0.1929104190695886,-0.024605920799692427,0.16633602460592078,0.10340638216070744,-0.0629911572472126,0.16633602460592078,0.006151480199923107,0.07972318339100345,-0.21413302575932336,0.05173394848135333,-0.15378700499807765,0.15119999647140503,0.06362500041723251,0.030319999903440475,0.05249999836087227,0.026200000196695328,0.34299999475479126,0.6870580911636353,0.858071506023407,356.544189453125,1.8611817911895727,12.949479103088379,298.1822875368899,10,-55.102973938240886,-8.730591499065012,BR
0.1085121107266436,0.14769703960015382,-0.07535563244905807,-0.002214532871972318,0.05173394848135333,0.09356401384083046,0.186082276047674,0.21413302575932336,-0.012056901191849288,0.01574778931180315,-0.022206843521722412,0.044844290657439445,0.05911572472126105,-0.09842368319876971,0.03543252595155709,-0.07111111111111111,-0.13016532103037293,0.044844290657439445,-0.012056901191849288,-0.08882737408688965,0.09356401384083046,0.08421376393694734,-0.16633602460592078,0.3278123798539023,-0.13588619761630144,0.21413302575932336,0.24415224913494812,0.17279507881584008,0.15378700499807765,-0.11909265667051133,-0.12456747404844293,-0.017777777777777778,0.044844290657439445,0.024605920799692427,-0.14769703960015382,0.09356401384083046,-0.06698961937716265,0.019930795847750864,-0.09356401384083046,0.05536332179930796,-0.05173394848135333,0.19986159169550174,0.022206843521722412,0.12456747404844293,0.17937716262975778,0.044844290657439445,-0.2519646289888504,-0.09842368319876971,-0.05911572472126105,0.05173394848135333,-0.024605920799692427,0.03844675124951941,-0.14173010380622836,0.2679584775086506,0.010396001537870049,0.11374086889657825,0.017777777777777778,0.010396001537870049,0.08882737408688965,0.044844290657439445,-0.04822760476739715,-0.029773164167627833,0.05536332179930796,-0.34602076124567477,0.21905000507831573,0.11079999804496765,0.0364999994635582,0.06464999914169312,0.04639999940991402,0.3003000020980835,0.46095842123031616,0.7323334217071533,280.8064880371094,1.9724322066339468,5.015825271606445,298.63600610717,10,-55.29745919725276,-8.499365144932646,BR
0.05173394848135333,-0.012056901191849288,-0.186082276047674,-0.14173010380622836,0.041584006151480196,0.07111111111111111,0.03254133025759323,0.2761399461745483,-0.08882737408688965,0.01384083044982699,-0.03844675124951941,0.05911572472126105,0.017777777777777778,-0.029773164167627833,-0.022206843521722412,-0.13016532103037293,-0.13588619761630144,0.06698961937716265,0.041584006151480196,-0.07111111111111111,0.11374086889657825,0.07111111111111111,0.0015378700499807767,0.29287197231833906,-0.11374086889657825,0.07111111111111111,0.22145328719723184,0.17937716262975778,0.08882737408688965,-0.11909265667051133,0.012056901191849288,-0.10340638216070744,0.07535563244905807,-0.09356401384083046,-0.11909265667051133,-0.022206843521722412,-0.11909265667051133,0.0271280276816609,-0.186082276047674,0.05911572472126105,-0.09356401384083046,0.21413302575932336,0.07111111111111111,0.1085121107266436,0.13016532103037293,-0.022206843521722412,-0.2599000384467512,-0.11909265667051133,-0.05536332179930796,-0.029773164167627833,-0.022206843521722412,0.029773164167627833,-0.10340638216070744,0.2288965782391388,-0.08882737408688965,0.186082276047674,0.017777777777777778,-0.06698961937716265,0.13588619761630144,0.05911572472126105,0.08882737408688965,-0.2069357939254133,0.03844675124951941,-0.34602076124567477,0.1992499977350235,0.09274999797344208,0.03655000030994415,0.059849999845027924,0.03869999945163727,0.31564998626708984,0.5457884073257446,0.7815718650817871,288.0846862792969,2.286526049736402,10.44680404663086,298.981282506422,10,-54.90570390184824,-8.14893235259762,BR
-0.07535563244905807,0.002214532871972318,-0.21413302575932336,-0.07972318339100345,-0.10340638216070744,-0.1085121107266436,-0.05536332179930796,0.11909265667051133,-0.05911572472126105,0.08882737408688965,-0.002214532871972318,0.07535563244905807,0.01384083044982699,-0.041584006151480196,0.006151480199923107,-0.14769703960015382,-0.1085121107266436,-0.08882737408688965,0.05911572472126105,-0.13016532103037293,0.14769703960015382,-0.05911572472126105,0.21413302575932336,0.3188927335640138,0.09356401384083046,0.07111111111111111,0.28444444444444444,-0.0629911572472126,0.04822760476739715,-0.11374086889657825,0.19986159169550174,-0.13016532103037293,-0.10340638216070744,-0.11374086889657825,-0.08882737408688965,-0.09356401384083046,-0.15378700499807765,-0.010396001537870049,-0.24415224913494812,0.01384083044982699,-0.022206843521722412,0.17279507881584008,0.07535563244905807,-0.07972318339100345,0.186082276047674,-0.04822760476739715,-0.09842368319876971,-0.05173394848135333,-0.003014225297962322,-0.05911572472126105,0.2761399461745483,0.022206843521722412,-0.01574778931180315,0.16000000000000003,-0.004982698961937716,0.16000000000000003,0.13016532103037293,-0.024605920799692427,0.17937716262975778,-0.01384083044982699,0.14769703960015382,-0.22145328719723184,0.044844290657439445,-0.05911572472126105,0.14429999887943268,0.06030000001192093,0.024900000542402267,0.03754999861121178,0.022849999368190765,0.25870001316070557,0.6219435930252075,0.8376842737197876,326.3927917480469,2.0065847442182516,9.58895492553711,298.7971646452748,10,-55.39869932977304,-8.42821857443038,BR
-0.08421376393694734,0.01574778931180315,-0.13016532103037293,-0.11374086889657825,-0.08421376393694734,-0.08421376393694734,-0.01574778931180315,0.14173010380622836,-0.08421376393694734,0.08421376393694734,-0.006151480199923107,0.11909265667051133,0.03543252595155709,-0.07111111111111111,-0.022206843521722412,-0.16633602460592078,-0.14173010380622836,-0.06698961937716265,0.07111111111111111,-0.1085121107266436,0.11374086889657825,0.012056901191849288,0.1929104190695886,0.33685505574778934,0.0271280276816609,0.0271280276816609,0.24415224913494812,0.0005536332179930795,0.07972318339100345,-0.186082276047674,0.17279507881584008,-0.16633602460592078,-0.09356401384083046,-0.05536332179930796,-0.08421376393694734,-0.05911572472126105,-0.05911572472126105,0.017777777777777778,-0.29287197231833906,0.0271280276816609,-0.04822760476739715,0.2519646289888504,0.10340638216070744,-0.019930795847750864,0.19986159169550174,-0.010396001537870049,-0.186082276047674,-0.08882737408688965,0.006151480199923107,-0.05536332179930796,0.2069357939254133,0.044844290657439445,0.03543252595155709,0.15378700499807765,-0.0629911572472126,0.186082276047674,0.08882737408688965,-0.05911572472126105,0.15378700499807765,0.01384083044982699,0.10340638216070744,-0.2364628988850442,0.0271280276816609,-0.10340638216070744,0.1527000069618225,0.06769999861717224,0.03229999914765358,0.05350000038743019,0.02969999983906746,0.3287999927997589,0.6585119962692261,0.8343096375465393,270.9156188964844,1.9999184713396048,6.683416843414307,298.4683773810148,10,-54.72244758388786,-8.605007022345102,BR
-0.07111111111111111,-0.008858131487889272,-0.186082276047674,-0.09356401384083046,-0.07972318339100345,-0.08882737408688965,-0.017777777777777778,0.13588619761630144,-0.044844290657439445,0.07535563244905807,0.0005536332179930795,0.09356401384083046,0.03254133025759323,-0.05911572472126105,0.000984236831987697,-0.16633602460592078,-0.14769703960015382,-0.08421376393694734,0.06698961937716265,-0.13016532103037293,0.15378700499807765,-0.010396001537870049,0.21413302575932336,0.3278123798539023,0.01574778931180315,0.04822760476739715,0.2599000384467512,-0.03543252595155709,0.06698961937716265,-0.11909265667051133,0.16633602460592078,-0.15378700499807765,-0.12456747404844293,-0.08882737408688965,-0.10340638216070744,-0.05536332179930796,-0.12456747404844293,0.003014225297962322,-0.24415224913494812,0.04822760476739715,-0.01384083044982699,0.2288965782391388,0.07972318339100345,-0.03543252595155709,0.17279507881584008,-0.06698961937716265,-0.13588619761630144,-0.08421376393694734,-0.041584006151480196,-0.0629911572472126,0.2599000384467512,0.03844675124951941,0.006151480199923107,0.14769703960015382,-0.05173394848135333,0.17937716262975778,0.10340638216070744,-0.0271280276816609,0.17279507881584008,0.010396001537870049,0.13588619761630144,-0.24415224913494812,0.06698961937716265,-0.09356401384083046,0.1581999957561493,0.06469999998807907,0.02500000037252903,0.046799998730421066,0.024000000208616257,0.3425000011920929,0.6822200417518616,0.8690313696861267,320.8638916015625,1.9875142381223654,4.429679870605469,298.68197196565154,10,-55.188313890232244,-8.517600945200273,BR
-0.07972318339100345,-0.017777777777777778,-0.14173010380622836,-0.08882737408688965,-0.05173394848135333,-0.09842368319876971,-0.029773164167627833,0.16000000000000003,-0.09356401384083046,0.09842368319876971,-0.05173394848135333,0.14173010380622836,0.01384083044982699,-0.06698961937716265,-0.03543252595155709,-0.17279507881584008,-0.17279507881584008,-0.012056901191849288,0.044844290657439445,-0.08421376393694734,0.13588619761630144,0.022206843521722412,0.17937716262975778,0.34602076124567477,0.03543252595155709,-0.0271280276816609,0.2364628988850442,0.0271280276816609,0.05173394848135333,-0.17937716262975778,0.17279507881584008,-0.16633602460592078,-0.07535563244905807,-0.07111111111111111,-0.11374086889657825,-0.04822760476739715,-0.03543252595155709,-0.03254133025759323,-0.29287197231833906,0.05536332179930796,-0.08882737408688965,0.2519646289888504,0.11374086889657825,0.019930795847750864,0.17937716262975778,0.024605920799692427,-0.17937716262975778,-0.09842368319876971,-0.029773164167627833,-0.044844290657439445,0.21413302575932336,0.022206843521722412,0.03543252595155709,0.09842368319876971,-0.07111111111111111,0.17937716262975778,0.07111111111111111,-0.044844290657439445,0.15378700499807765,0.022206843521722412,0.08882737408688965,-0.2288965782391388,0.022206843521722412,-0.14769703960015382,0.15835000574588776,0.06880000233650208,0.03085000067949295,0.04774999991059303,0.025599999353289604,0.3287999927997589,0.653923511505127,0.8555305004119873,308.9288024902344,2.094708617094419,13.654548645019531,298.5700692137713,10,-54.854320267596606,-8.514277178649031,BR
0.10340638216070744,0.14173010380622836,-0.17937716262975778,-0.044844290657439445,0.017777777777777778,0.0629911572472126,0.14769703960015382,0.186082276047674,0.01384083044982699,-0.04822760476739715,-0.01574778931180315,0.01384083044982699,0.03844675124951941,-0.07111111111111111,0.017777777777777778,-0.07535563244905807,-0.17279507881584008,0.08421376393694734,0.03543252595155709,-0.07111111111111111,-0.05911572472126105,0.14769703960015382,-0.1929104190695886,0.2599000384467512,-0.186082276047674,0.21413302575932336,0.16000000000000003,0.08882737408688965,0.16633602460592078,-0.044844290657439445,-0.16633602460592078,-0.044844290657439445,0.10340638216070744,-0.03844675124951941,-0.07111111111111111,-0.05173394848135333,-0.04822760476739715,-0.03543252595155709,-0.13588619761630144,0.14769703960015382,-0.07111111111111111,0.17279507881584008,-0.01574778931180315,0.09842368319876971,-0.024605920799692427,-0.06698961937716265,-0.31009611687812383,-0.12456747404844293,0.024605920799692427,0.05173394848135333,-0.0629911572472126,0.000984236831987697,-0.14769703960015382,0.24415224913494812,-0.07535563244905807,0.11374086889657825,0.12456747404844293,-0.08421376393694734,-0.006151480199923107,0.022206843521722412,-0.09842368319876971,0.01384083044982699,-0.03543252595155709,-0.3839138792772011,0.20069999992847443,0.10570000112056732,0.037700001150369644,0.061900001019239426,0.0430000014603138,0.2653999924659729,0.4303421974182129,0.7211413383483887,550.1714477539062,2.068348507645986,0.2672725021839142,298.0188840821937,10,-55.014040725113055,-8.983916409186717,BR
-0.03844675124951941,-0.03254133025759323,-0.15378700499807765,-0.10340638216070744,-0.09356401384083046,-0.09356401384083046,-0.01574778931180315,0.07535563244905807,-0.07535563244905807,0.1085121107266436,0.029773164167627833,0.13016532103037293,0.05536332179930796,-0.08421376393694734,0.003014225297962322,-0.16633602460592078,-0.14173010380622836,-0.10340638216070744,0.044844290657439445,-0.08421376393694734,0.13588619761630144,-0.008858131487889272,0.13588619761630144,0.33685505574778934,-0.010396001537870049,0.0271280276816609,0.2519646289888504,-0.07972318339100345,0.13016532103037293,-0.11374086889657825,0.11909265667051133,-0.17279507881584008,-0.17937716262975778,-0.03543252595155709,-0.13016532103037293,-0.07535563244905807,-0.0629911572472126,-0.010396001537870049,-0.2364628988850442,0.041584006151480196,-0.05173394848135333,0.3014225297962323,0.07972318339100345,-0.008858131487889272,0.14769703960015382,-0.006151480199923107,-0.14173010380622836,-0.10340638216070744,-0.06698961937716265,-0.08421376393694734,0.2364628988850442,0.006151480199923107,0.024605920799692427,0.13016532103037293,-0.06698961937716265,0.16000000000000003,0.06698961937716265,-0.08421376393694734,0.16633602460592078,-0.007443291041906958,0.14173010380622836,-0.24415224913494812,0.11374086889657825,-0.10340638216070744,0.13369999825954437,0.0575999990105629,0.028200000524520874,0.03779999911785126,0.0215000007301569,0.2198999971151352,0.5848648548126221,0.8218724131584167,261.85980224609375,2.370698924425504,4.258388519287109,298.779831312504,10,-54.83294036383456,-8.180103892956568,BR
-0.029773164167627833,-0.0271280276816609,-0.16000000000000003,-0.10340638216070744,-0.07535563244905807,-0.07972318339100345,-0.041584006151480196,0.09842368319876971,-0.06698961937716265,0.11909265667051133,0.007443291041906958,0.14173010380622836,-0.0015378700499807767,-0.044844290657439445,-0.029773164167627833,-0.17937716262975778,-0.15378700499807765,-0.04822760476739715,0.07111111111111111,-0.07972318339100345,0.16000000000000003,0.01384083044982699,0.22145328719723184,0.3553094963475586,0.010396001537870049,-0.003014225297962322,0.2364628988850442,-0.024605920799692427,0.07972318339100345,-0.16000000000000003,0.186082276047674,-0.17279507881584008,-0.11374086889657825,-0.09356401384083046,-0.09842368319876971,-0.05173394848135333,-0.09356401384083046,-0.008858131487889272,-0.2519646289888504,0.03254133025759323,-0.05911572472126105,0.24415224913494812,0.08882737408688965,-0.01574778931180315,0.186082276047674,-0.024605920799692427,-0.13016532103037293,-0.1085121107266436,-0.03254133025759323,-0.029773164167627833,0.2364628988850442,0.017777777777777778,0.01574778931180315,0.11909265667051133,-0.05536332179930796,0.19986159169550174,0.05536332179930796,-0.05173394848135333,0.17937716262975778,-0.002214532871972318,0.12456747404844293,-0.2069357939254133,0.07972318339100345,-0.11374086889657825,0.14910000562667847,0.06459999829530716,0.029200000688433647,0.043699998408555984,0.029100000858306885,0.24789999425411224,0.5865600109100342,0.7898916602134705,265.03753662109375,1.968207116487882,2.9540090560913086,298.8295202306156,10,-55.46526449232629,-8.440794988408054,BR
