i,sa2020,sa2021,sa2022,sa2023,sa2024,sa2025,roi
6992,4.726850785417484,0.96313926221131,4.180936074329691,4.61404124109294,1.5511420369886666,3.7612073641941546,ZW_mata
7158,8.523303062924587,18.520203238811114,12.451976384070658,9.187678544120303,5.710073419631279,19.01541003123202,ZW_mata
6639,14.34045085310669,28.68080524665704,18.454873744861107,8.340486669705435,6.563983737074214,17.818019843354424,ZW_mata
6607,3.9700148913191624,10.074501986519861,4.281953481527676,9.937550427550773,5.577501220369913,11.5967821996944,ZW_mata
6773,1.9491554137534128,6.890403786128741,4.312916600959286,3.8662490796242457,4.918850544279135,11.66967693722049,ZW_mata
7263,4.671686453399317,10.000338546072635,2.231479906645718,15.469920582189221,15.82387902833707,7.135976673848288,ZW_mata
7513,12.658928238914266,18.660055995550294,6.9399694301008115,8.904085689689538,7.34556752586043,25.659790244169955,ZW_mata
7515,7.8197076822939895,11.008888977656733,6.117465048092762,3.6387974691403078,9.156848547056711,4.576422338089295,ZW_mata
6222,8.230269230461255,11.774396111905897,2.196491699471523,3.1542535132695173,7.774461065911523,3.557166871809834,ZW_mata
7217,8.169952002461194,14.996568301862034,11.006525485877292,5.983855456531471,10.90025746297717,2.423357796964025,ZW_mata
6754,5.177117442682129,11.208687657605143,3.9816302471031735,5.7312319944714005,2.3724851459140397,8.62757408045304,ZW_mata
7134,8.079572220072352,7.582438525162538,10.537670413192432,7.878319495530752,13.19710140557606,4.649906262601275,ZW_mata
7508,6.935156040901981,19.290338910967268,15.405674428569224,4.314300727048574,4.58590646517513,7.974084934703262,ZW_mata
7182,8.469271451623003,12.815567986442579,6.86504728576856,7.372266638909163,9.866770095980096,9.953791502432537,ZW_mata
7063,6.07818193852791,19.0762706019163,10.237640378358488,7.642538428337475,3.868413763560486,26.71581315456908,ZW_mata
7139,6.8967916805470875,16.861310650828614,11.123796989121718,4.011496214246892,6.47572950805806,27.621331165883298,ZW_mata
7671,4.617431187236795,18.914759677939752,12.732514797080109,6.6463187823172705,1.5551896979076796,18.97514787458164,ZW_mata
6292,4.876702640750934,6.64907502470814,4.451336607454137,5.63929540565455,2.300010057982141,10.96072697498959,ZW_mata
7628,4.306538436331468,9.43248095091463,3.4803399428635005,14.68591101687024,2.8829866147095906,19.938194213175283,ZW_mata
6529,7.094912032530235,4.890410785509179,14.31120226568006,12.56572951522164,6.523704076293562,7.966608091680912,ZW_mata
