A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,B11,B12,B2,B3,B4,B8,NBR,NDVI,y,lon,lat,roi
0.01574778931180315,0.09356401384083046,-0.17279507881584008,-0.03254133025759323,-0.007443291041906958,0.2679584775086506,0.10340638216070744,0.22145328719723184,-0.08421376393694734,0.029773164167627833,-0.05911572472126105,-0.012056901191849288,-0.05911572472126105,-0.03543252595155709,0.01384083044982699,-0.007443291041906958,-0.07972318339100345,0.17937716262975778,0.04822760476739715,-0.16000000000000003,0.13588619761630144,0.0629911572472126,-0.17937716262975778,0.3014225297962323,-0.08421376393694734,0.16000000000000003,0.22145328719723184,0.04822760476739715,0.01574778931180315,-0.06698961937716265,-0.10340638216070744,-0.017777777777777778,0.10340638216070744,-0.0629911572472126,-0.13016532103037293,0.09842368319876971,-0.04822760476739715,-0.0271280276816609,-0.13016532103037293,0.11909265667051133,-0.017777777777777778,0.13016532103037293,-0.07111111111111111,0.08421376393694734,0.11374086889657825,-0.019930795847750864,-0.13016532103037293,-0.13588619761630144,-0.07111111111111111,0.10340638216070744,-0.003936947327950788,0.03254133025759323,-0.2761399461745483,0.31009611687812383,0.05911572472126105,0.13016532103037293,0.024605920799692427,0.05536332179930796,0.11374086889657825,0.019930795847750864,0.08882737408688965,-0.03254133025759323,0.044844290657439445,-0.33685505574778934,0.3391000032424927,0.17870000004768372,0.06360000371932983,0.09319999814033508,0.09830000251531601,0.29750001430511475,0.24947503209114075,0.5032845139503479,0,-55.13001322829289,-8.512300885023967,BRamz
-0.024605920799692427,0.07535563244905807,-0.17937716262975778,0.029773164167627833,0.006151480199923107,0.21413302575932336,0.12456747404844293,0.2364628988850442,0.01384083044982699,-0.003936947327950788,-0.003936947327950788,-0.019930795847750864,-0.022206843521722412,0.006151480199923107,-0.019930795847750864,-0.022206843521722412,-0.12456747404844293,0.15378700499807765,0.022206843521722412,-0.17279507881584008,0.13588619761630144,0.08882737408688965,-0.21413302575932336,0.29287197231833906,-0.10340638216070744,0.186082276047674,0.15378700499807765,0.07972318339100345,0.0629911572472126,-0.08421376393694734,-0.0629911572472126,-0.010396001537870049,0.0271280276816609,-0.05911572472126105,-0.16633602460592078,0.12456747404844293,-0.09356401384083046,0.09356401384083046,-0.044844290657439445,0.14769703960015382,0.017777777777777778,0.11909265667051133,0.010396001537870049,0.1085121107266436,0.09842368319876971,-0.08421376393694734,-0.19986159169550174,-0.08421376393694734,-0.05911572472126105,0.07972318339100345,-0.017777777777777778,0.08421376393694734,-0.22145328719723184,0.3188927335640138,0.04822760476739715,0.1929104190695886,-0.017777777777777778,0.024605920799692427,0.09356401384083046,0.022206843521722412,0.07972318339100345,-0.0005536332179930795,0.05536332179930796,-0.33685505574778934,0.30524998903274536,0.18870000541210175,0.052799999713897705,0.07440000027418137,0.08540000021457672,0.2513499855995178,0.14237014949321747,0.492798775434494,0,-55.21705997932407,-8.564133676917663,BRamz
0.019930795847750864,0.19986159169550174,-0.13016532103037293,-0.003936947327950788,-0.012056901191849288,0.14769703960015382,0.17279507881584008,0.15378700499807765,0.024605920799692427,0.01384083044982699,0.041584006151480196,-0.006151480199923107,0.006151480199923107,-0.05911572472126105,0.03543252595155709,-0.08882737408688965,-0.21413302575932336,0.05911572472126105,0.03543252595155709,-0.07111111111111111,0.044844290657439445,0.12456747404844293,-0.2679584775086506,0.31009611687812383,-0.14173010380622836,0.2599000384467512,0.13588619761630144,-0.01574778931180315,0.17279507881584008,-0.05173394848135333,-0.16000000000000003,-0.03254133025759323,-0.05173394848135333,0.03844675124951941,-0.10340638216070744,0.01574778931180315,-0.008858131487889272,0.002214532871972318,-0.17937716262975778,0.1085121107266436,-0.11374086889657825,0.19986159169550174,-0.0629911572472126,0.07111111111111111,-0.003936947327950788,0.022206843521722412,-0.186082276047674,-0.14173010380622836,-0.0271280276816609,0.05911572472126105,-0.002214532871972318,-0.002214532871972318,-0.08882737408688965,0.2364628988850442,0.002214532871972318,0.11374086889657825,0.03543252595155709,0.008858131487889272,0.07972318339100345,-0.029773164167627833,-0.05911572472126105,-0.022206843521722412,0.029773164167627833,-0.41362552864282975,0.20565000176429749,0.09645000100135803,0.04019999876618385,0.06319999694824219,0.05139999836683273,0.30114999413490295,0.5148389935493469,0.7084101438522339,0,-55.319917079355754,-8.759786745798896,BRamz
0.08421376393694734,0.17279507881584008,-0.17937716262975778,-0.05173394848135333,0.022206843521722412,0.11909265667051133,0.17937716262975778,0.17279507881584008,0.03254133025759323,-0.041584006151480196,0.05173394848135333,-0.019930795847750864,0.017777777777777778,-0.0271280276816609,0.000984236831987697,-0.08882737408688965,-0.17279507881584008,0.08882737408688965,0.03844675124951941,-0.05173394848135333,0.029773164167627833,0.16633602460592078,-0.28444444444444444,0.2599000384467512,-0.15378700499807765,0.21413302575932336,0.12456747404844293,0.06698961937716265,0.17937716262975778,-0.022206843521722412,-0.17279507881584008,-0.029773164167627833,-0.0629911572472126,-0.007443291041906958,-0.17279507881584008,0.007443291041906958,-0.09842368319876971,0.01574778931180315,-0.13588619761630144,0.13016532103037293,-0.09356401384083046,0.15378700499807765,-0.007443291041906958,0.07111111111111111,-0.05536332179930796,-0.004982698961937716,-0.2364628988850442,-0.16000000000000003,-0.007443291041906958,0.002214532871972318,-0.017777777777777778,0.019930795847750864,-0.04822760476739715,0.2599000384467512,-0.03254133025759323,0.11374086889657825,0.03844675124951941,-0.019930795847750864,0.06698961937716265,-0.0005536332179930795,-0.01574778931180315,0.017777777777777778,0.019930795847750864,-0.42377547097270285,0.22769999504089355,0.11729999631643295,0.04749999940395355,0.0714000016450882,0.059300001710653305,0.2671000063419342,0.3896982669830322,0.6366421580314636,0,-55.14474559895245,-8.789251487118015,BRamz
0.0629911572472126,0.12456747404844293,-0.13016532103037293,-0.03543252595155709,0.012056901191849288,0.29287197231833906,0.11374086889657825,0.2599000384467512,-0.03844675124951941,-0.017777777777777778,0.008858131487889272,0.024605920799692427,-0.010396001537870049,-0.022206843521722412,0.041584006151480196,-0.017777777777777778,-0.10340638216070744,0.14173010380622836,-0.05173394848135333,-0.029773164167627833,0.06698961937716265,0.004982698961937716,-0.2288965782391388,0.2679584775086506,-0.10340638216070744,0.17279507881584008,0.21413302575932336,0.05911572472126105,0.024605920799692427,0.012056901191849288,-0.12456747404844293,-0.019930795847750864,0.06698961937716265,-0.029773164167627833,-0.13588619761630144,0.11374086889657825,0.012056901191849288,-0.07972318339100345,-0.14173010380622836,0.11909265667051133,-0.13588619761630144,0.1085121107266436,-0.019930795847750864,0.1085121107266436,0.07111111111111111,0.0629911572472126,-0.12456747404844293,-0.13588619761630144,-0.11374086889657825,0.01384083044982699,-0.07111111111111111,-0.002214532871972318,-0.186082276047674,0.2364628988850442,0.07972318339100345,0.10340638216070744,0.006151480199923107,0.029773164167627833,0.15378700499807765,0.019930795847750864,0.03254133025759323,-0.024605920799692427,0.07535563244905807,-0.4340484429065744,0.27665001153945923,0.15995000302791595,0.05355000123381615,0.08824999630451202,0.08704999834299088,0.2815999984741211,0.27550673484802246,0.5277363657951355,0,-55.18588843896512,-8.607881631254285,BRamz
0.0629911572472126,0.17937716262975778,-0.16000000000000003,-0.05173394848135333,0.022206843521722412,0.16000000000000003,0.15378700499807765,0.14173010380622836,0.0005536332179930795,-0.010396001537870049,0.019930795847750864,-0.05536332179930796,0.003014225297962322,-0.041584006151480196,-0.010396001537870049,-0.07972318339100345,-0.19986159169550174,0.11909265667051133,0.05173394848135333,-0.0629911572472126,0.03254133025759323,0.17937716262975778,-0.2679584775086506,0.28444444444444444,-0.17279507881584008,0.2364628988850442,0.14769703960015382,0.044844290657439445,0.17937716262975778,-0.09356401384083046,-0.16000000000000003,-0.007443291041906958,-0.03543252595155709,0.006151480199923107,-0.13016532103037293,0.022206843521722412,-0.03254133025759323,0.008858131487889272,-0.13016532103037293,0.10340638216070744,-0.07535563244905807,0.14769703960015382,-0.029773164167627833,0.09356401384083046,-0.0005536332179930795,0.024605920799692427,-0.21413302575932336,-0.11909265667051133,-0.03844675124951941,0.03844675124951941,-0.03543252595155709,0.024605920799692427,-0.0629911572472126,0.2679584775086506,-0.01384083044982699,0.09842368319876971,0.041584006151480196,-6.151480199923106e-05,0.06698961937716265,-0.041584006151480196,-0.008858131487889272,0.0271280276816609,0.044844290657439445,-0.4444444444444444,0.23149999976158142,0.12514999508857727,0.0361500009894371,0.05950000137090683,0.05764999985694885,0.2498999983072281,0.33262231945991516,0.625101625919342,0,-55.22721094203462,-8.764817311389965,BRamz
0.07111111111111111,0.14173010380622836,-0.19986159169550174,-0.0629911572472126,-0.044844290657439445,0.16000000000000003,0.11909265667051133,0.22145328719723184,-0.03254133025759323,-0.0015378700499807767,0.012056901191849288,0.0271280276816609,0.05911572472126105,-0.05911572472126105,0.05536332179930796,-0.05536332179930796,-0.14769703960015382,0.03543252595155709,0.04822760476739715,-0.029773164167627833,0.07972318339100345,0.06698961937716265,-0.17279507881584008,0.29287197231833906,-0.14769703960015382,0.22145328719723184,0.2069357939254133,0.05173394848135333,0.17279507881584008,-0.019930795847750864,-0.15378700499807765,-0.044844290657439445,0.07972318339100345,-0.05536332179930796,-0.12456747404844293,0.012056901191849288,-0.07535563244905807,-0.029773164167627833,-0.16633602460592078,0.09842368319876971,-0.11374086889657825,0.1929104190695886,-0.03844675124951941,0.09356401384083046,0.06698961937716265,-0.01384083044982699,-0.2069357939254133,-0.12456747404844293,0.008858131487889272,0.0271280276816609,-0.010396001537870049,-0.022206843521722412,-0.17937716262975778,0.2761399461745483,-0.022206843521722412,0.06698961937716265,0.07111111111111111,-0.05536332179930796,0.1085121107266436,-0.022206843521722412,0.003014225297962322,-0.044844290657439445,0.03844675124951941,-0.40359861591695495,0.19419999420642853,0.09529999643564224,0.035599999129772186,0.059700001031160355,0.042899999767541885,0.2773999869823456,0.48859673738479614,0.7321261167526245,0,-55.07252105010924,-8.705887828751724,BRamz
0.09356401384083046,0.14769703960015382,-0.19986159169550174,-0.03543252595155709,0.006151480199923107,0.13588619761630144,0.13588619761630144,0.1929104190695886,0.044844290657439445,-0.041584006151480196,-0.000984236831987697,-0.008858131487889272,0.019930795847750864,-0.06698961937716265,0.010396001537870049,-0.07972318339100345,-0.15378700499807765,0.09842368319876971,0.04822760476739715,-0.03844675124951941,0.0629911572472126,0.16633602460592078,-0.21413302575932336,0.28444444444444444,-0.16633602460592078,0.19986159169550174,0.14769703960015382,0.08882737408688965,0.186082276047674,-0.03844675124951941,-0.16633602460592078,-0.03844675124951941,0.044844290657439445,-0.05536332179930796,-0.13016532103037293,-0.017777777777777778,-0.09356401384083046,-0.008858131487889272,-0.13588619761630144,0.12456747404844293,-0.11374086889657825,0.15378700499807765,-0.03844675124951941,0.09356401384083046,0.003014225297962322,-0.044844290657439445,-0.2364628988850442,-0.13016532103037293,-0.00024605920799692423,0.022206843521722412,-0.01574778931180315,0.012056901191849288,-0.13016532103037293,0.2519646289888504,-0.041584006151480196,0.09356401384083046,0.08882737408688965,-0.01574778931180315,0.03543252595155709,0.003014225297962322,-0.029773164167627833,0.01574778931180315,-0.01574778931180315,-0.4340484429065744,0.21480000019073486,0.11285000294446945,0.04154999926686287,0.06265000253915787,0.053449999541044235,0.2584500014781952,0.39213573932647705,0.6572619676589966,0,-55.13333699484413,-8.757540957588597,BRamz
0.041584006151480196,0.16000000000000003,-0.08421376393694734,-0.0271280276816609,0.022206843521722412,0.2761399461745483,0.14769703960015382,0.2599000384467512,-0.06698961937716265,-0.019930795847750864,-0.044844290657439445,0.006151480199923107,-0.11374086889657825,-0.003936947327950788,-0.07111111111111111,-0.008858131487889272,-0.13588619761630144,0.16633602460592078,0.0015378700499807767,-0.17937716262975778,0.15378700499807765,0.03844675124951941,-0.22145328719723184,0.31009611687812383,-0.07535563244905807,0.14769703960015382,0.08882737408688965,0.07111111111111111,0.00024605920799692423,-0.01384083044982699,-0.17279507881584008,-0.0629911572472126,0.09842368319876971,-0.07972318339100345,-0.09842368319876971,0.12456747404844293,0.08882737408688965,-0.03844675124951941,-0.11909265667051133,0.16633602460592078,-0.11909265667051133,0.05173394848135333,-0.03844675124951941,0.08882737408688965,0.03254133025759323,-0.07972318339100345,-0.2069357939254133,-0.11374086889657825,-0.05911572472126105,0.07111111111111111,-0.01384083044982699,0.11374086889657825,-0.16000000000000003,0.29287197231833906,0.05911572472126105,0.1085121107266436,0.019930795847750864,0.05536332179930796,0.029773164167627833,0.07972318339100345,0.03844675124951941,0.01574778931180315,0.012056901191849288,-0.33685505574778934,0.3138999938964844,0.1790499985218048,0.06305000185966492,0.10100000351667404,0.11729999631643295,0.3217499852180481,0.2849440574645996,0.46566450595855713,0,-55.14717105021957,-8.683519778177148,BRamz
0.03844675124951941,0.09842368319876971,-0.14769703960015382,-0.0005536332179930795,-0.00024605920799692423,0.29287197231833906,0.13588619761630144,0.2069357939254133,-0.08421376393694734,-0.008858131487889272,-0.044844290657439445,0.006151480199923107,-0.07111111111111111,-0.024605920799692427,-0.05911572472126105,-0.003936947327950788,-0.0629911572472126,0.2288965782391388,-0.007443291041906958,-0.07972318339100345,0.1085121107266436,0.13016532103037293,-0.2599000384467512,0.2679584775086506,-0.06698961937716265,0.11374086889657825,0.186082276047674,0.1085121107266436,0.006151480199923107,-0.09842368319876971,-0.11909265667051133,-0.0005536332179930795,0.022206843521722412,-0.041584006151480196,-0.17279507881584008,0.12456747404844293,-0.03844675124951941,-0.07972318339100345,-0.10340638216070744,0.1929104190695886,-0.044844290657439445,0.14173010380622836,-0.000984236831987697,0.09842368319876971,0.003936947327950788,0.03543252595155709,-0.13588619761630144,-0.14769703960015382,-0.12456747404844293,0.017777777777777778,0.0271280276816609,0.05536332179930796,-0.13016532103037293,0.2288965782391388,0.08882737408688965,0.12456747404844293,0.024605920799692427,0.09842368319876971,0.08421376393694734,0.13588619761630144,0.13016532103037293,0.012056901191849288,0.03844675124951941,-0.3839138792772011,0.37279999256134033,0.2409999966621399,0.08720000088214874,0.12160000205039978,0.1565999984741211,0.2906000018119812,0.09330324828624725,0.2996422350406647,0,-55.04081052057982,-8.538711354377082,BRamz
