cls,lat,lon,uv,x,yy,B11_2020,B12_2020,B2_2020,B3_2020,B4_2020,B8_2020,NDVI_2020,B11_2021,B12_2021,B2_2021,B3_2021,B4_2021,B8_2021,NDVI_2021,B11_2022,B12_2022,B2_2022,B3_2022,B4_2022,B8_2022,NDVI_2022,w,sep,res,s_uv,s_x,s_y,w_s2,sep_s2,res_s2,blk
1,-6.846734516737962,-55.09506876374064,0.8109159158464024,0.7674298389064864,0.9751356193555819,0.1987999975681305,0.0851999968290329,0.0348999984562397,0.05249999836087227,0.02539999969303608,0.37720000743865967,0.8738201856613159,0.3095000088214874,0.15469999611377716,0.05900000035762787,0.08060000091791153,0.08900000154972076,0.3021000027656555,0.5448734164237976,0.2567000091075897,0.13349999487400055,0.0494999997317791,0.07509999722242355,0.07150000333786011,0.3546000123023987,0.6643980145454407,1.113414094860981,0.625080672090234,0.2179951813145688,0.17992357905232434,-0.39761919234053866,0.7962345036251031,1.4243720259776216,1.3898875648830828,0.2523318567266211,-551_-69
1,-6.8488006418914384,-55.09641623666682,0.846775549876493,0.7726826514688923,0.9534345670439061,0.19850000739097595,0.08609999716281891,0.046799998730421066,0.061900001019239426,0.03519999980926514,0.3901999890804291,0.8345087170600891,0.2590000033378601,0.13300000131130219,0.05609999969601631,0.08030000329017639,0.08079999685287476,0.30239999294281006,0.5782880783081055,0.2526000142097473,0.1152999997138977,0.04179999977350235,0.06499999761581421,0.05380000174045563,0.33739998936653137,0.7249488830566406,1.2261317449520257,0.5609021627714519,0.29447676905488646,0.4548207963165004,-0.2762902074586402,0.5864383830054792,1.684585418673307,1.0986253436547155,0.5332167894435665,-551_-69
1,-7.316733073389296,-55.07279054469447,0.8240130959597503,0.8114613783093806,0.9763856379729146,0.17569999396800995,0.07594999670982361,0.0369499996304512,0.05380000174045563,0.030700000002980232,0.334850013256073,0.8320339322090149,0.18279999494552612,0.07944999635219574,0.028950000181794167,0.04800000041723251,0.02565000019967556,0.2766000032424927,0.8302729725837708,0.18520000576972961,0.09709999710321426,0.02710000053048134,0.04989999905228615,0.028699999675154686,0.27880001068115234,0.8133333325386047,1.0362083673268738,0.6023382299941327,0.21569069457653126,0.5162662528496174,0.6246577621983888,0.9485132779750665,0.8714321834484587,1.0283108074649323,0.27474544973882375,-551_-74
1,-6.846914179794789,-55.09542808985429,0.7499263315310216,0.6951182691541613,0.9658361024897851,0.1891999989748001,0.08209999650716782,0.03840000182390213,0.05260000005364418,0.029200000688433647,0.3160000145435333,0.8308227062225342,0.2827000021934509,0.1534000039100647,0.04540000110864639,0.06719999760389328,0.06469999998807907,0.2987000048160553,0.6439185738563538,0.24420000612735748,0.1151999980211258,0.032600000500679016,0.05350000038743019,0.035999998450279236,0.34119999408721924,0.8091198205947876,1.1097970369601113,0.722845617037966,0.25537006632312875,0.35480064727209404,-0.652620107119676,0.4397985185042377,1.8887858539599012,1.2080954928586973,0.241806752331096,-551_-69
1,-6.850866767044915,-55.09668573125205,0.865240710749023,0.7751436597966567,0.9524499593729737,0.2098499983549118,0.08914999663829803,0.033399999141693115,0.05849999934434891,0.02565000019967556,0.4158500134944916,0.8838052153587341,0.2777999937534332,0.14579999446868896,0.04149999842047691,0.06800000369548798,0.05429999902844429,0.34599998593330383,0.7287034392356873,0.25554999709129333,0.1242000013589859,0.03685000166296959,0.0617000013589859,0.04430000111460686,0.35830000042915344,0.7799304723739624,1.302166992255887,0.5251660350909698,0.28862534220001546,0.7140599568948708,0.3837324270516075,0.9134962439512643,1.5176498085155479,0.775515897973418,0.13553164658301,-551_-69
1,-7.423273266085873,-54.797367078583434,0.5086534055676987,0.6035935601617749,0.8297018751105844,0.14900000393390656,0.06679999828338623,0.0333000011742115,0.052299998700618744,0.034699998795986176,0.21320000290870667,0.7200484275817871,0.13950000703334808,0.10159999877214432,0.16539999842643738,0.1754000037908554,0.2160000056028366,0.24369999766349792,0.06025667116045952,0.13079999387264252,0.0934000015258789,0.1273999959230423,0.14980000257492065,0.15520000457763672,0.19179999828338623,0.10547548532485962,0.8897191916224461,1.0371763013107107,0.5168402274201906,0.18315775686217764,-0.04427845052308992,0.9649080265510068,1.1647848914258598,1.386598736444532,0.135691292484208,-548_-75
1,-6.850507440931265,-55.09758404653617,0.8881462630895964,0.788761380482265,0.9314789602851415,0.18664999306201935,0.08320000022649765,0.04010000079870224,0.05900000035762787,0.030249999836087227,0.33684998750686646,0.8351947665214539,0.24459999799728394,0.12245000153779984,0.03395000100135803,0.05350000038743019,0.03945000097155571,0.29589998722076416,0.7647234201431274,0.1932000070810318,0.08429999649524689,0.027799999341368675,0.04690000042319298,0.027300000190734863,0.34279999136924744,0.8524723052978516,1.3863956715863586,0.477500728017857,0.35400326935859217,0.9326247990399379,-0.10990072969519349,0.14820440236957033,4.553158826770635,0.3691765573946955,0.7108008032060581,-551_-69
1,-7.457139752297179,-54.919178631110036,0.8126184298737023,0.7924229042123067,0.9554495772113792,0.1509999930858612,0.06480000168085098,0.024299999698996544,0.04349999874830246,0.02160000056028366,0.2939000129699707,0.8630744814872742,0.20819999277591705,0.11460000276565552,0.05025000125169754,0.07900000363588333,0.06080000102519989,0.32580000162124634,0.685463011264801,0.187049999833107,0.09184999763965607,0.03889999911189079,0.06440000236034393,0.042750000953674316,0.3555000126361847,0.7853107452392578,1.0544229184269014,0.6221653075415875,0.29387367096045525,0.41539037568337955,-0.6662020430578287,0.3399513042122697,2.013175464232713,1.1424244133401475,0.31075664443592854,-550_-75
1,-7.462080486359836,-55.46840859582071,0.8373154635316824,0.8203407232985392,0.9825563828776115,0.164450004696846,0.06830000132322311,0.025350000709295273,0.043699998408555984,0.01964999921619892,0.32295000553131104,0.8852889537811279,0.19329999387264252,0.09229999780654907,0.03060000017285347,0.05570000037550926,0.03359999880194664,0.30059999227523804,0.7989227771759033,0.19699999690055847,0.09380000084638596,0.03530000150203705,0.06120000034570694,0.03819999843835831,0.3066999912261963,0.7784865498542786,1.0524646849625696,0.578441985608992,0.18591444189720216,0.951245844878871,0.9312485152940746,0.9648858473834687,1.189528726276775,0.3135460064159015,0.25904909923886316,-555_-75
1,-7.462978801643954,-54.935348306224185,0.7380335076518789,0.5946060891317198,0.9410174904189842,0.16290000081062317,0.07670000195503235,0.0348999984562397,0.059700001031160355,0.038600001484155655,0.24684999883174896,0.7295498251914978,0.19574999809265137,0.1143999993801117,0.11400000005960464,0.15690000355243683,0.1550000011920929,0.28630000352859497,0.29753002524375916,0.1793999969959259,0.0868000015616417,0.04740000143647194,0.08049999922513962,0.06129999831318855,0.25029999017715454,0.6065468788146973,1.2610909806458865,0.740644973018983,0.3042504953078454,0.6688287810385665,-0.23640105546887286,0.528450011231915,2.1588332655202658,0.8381641127622954,0.3020277207515174,-550_-75
1,-6.692493782454642,-55.1135740585935,0.7463327053845111,0.7008251967088639,0.9297734530577881,0.16425000131130219,0.06889999657869339,0.027049999684095383,0.04774999991059303,0.025750000029802322,0.3347499966621399,0.8571428656578064,0.2653999924659729,0.15150000154972076,0.10170000046491623,0.13819999992847443,0.13259999454021454,0.36959999799728394,0.4719235599040985,0.22709999978542328,0.11760000139474869,0.06024999916553497,0.08094999939203262,0.061650000512599945,0.32179999351501465,0.6784456968307495,1.0906011017182877,0.728261384514792,0.3679860047825786,-0.5926582139703637,-0.6647089091819136,0.9510457039704253,1.0420601529912152,2.205151443761345,0.2824327267348651,-552_-67
1,-6.692763277039878,-55.114023216235566,0.5090837490268214,0.5366294652886145,0.8852516040247733,0.17900000512599945,0.07779999822378159,0.030400000512599945,0.0544000007212162,0.027799999341368675,0.36059999465942383,0.8568485975265503,0.5224999785423279,0.4018000066280365,0.2125999927520752,0.27399998903274536,0.3463999927043915,0.3928000032901764,0.06277057528495789,0.5552999973297119,0.4311000108718872,0.23019999265670776,0.2971999943256378,0.35280001163482666,0.4316999912261963,0.1005735844373703,0.9688256695750557,1.0366763926648455,0.454263151880697,-0.5498199623624405,-0.5891722535964576,0.9983479908365472,1.022241788160217,2.1529450085331483,0.03127387204794422,-552_-67
1,-7.150904071940834,-55.11743681431521,0.7018721431632259,0.7676760986702391,0.8829913671448935,0.16644999384880066,0.07384999841451645,0.027650000527501106,0.042149998247623444,0.024700000882148743,0.325300008058548,0.8588571548461914,0.21070000529289246,0.09470000118017197,0.028999999165534973,0.0544000007212162,0.027499999850988388,0.37040001153945923,0.8617743253707886,0.18809999525547028,0.08089999854564667,0.027799999341368675,0.047200001776218414,0.024000000208616257,0.2985999882221222,0.8512089252471924,0.8774121083257241,0.7927739255494872,0.4209470773691856,0.9207052017192016,0.6926704842678444,0.5660041947342371,2.009443297531723,0.4009126656133894,0.6974340647257071,-552_-72
1,-6.850058283289206,-55.09605691055317,0.7519559633483175,0.6895966929585686,0.9596178977682998,0.1951500028371811,0.08340000361204147,0.02694999985396862,0.039250001311302185,0.019099999219179153,0.3338499963283539,0.8917693495750427,0.26489999890327454,0.14710000157356262,0.042399998754262924,0.06480000168085098,0.06759999692440033,0.31690001487731934,0.6483745574951172,0.2463500052690506,0.11935000121593475,0.04075000062584877,0.06235000118613243,0.05245000123977661,0.34630000591278076,0.7369279265403748,1.1251676643381128,0.7197721303911057,0.27708847410202886,0.22718690746377226,-0.34125303835885445,0.7617616952895713,1.4304070985213777,1.3416082486389627,0.3752371498570224,-551_-69
1,-6.74261977530851,-54.976850472350506,0.6026281604345533,0.7245607849936757,0.8696076836741439,0.16439999639987946,0.07084999978542328,0.04969999939203262,0.058150000870227814,0.04190000146627426,0.22689999639987946,0.6882440447807312,0.22529999911785126,0.1136000007390976,0.04479999840259552,0.0617000013589859,0.0731000006198883,0.2531000077724457,0.5518087148666382,0.3176000118255615,0.19609999656677246,0.0771000012755394,0.10109999775886536,0.1128000020980835,0.2371000051498413,0.35524436831474304,0.8229377905019921,0.9240059543099887,0.42503070162820294,-0.21374240146127568,0.29686718540437396,0.7777401314587833,0.7106626479743774,1.7862006258242658,0.412781587558447,-550_-68
1,-6.6925836139830555,-55.1142927108208,0.5237720703937696,0.5610639525418388,0.7870071155018161,0.18880000710487366,0.08049999922513962,0.02979999966919422,0.054499998688697815,0.024800000712275505,0.3993000090122223,0.8830464482307434,0.32795000076293945,0.2301499992609024,0.11159999668598175,0.15160000324249268,0.14869999885559082,0.10119999945163727,-0.19007602334022522,0.28540000319480896,0.18950000405311584,0.08739999681711197,0.12240000069141388,0.11739999800920486,0.12359999865293503,0.025726143270730972,0.9564526302564329,1.0195233249700693,0.5916811727485972,-0.911860332602227,-0.8700388289340323,0.9936320253676083,0.9659704887319283,2.718589683331703,0.07069772566349429,-552_-67
1,-6.692314119397819,-55.114382542349205,0.5113636441548449,0.6226203679683726,0.7489874884131308,0.17374999821186066,0.07559999823570251,0.03085000067949295,0.05169999971985817,0.027699999511241913,0.3301999866962433,0.8452081680297852,0.17634999752044678,0.09570000320672989,0.08950000256299973,0.1143999993801117,0.11680000275373459,0.18979999423027039,0.2380952090024948,0.16899999976158142,0.09510000050067902,0.06750000268220901,0.09629999846220016,0.08730000257492065,0.20614999532699585,0.40500935912132263,0.8691366650578041,1.0340254788571928,0.6010593514066533,-0.6464974705073601,-0.7283236278033531,0.9799303889753426,1.0496476415485627,2.273780806149326,0.15587017020222338,-552_-67
1,-7.14793963150324,-55.11626900444586,0.7296328589793565,0.7520198233282352,0.8418784286231853,0.1851000040769577,0.08089999854564667,0.030400000512599945,0.04910000041127205,0.026900000870227814,0.3472999930381775,0.8562266230583191,0.2401999980211258,0.11599999666213989,0.039799999445676804,0.06880000233650208,0.04879999905824661,0.36800000071525574,0.7658349275588989,0.2110999971628189,0.09189999848604202,0.029600000008940697,0.060499999672174454,0.028149999678134918,0.31349998712539673,0.835211455821991,0.9557295418586991,0.7530114122343068,0.5006591905173249,0.830742212673227,0.43133539695760326,0.403213233506812,1.9053295085080213,0.5903566274094733,0.8985811948576091,-552_-72
1,-6.746572362558636,-54.99158284301007,0.6838140310095737,0.7440751551949455,0.9363411318599405,0.16394999623298645,0.06714999675750732,0.027499999850988388,0.04244999960064888,0.02459999918937683,0.26010000705718994,0.8271865248680115,0.21660000085830688,0.11550000309944153,0.05469999834895134,0.061000000685453415,0.055799998342990875,0.295199990272522,0.6820513010025024,0.27390000224113464,0.16439999639987946,0.05285000056028366,0.07159999758005142,0.0726500004529953,0.2551499903202057,0.5567418932914734,0.8946314915674755,0.8178192487301238,0.32098422164930807,-0.6341684588159944,-0.6610200565545173,0.7905810151553292,1.0156107193756565,2.257728910601331,0.5764917512898144,-550_-68
1,-6.692673445511465,-55.11447237387762,0.529595380831996,0.48792874570910755,0.8081444055838106,0.1784999966621399,0.07779999822378159,0.026599999517202377,0.05009999871253967,0.022600000724196434,0.36570000648498535,0.8835951685905457,0.2524999976158142,0.16899999976158142,0.18629999458789825,0.23729999363422394,0.27480000257492065,0.31520000100135803,0.06847457587718964,0.2024500072002411,0.12309999763965607,0.09064999967813492,0.125900000333786,0.13169999420642853,0.25040000677108765,0.3106516897678375,1.0478024103650072,1.0126728369170326,0.584730262153585,-0.8141716419782736,-0.6453505562055427,0.9228604123070034,0.9009479219040414,2.5220974234095976,0.3391010592708199,-552_-67
1,-7.457499078410825,-54.9189091365248,0.8768920314414901,0.8446705961286296,0.9687212900252334,0.1703999936580658,0.0738999992609024,0.031099999323487282,0.06040000170469284,0.035100001841783524,0.3481000065803528,0.8168058395385742,0.18400000035762787,0.08720000088214874,0.03480000048875809,0.06199999898672104,0.040699999779462814,0.3418000042438507,0.7871895432472229,0.17284999787807465,0.07919999957084656,0.0320499986410141,0.06080000102519989,0.03604999929666519,0.3343999981880188,0.8053718209266663,1.1264530147045975,0.5014384356475684,0.24795084744351414,0.9944451420703572,0.9825803966461368,0.96321537517102,1.7726127568368195,0.10545148934266925,0.13068610176781456,-550_-75
1,-6.84978878870397,-55.09686539430888,0.8370583132119797,0.702951761285437,0.9255283196463786,0.18770000338554382,0.07829999923706055,0.03319999948143959,0.052000001072883606,0.02669999934732914,0.3871999979019165,0.8709833025932312,0.2556999921798706,0.13300000131130219,0.038600001484155655,0.05990000069141388,0.04500000178813934,0.34439998865127563,0.7688751816749573,0.20340000092983246,0.09160000085830688,0.030899999663233757,0.0421999990940094,0.03020000085234642,0.31040000915527344,0.8226658701896667,1.3667999455417497,0.5789121673327581,0.3552317517451563,0.6902540358413688,0.35592991660004053,0.22486339789876064,1.4919068539829392,0.808956244660834,0.9340696180319988,-551_-69
1,-6.852034576914269,-55.09938067710441,0.8060873430368147,0.7083629372135433,0.9325972478275223,0.19910000264644623,0.08619999885559082,0.032499998807907104,0.05249999836087227,0.029500000178813934,0.3425999879837036,0.8414404392242432,0.30059999227523804,0.1607999950647354,0.04309999942779541,0.06960000097751617,0.07010000199079514,0.2809000015258789,0.6005697846412659,0.2370000034570694,0.11455000191926956,0.03525000065565109,0.06064999848604202,0.04170000180602074,0.352400004863739,0.7883785963058472,1.2373877944331553,0.633285791534017,0.35339243093253886,0.6632647394627251,-0.4903415646868122,0.27408082473732354,2.463599666174193,0.8456235722254504,0.3439235770132418,-551_-69
