lon,lat,cls,w,sep,res,x,uv,yy,blk,cls_m,cnt_202012,cnt_202101,cnt_202102,cnt_202103,cnt_202104,cnt_202105,cnt_202106,cnt_202107,cnt_202108,cnt_202109,cnt_202110,cnt_202111,cnt_202112,cnt_202201,nbr_202012,nbr_202101,nbr_202102,nbr_202103,nbr_202104,nbr_202105,nbr_202106,nbr_202107,nbr_202108,nbr_202109,nbr_202110,nbr_202111,nbr_202112,nbr_202201,ndvi_202012,ndvi_202101,ndvi_202102,ndvi_202103,ndvi_202104,ndvi_202105,ndvi_202106,ndvi_202107,ndvi_202108,ndvi_202109,ndvi_202110,ndvi_202111,ndvi_202112,ndvi_202201,b_ndvi,drop_ndvi,b_nbr,drop_nbr,unresolved,n_clear_2021,m_indep,obs_tercile
-55.11824529807093,-7.150454914298775,1,0.9894069490933114,0.8961524436435963,0.5991879620024781,0.6320043528640173,0.6246192542098895,0.7785666886763601,-552_-72,1,4,10,0,6,0,12,8,8,10,8,4,2,0,10,0.4200681746006012,-0.0303100142627954,-9.0,0.2686234414577484,-9.0,0.61327064037323,0.6167261004447937,0.4832670390605926,0.3299659490585327,0.3420994877815246,0.5835943818092346,0.6903196573257446,-9.0,0.5582786202430725,0.572783350944519,0.2775584459304809,-9.0,0.3892787992954254,-9.0,0.8722199201583862,0.8769574761390686,0.800823986530304,0.5907538533210754,0.6778082251548767,0.7647345066070557,0.9191763401031494,-9.0,0.727638304233551,,-0.10441858271757753,,-0.10557738896459345,True,9,,low
-54.97640131470845,-6.7433384275358055,1,0.7650523284101507,1.0220952852823988,0.4060960916710975,0.7095362981232929,0.5215793943151135,0.8614266776109091,-550_-68,1,1,2,0,2,1,4,4,5,4,2,3,3,0,2,0.4044444561004638,0.3812927305698395,-9.0,0.4061807692050934,0.4789436161518097,0.5727344155311584,0.5803911685943604,0.5900081396102905,0.5816923975944519,0.0286419074982404,0.17543326318264,-0.0281343888491392,-9.0,0.1164398342370987,0.6031035780906677,0.4474112689495086,-9.0,0.6294594407081604,0.7714448571205139,0.8354160189628601,0.8389241695404053,0.8420886993408203,0.7882069945335388,0.351215124130249,0.3442280888557434,0.3985849022865295,-9.0,0.2689993977546692,9.0,0.3787500001490116,9.0,0.4263658076524735,False,10,9.0,mid
-55.09560775291111,-6.850597272459678,1,1.1000434856867003,0.5733131237030358,0.2834809637878357,0.8076329732701217,0.840108490021213,0.958970821650384,-551_-69,1,2,3,0,2,0,5,4,6,6,2,0,3,0,2,0.6411023736000061,0.3487162888050079,-9.0,0.4303451776504516,-9.0,0.6463165283203125,0.4409569799900055,0.1868797689676284,0.1304347813129425,0.3466091454029083,-9.0,0.3822894096374511,-9.0,0.5608682632446289,0.836785078048706,0.3914501368999481,-9.0,0.5265017747879028,-9.0,0.8844426870346069,0.6726114749908447,0.4512709081172943,0.3785988390445709,0.6232300996780396,-9.0,0.4542149603366852,-9.0,0.6801981329917908,7.0,0.1448556423187256,7.0,0.1800711959600449,False,8,7.0,low
-55.29979481699148,-6.63949318069159,1,1.0666380645001483,0.6065618517065077,0.3101696049663676,0.7979066472673914,0.8216127727764482,0.9502018125995074,-553_-67,1,2,2,0,0,1,3,4,5,4,3,1,3,1,2,0.3566551208496094,0.090979628264904,-9.0,-9.0,0.4432518184185028,0.3941408693790436,0.3381490707397461,0.2646121084690094,0.1565017253160476,0.1972091048955917,0.2523569464683532,0.4075881838798523,0.5329341292381287,0.3839923739433288,0.5753231048583984,0.3469045758247375,-9.0,-9.0,0.5667621493339539,0.6724825501441956,0.6608628034591675,0.5769944190979004,0.461995393037796,0.4875063598155975,0.5517522692680359,0.6872340440750122,0.6699923276901245,0.5622479319572449,,-0.0035664538542429236,,0.011036076928888139,True,10,,mid
-55.054375081370026,-7.097813638649368,1,1.7434554005097498,0.4187768844796277,0.4944899436420813,0.745095159064749,0.9135869953309592,0.8627078769721698,-551_-71,1,3,4,0,1,1,4,3,5,5,2,3,3,1,4,0.4821720719337463,0.3438963592052459,-9.0,0.3793644607067108,0.5080432891845703,0.3267813324928283,0.100599318742752,0.1245112195611,0.1531424075365066,0.1481703668832779,0.2410012781620025,0.5106660723686218,0.3883450031280517,0.5829662084579468,0.6685693264007568,0.6216931343078613,-9.0,0.4668335318565368,0.6198554635047913,0.4826678931713104,0.1782768070697784,0.1867940872907638,0.1825412958860397,0.2575558423995971,0.3066564202308655,0.5034661889076233,0.4437621235847473,0.7548596858978271,2.0,0.24665219946341083,5.0,0.14212646666500306,False,11,2.0,high
-55.09605691055317,-6.850058283289206,1,1.1251676643381128,0.7197721303911057,0.2770884741020288,0.6895966929585686,0.7519559633483175,0.9596178977682998,-551_-69,1,2,2,0,2,0,5,5,6,6,2,0,2,0,2,0.6403375267982483,0.2971213161945343,-9.0,0.3869693875312805,-9.0,0.5532358884811401,0.4126914739608764,0.2193511724472046,0.2080195248126983,0.3932112753391266,-9.0,0.4388796687126159,-9.0,0.6111479997634888,0.8168053030967712,0.4578719437122345,-9.0,0.4957416653633117,-9.0,0.8521284461021423,0.7312952280044556,0.5846154093742371,0.4882383644580841,0.6726190447807312,-9.0,0.5786458253860474,-9.0,0.7293447256088257,,0.06007584333419802,6.0,0.08886584391196567,True,8,,low
-55.09578741596793,-6.849429462590324,1,1.1911617971758823,0.610653873828874,0.2802563060826624,0.7469140105667222,0.8192732596119464,0.9576731010357268,-551_-69,1,2,2,0,1,0,5,5,6,6,2,0,3,0,2,0.6362431645393372,0.4827586114406585,-9.0,0.4468870162963867,-9.0,0.6328024864196777,0.4322282969951629,0.2014982998371124,0.1507878601551056,0.3678547441959381,-9.0,0.3860689997673034,-9.0,0.5712221264839172,0.802554726600647,0.5982844829559326,-9.0,0.67413729429245,-9.0,0.8782901763916016,0.7112058401107788,0.4456521868705749,0.3849051892757416,0.6079051494598389,-9.0,0.3698154091835022,-9.0,0.729969322681427,7.0,0.22524505257606509,6.0,0.19806276510159176,False,8,7.0,low
-54.79736707858344,-7.423273266085873,1,0.8897191916224461,1.0371763013107107,0.5168402274201906,0.6035935601617749,0.5086534055676987,0.8297018751105844,-548_-75,1,1,2,0,2,2,4,3,5,3,1,1,1,0,2,0.4819983243942261,0.27169930934906,-9.0,0.3766500353813171,0.332820326089859,0.2387023717164993,0.2779724895954132,0.4264545738697052,0.3341279327869415,0.3388816714286804,0.3092324733734131,0.5182926654815674,-9.0,0.2896907329559326,0.5645256042480469,0.4090487360954284,-9.0,0.3819199204444885,0.5636473298072815,0.5426958203315735,0.0253082420676946,0.007541942410171,0.0070475335232913,-0.0145482392981648,0.0685428977012634,-0.0867970660328865,-9.0,0.0601694919168949,6.0,0.48275822471561175,,0.036096418897310856,False,10,6.0,mid
-55.097045057365705,-6.8510464301017375,1,1.3779244605423009,0.5365733083344807,0.3063333597925047,0.7389016454056575,0.8594654277382149,0.94185521559522,-551_-69,1,2,3,0,2,0,5,5,6,6,2,0,2,0,2,0.6538295149803162,0.104970671236515,-9.0,0.3715044260025024,-9.0,0.57600998878479,0.4097948968410492,0.2173181027173996,0.1742633283138275,0.371590793132782,-9.0,0.4523274600505829,-9.0,0.5269742012023926,0.8146424889564514,0.3554251194000244,-9.0,0.4865983128547668,-9.0,0.8373391628265381,0.6739562749862671,0.5195916295051575,0.4314543306827545,0.6207020282745361,-9.0,0.5530381202697754,-9.0,0.730040967464447,,0.06262685656547551,7.0,0.07472712248563762,True,8,,low
-55.00362026781727,-7.350599559600605,1,1.2418975047154774,0.6211458766023217,0.3407929132478745,0.7169357157015738,0.813212127887996,0.9369523917471188,-551_-74,1,2,4,0,0,1,5,3,5,3,3,2,3,1,3,0.6097802519798279,0.516413152217865,-9.0,-9.0,0.3455163538455963,0.4281870126724243,0.3928688168525696,0.4324879944324493,0.418009489774704,0.4425400495529175,0.476969450712204,0.5213537216186523,0.5227483510971069,0.5642392039299011,0.6682075262069702,0.6803193688392639,-9.0,-9.0,0.5376396179199219,0.7451705932617188,0.7245848774909973,0.7237113118171692,0.7241644263267517,0.6943894624710083,0.6406455636024475,0.7850614786148071,0.7263157963752747,0.8283737301826477,,-0.03874223828315737,2.0,0.10860465764999389,True,10,,mid
