ang_2020,ang_2021,ang_2022,ang_2023,ang_2024,ang_2025,dummy,s2ang_2020,s2ang_2021,s2ang_2022,s2ang_2023,s2ang_2024,s2ang_2025,lon,lat,roi,grp
7.7297999446571435,9.828811544879201,6.437026218368953,5.051883252460159,7.140242665699458,6.091373850467702,0,0.7617884722826657,1.3008416175988589,2.8810308889017944,2.1367693506308756,1.5415214681199567,4.259025557728892,23.051713421555245,0.49043522936505274,CD_congo,AF
7.784767003834089,8.304300021789869,6.482824967973535,7.867167180922391,10.289873594914184,10.895609242806795,0,1.0742049535737617,1.8773584049572465,1.8851704176469224,0.6712489608862857,1.7695002484598295,0.9916294238399419,23.065457645402276,0.30214834581360106,CD_congo,AF
4.644321012174132,3.8865166383437635,8.00825517371404,5.638319513124209,6.066080024500789,8.632608709853393,0,2.230154370843183,1.981653217939414,3.078359802823472,2.3887567169679724,0.9599985748275359,2.760246234750574,23.314021484518147,0.4228819199992647,CD_congo,AF
11.36740217655457,11.85869580987738,10.316446411111473,12.567002108689046,13.80361198230402,10.712039991711327,0,1.5105129564105597,1.9329513835908188,2.7108051944063747,2.7728686394120787,2.7652898320505908,1.5188280280760156,23.10426486567624,0.13712782812084495,CD_congo,AF
7.210489941023719,8.039568515633544,8.567203008077184,7.430891898955325,11.980671145215679,8.130746732469312,0,2.569294599388895,2.064860108422112,1.0669559738228414,1.0460291170236384,1.2817972950461323,3.787130017045919,23.384808728906766,0.4852250007171595,CD_congo,AF
4.679285981463647,2.876865768312848,6.575190682018736,7.862006452608679,9.614006597809004,7.900695722216528,0,1.1576952807204843,0.6924900620515443,1.1411861315968104,0.5094992670610945,1.402925658013161,2.714712750898175,23.4038530129301,0.4516280090910894,CD_congo,AF
8.671724970744792,9.39122056759214,8.734762349077966,7.78012374716345,9.031798015642243,10.040016992967567,0,1.4017486902382381,1.6828189444410704,1.2494864372213803,1.3775998589334042,0.381066953372964,1.1584894999579043,23.306026478489482,0.43671597537470536,CD_congo,AF
5.858054232799744,6.352106024166763,4.170606368907748,3.1931201420297,5.896378451151373,11.155099355971934,0,0.8646897952466925,2.426532065330053,1.65418286478722,0.8883889054172817,0.680792130985169,2.3558469656789063,23.111092061835546,0.22183895941331583,CD_congo,AF
5.1432058889625,4.119937966526308,0.0,4.250738360853845,8.143994640885868,10.395779753221396,0,2.187633273347319,1.5256377417555946,2.9201901102748096,3.2978501173642307,2.577372963887268,2.6260460483420185,23.397025816770793,0.1034410049663629,CD_congo,AF
4.108602691589481,8.229420843706448,5.1807309372047285,7.0048709031957594,9.674093212187126,9.2173397077498,0,1.2647457732726972,1.3049568092000952,2.6705179059704975,2.1581878515540387,1.2685070147070008,2.0923076454830567,23.3504930850534,0.3220909451210544,CD_congo,AF
