s2_2224,lon,lat
7.503948945247536,34.268802,31.222458
7.175491382742431,34.268838,31.225164
5.250452198272866,34.271987,31.225133
3.393629141782161,34.265725,31.227902
3.5591432188861254,34.268874,31.227871
4.319989098291828,34.272023,31.227839
2.7126285527345266,34.275172,31.227808
3.668853005137964,34.265761,31.230608
3.245182849354936,34.26891,31.230577
2.983102434720877,34.272059,31.230546
3.442135960369971,34.275209,31.230514
4.099745999383239,34.278358,31.230483
3.968246856649055,34.265797,31.233314
2.7065274770635295,34.268946,31.233283
2.9976279450397345,34.272096,31.233252
4.186067694610642,34.275245,31.233221
7.352237878109408,34.278394,31.233189
3.6142505007201047,34.281544,31.233158
4.36083300622358,34.262684,31.236051
5.098179019923705,34.265833,31.23602
5.410764055583617,34.268982,31.235989
4.976983986288929,34.272132,31.235958
6.5132332606072225,34.275281,31.235927
6.1901552092790295,34.278431,31.235896
5.821941502539069,34.28158,31.235864
3.691740437525567,34.28473,31.235833
4.156888820650534,34.26272,31.238757
4.787808509023053,34.265869,31.238726
5.120130476638248,34.269019,31.238695
4.193308959519945,34.272168,31.238664
6.255664602731893,34.275318,31.238633
5.486189768824586,34.278467,31.238602
4.605640231981848,34.281617,31.23857
5.511619492427376,34.284766,31.238539
3.5835754785652436,34.287916,31.238507
8.178561771109846,34.262756,31.241464
7.862530413403504,34.265905,31.241433
4.737827401652376,34.269055,31.241402
8.871345980158845,34.272205,31.24137
8.37447098997288,34.275354,31.241339
4.539764959295515,34.278504,31.241308
4.616820041880677,34.281653,31.241277
5.464456018360296,34.284803,31.241245
5.625676555193658,34.287953,31.241214
4.160945705544161,34.291102,31.241182
5.2273710365104,34.259642,31.244201
10.241769107433116,34.262792,31.24417
9.819233740631129,34.265941,31.244139
5.643962558001556,34.269091,31.244108
8.801964196758512,34.272241,31.244077
9.21030497762071,34.275391,31.244045
5.29657407062036,34.27854,31.244014
6.692824292385086,34.28169,31.243983
6.4927621169687155,34.28484,31.243951
6.387607478853345,34.287989,31.24392
7.0197448279349715,34.291139,31.243888
4.767711837023326,34.294289,31.243857
3.7126113140572587,34.297439,31.243825
8.441422421590627,34.259678,31.246907
9.614336126429219,34.262828,31.246876
7.015088558726349,34.265977,31.246845
7.068735460094286,34.269127,31.246814
6.082017806000692,34.272277,31.246783
4.048824573698595,34.275427,31.246752
2.9208624992952954,34.278577,31.24672
6.88278968807832,34.281727,31.246689
7.484378223411513,34.284876,31.246658
6.730599087380757,34.288026,31.246626
8.814707421598182,34.291176,31.246594
7.78252770735531,34.294326,31.246563
9.002096808128433,34.297476,31.246531
6.165994037303452,34.259714,31.249613
10.129055312863295,34.262864,31.249582
7.4778426423089615,34.266014,31.249551
9.324252929084073,34.269163,31.24952
6.215543093978385,34.272313,31.249489
4.27182520664806,34.275463,31.249458
2.1762185069899975,34.278613,31.249427
5.514050281195592,34.281763,31.249395
7.700198908147782,34.284913,31.249364
5.897139840622063,34.288063,31.249332
7.6170394830711965,34.291213,31.249301
13.670218478038926,34.294363,31.249269
6.346692854506136,34.297513,31.249237
4.9286266830876935,34.2566,31.25235
5.237173732769717,34.25975,31.252319
5.837717155698306,34.2629,31.252288
8.196277659807977,34.26605,31.252257
10.742974363352769,34.2692,31.252226
9.255866426112675,34.27235,31.252195
4.800847020951848,34.2755,31.252164
3.9591283464619558,34.27865,31.252133
6.683911888495403,34.2818,31.252101
5.751585960843976,34.28495,31.25207
5.294843391734548,34.2881,31.252038
5.957080273104856,34.29125,31.252007
5.346657259545835,34.2944,31.251975
5.2641916588550135,34.29755,31.251943
6.365407253175919,34.256635,31.255056
7.341971186216418,34.259785,31.255026
9.463556883915219,34.262936,31.254995
7.030984884106041,34.266086,31.254964
11.691011722290012,34.269236,31.254933
9.721638959048914,34.272386,31.254901
3.0958648173472008,34.275536,31.25487
4.915273157377551,34.278686,31.254839
6.04950959252405,34.281836,31.254808
6.807489410875602,34.284986,31.254776
7.414423337404649,34.288136,31.254745
7.686357240437623,34.291287,31.254713
4.939897738863519,34.294437,31.254681
5.872160023165153,34.297587,31.254649
10.242324046391246,34.256671,31.257763
10.116995216650292,34.259821,31.257732
10.91169758008674,34.262972,31.257701
13.864481649649282,34.266122,31.25767
11.176211238635059,34.269272,31.257639
9.501703242227904,34.272422,31.257608
6.570582291576021,34.275572,31.257576
7.519093705966125,34.278723,31.257545
10.158504515083033,34.281873,31.257514
6.377013166277153,34.285023,31.257482
5.438391096820939,34.288173,31.257451
5.002860060065728,34.291323,31.257419
4.362930125106195,34.294474,31.257387
6.042092452896586,34.297624,31.257356
5.008399729879045,34.253557,31.2605
15.454440474061187,34.256707,31.260469
13.264327786017676,34.259857,31.260438
7.7142341550387625,34.263008,31.260407
11.235312233756249,34.266158,31.260376
13.676915147293963,34.269308,31.260345
7.745527210949925,34.272459,31.260314
5.800843733718557,34.275609,31.260283
6.89550708228739,34.278759,31.260251
5.25392211107155,34.281909,31.26022
5.747948167724399,34.28506,31.260188
5.8353421652403,34.28821,31.260157
5.062625306654154,34.29136,31.260125
6.427265375890345,34.29451,31.260094
6.483021132490508,34.297661,31.260062
12.44479399081478,34.253593,31.263206
12.935390790992871,34.256743,31.263175
13.534309710626184,34.259893,31.263144
13.562561413531268,34.263044,31.263113
12.527219609870645,34.266194,31.263082
12.25934835071138,34.269345,31.263051
9.974883609085849,34.272495,31.26302
6.406276207161696,34.275645,31.262989
6.17162861781863,34.278796,31.262957
4.688221553169933,34.281946,31.262926
5.3460136203694315,34.285096,31.262895
5.235462477694738,34.288247,31.262863
6.451301053175321,34.291397,31.262831
6.389296214287936,34.294547,31.2628
5.382070254197359,34.297698,31.262768
8.483492364439057,34.253628,31.265912
8.846076518372957,34.256779,31.265881
10.852144220762124,34.259929,31.26585
13.373688359351446,34.26308,31.265819
13.885112723784635,34.26623,31.265788
11.578214005124954,34.269381,31.265757
6.381504675164116,34.272531,31.265726
7.726802469298448,34.275682,31.265695
6.371035155776068,34.278832,31.265664
5.912166888271116,34.281983,31.265632
6.763498550652287,34.285133,31.265601
7.0636044792215635,34.288284,31.265569
9.59158739500965,34.291434,31.265538
6.574776013261864,34.294584,31.265506
7.544423330550476,34.297735,31.265474
7.3845821982508655,34.250514,31.268649
8.887638626375516,34.253664,31.268618
8.641784799103021,34.256815,31.268587
7.727440504068328,34.259965,31.268557
10.258480815714535,34.263116,31.268526
7.895514661020857,34.266266,31.268495
6.90317252388102,34.269417,31.268464
5.098156378406813,34.272568,31.268432
5.021665103986695,34.275718,31.268401
6.601405744503259,34.278869,31.26837
6.507142547105914,34.282019,31.268338
7.398337877782572,34.28517,31.268307
8.394144885043884,34.28832,31.268275
6.7642904270237745,34.291471,31.268244
6.903048156324009,34.294621,31.268212
9.00187774904566,34.297772,31.26818
8.84665315190543,34.250549,31.271355
6.492833648687237,34.2537,31.271324
6.918566750266761,34.256851,31.271294
6.44107129478729,34.260001,31.271263
5.917235487390976,34.263152,31.271232
5.050462619911173,34.266303,31.271201
5.007576527160961,34.269453,31.27117
4.519463534299265,34.272604,31.271139
7.304327450354014,34.275755,31.271107
6.173552847114594,34.278905,31.271076
4.990575636275501,34.282056,31.271045
5.681970940468106,34.285206,31.271013
5.427506510333509,34.288357,31.270982
