lon,lat,cls,w,sep,res,x,uv,yy,blk
-55.11824529807093,-7.150454914298775,1,0.9894069490933114,0.8961524436435963,0.5991879620024781,0.6320043528640173,0.6246192542098895,0.7785666886763601,-552_-72
-54.97640131470845,-6.7433384275358055,1,0.7650523284101507,1.0220952852823988,0.4060960916710975,0.7095362981232929,0.5215793943151135,0.8614266776109091,-550_-68
-55.09560775291111,-6.850597272459678,1,1.1000434856867003,0.5733131237030358,0.2834809637878357,0.8076329732701217,0.840108490021213,0.958970821650384,-551_-69
-55.29979481699148,-6.63949318069159,1,1.0666380645001483,0.6065618517065077,0.3101696049663676,0.7979066472673914,0.8216127727764482,0.9502018125995074,-553_-67
-55.054375081370026,-7.097813638649368,1,1.7434554005097498,0.4187768844796277,0.4944899436420813,0.745095159064749,0.9135869953309592,0.8627078769721698,-551_-71
-55.09605691055317,-6.850058283289206,1,1.1251676643381128,0.7197721303911057,0.2770884741020288,0.6895966929585686,0.7519559633483175,0.9596178977682998,-551_-69
-55.09578741596793,-6.849429462590324,1,1.1911617971758823,0.610653873828874,0.2802563060826624,0.7469140105667222,0.8192732596119464,0.9576731010357268,-551_-69
-54.79736707858344,-7.423273266085873,1,0.8897191916224461,1.0371763013107107,0.5168402274201906,0.6035935601617749,0.5086534055676987,0.8297018751105844,-548_-75
-55.097045057365705,-6.8510464301017375,1,1.3779244605423009,0.5365733083344807,0.3063333597925047,0.7389016454056575,0.8594654277382149,0.94185521559522,-551_-69
-55.00362026781727,-7.350599559600605,1,1.2418975047154774,0.6211458766023217,0.3407929132478745,0.7169357157015738,0.813212127887996,0.9369523917471188,-551_-74
-55.38594325273854,-6.598530003735741,1,0.9901554375168152,0.9097359090405234,0.4175451521182719,0.6209988179213006,0.6139542288839607,0.9048646779304858,-554_-66
-55.099290845576,-6.849698957175557,1,1.0593487668931991,0.4940436106468033,0.2135283639465257,0.8661425229494291,0.8804226225355315,0.9768521722857904,-551_-69
-54.9376839259629,-7.462260149416659,1,1.1731818107224932,0.676040005291766,0.4313069041315342,0.7016271321428589,0.7800566325228179,0.9021987962220192,-550_-75
-55.09408061692811,-6.851315924686974,1,1.3351034666175572,0.4267350276077733,0.2623027612948359,0.8420437244067099,0.910321974114295,0.9616181500593995,-551_-69
-55.09938067710441,-6.852034576914269,1,1.2373877944331553,0.633285791534017,0.3533924309325388,0.7083629372135433,0.8060873430368147,0.9325972478275224,-551_-69
-55.34174614075986,-7.123235961189954,1,0.9242954376472988,0.7643598221924065,0.3846660695132806,0.7606423472118568,0.7218255564025371,0.9109575239523556,-554_-72
-55.31524583987833,-6.504296730431603,1,0.9408985030438872,0.6351788257191765,0.3270871475378691,0.8266665432113547,0.804965608205876,0.937096723778052,-554_-66
-55.02607814992026,-7.382399920658434,1,1.080160859435702,0.8989775734553422,0.3220548086572315,0.564441023880887,0.6224105374548369,0.946203975787268,-551_-74
-55.02491034005091,-7.381142279260667,1,1.1666475630285214,0.9150154422612264,0.3151380903541433,0.4823152582162748,0.6097783364012395,0.94191361516088,-551_-74
-55.107285851604665,-7.147041316219118,1,0.9706170170763594,0.7602468872975555,0.5204135698592057,0.7398771713065144,0.7246659026982347,0.8299432496388504,-552_-72
-55.09587724749635,-6.848980304948261,1,1.319863186542528,0.525554104066672,0.2607764799171934,0.7689114388766867,0.8650460846322231,0.9580096790028854,-551_-69
