A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,S0,S1,S2,S3,S4,S5,S6,S7,ang_aef,ang_s2,cls
0.06698961937716265,0.0015378700499807767,-0.03254133025759323,0.024605920799692427,0.010396001537870049,-0.10340638216070744,-0.19986159169550174,0.017777777777777778,-0.07111111111111111,0.14769703960015382,0.09842368319876971,0.16633602460592078,-0.14173010380622836,-0.07535563244905807,-0.022206843521722412,-0.2364628988850442,-0.06698961937716265,-0.06698961937716265,-0.1929104190695886,0.022206843521722412,0.03543252595155709,-0.13588619761630144,0.34602076124567477,0.3839138792772011,0.09356401384083046,-0.03844675124951941,0.22145328719723184,-0.11909265667051133,-0.022206843521722412,-0.10340638216070744,0.2364628988850442,-0.010396001537870049,-0.10340638216070744,-0.041584006151480196,0.019930795847750864,0.008858131487889272,-0.11909265667051133,-0.07535563244905807,-0.2069357939254133,-0.05911572472126105,0.007443291041906958,0.08421376393694734,0.006151480199923107,0.05536332179930796,0.12456747404844293,-0.03844675124951941,-0.08421376393694734,-0.05536332179930796,-0.10340638216070744,-0.017777777777777778,0.2519646289888504,0.006151480199923107,0.1085121107266436,0.008858131487889272,0.022206843521722412,0.14173010380622836,0.05173394848135333,-0.14769703960015382,0.13016532103037293,-0.006151480199923107,-0.041584006151480196,-0.16000000000000003,0.17937716262975778,0.019930795847750864,0.052650000900030136,0.06400000303983688,0.04470000043511391,0.2655999958515167,0.15539999306201935,0.06494999676942825,0.7118917107582092,0.6070185899734497,7.860427634750642,3.1918645918380064,1
0.05911572472126105,-0.010396001537870049,-0.05536332179930796,-0.0271280276816609,-0.05173394848135333,-0.12456747404844293,-0.14769703960015382,0.022206843521722412,-0.08882737408688965,0.17937716262975778,0.05173394848135333,0.12456747404844293,-0.15378700499807765,-0.05173394848135333,-0.03844675124951941,-0.21413302575932336,-0.05536332179930796,-0.07111111111111111,-0.12456747404844293,-0.07972318339100345,0.07111111111111111,-0.12456747404844293,0.36472126105344094,0.37425605536332185,0.11374086889657825,0.006151480199923107,0.2069357939254133,-0.10340638216070744,0.012056901191849288,-0.11909265667051133,0.19986159169550174,-0.05173394848135333,-0.16633602460592078,-0.05173394848135333,0.07972318339100345,-0.03844675124951941,-0.13016532103037293,-0.03543252595155709,-0.17279507881584008,-0.09356401384083046,0.0629911572472126,0.09842368319876971,0.007443291041906958,0.04822760476739715,0.12456747404844293,-0.06698961937716265,-0.08421376393694734,-0.03543252595155709,-0.10340638216070744,-0.004982698961937716,0.28444444444444444,0.04822760476739715,0.09842368319876971,0.017777777777777778,0.019930795847750864,0.17279507881584008,0.04822760476739715,-0.09356401384083046,0.11909265667051133,-0.003936947327950788,0.003936947327950788,-0.21413302575932336,0.16000000000000003,0.07111111111111111,0.047449998557567596,0.056049998849630356,0.039650000631809235,0.3000499904155731,0.14589999616146088,0.061900001019239426,0.7665587067604065,0.6579638123512268,7.521315251002158,3.0076439088752833,1
0.07535563244905807,-0.044844290657439445,-0.017777777777777778,-0.01384083044982699,-0.01384083044982699,-0.1085121107266436,-0.14173010380622836,0.05173394848135333,-0.07111111111111111,0.16000000000000003,0.05536332179930796,0.11909265667051133,-0.13016532103037293,-0.03844675124951941,-0.03844675124951941,-0.24415224913494812,-0.08882737408688965,-0.019930795847750864,-0.09356401384083046,-0.07111111111111111,0.05536332179930796,-0.08882737408688965,0.36472126105344094,0.37425605536332185,0.0629911572472126,-0.029773164167627833,0.2069357939254133,-0.07111111111111111,-0.003014225297962322,-0.16633602460592078,0.2288965782391388,-0.07535563244905807,-0.15378700499807765,-0.029773164167627833,0.05173394848135333,-0.010396001537870049,-0.13016532103037293,-0.05536332179930796,-0.21413302575932336,-0.09842368319876971,0.08421376393694734,0.09842368319876971,0.029773164167627833,0.07111111111111111,0.12456747404844293,-0.04822760476739715,-0.11374086889657825,-0.07972318339100345,-0.11909265667051133,-0.01384083044982699,0.2761399461745483,0.0629911572472126,0.09842368319876971,-0.007443291041906958,0.010396001537870049,0.186082276047674,0.03844675124951941,-0.07972318339100345,0.13588619761630144,0.01384083044982699,-0.017777777777777778,-0.17937716262975778,0.16000000000000003,0.024605920799692427,0.044449999928474426,0.06194999814033508,0.0385500006377697,0.35705000162124634,0.18674999475479126,0.08505000174045563,0.8051061630249023,0.6152454018592834,9.234746915453785,1.3281301842455668,1
0.0271280276816609,-0.03254133025759323,-0.0629911572472126,0.022206843521722412,-0.07972318339100345,-0.1085121107266436,-0.1929104190695886,0.041584006151480196,-0.004982698961937716,0.13588619761630144,0.09842368319876971,0.1085121107266436,-0.14173010380622836,-0.044844290657439445,0.012056901191849288,-0.15378700499807765,0.010396001537870049,-0.05911572472126105,-0.19986159169550174,-0.11374086889657825,0.05536332179930796,-0.17937716262975778,0.28444444444444444,0.36472126105344094,0.1085121107266436,0.03844675124951941,0.21413302575932336,-0.07535563244905807,0.029773164167627833,-0.09356401384083046,0.16633602460592078,-0.07972318339100345,-0.186082276047674,-0.007443291041906958,0.04822760476739715,-0.04822760476739715,-0.12456747404844293,0.03543252595155709,-0.16633602460592078,-0.04822760476739715,0.07535563244905807,0.09356401384083046,-0.0005536332179930795,0.09842368319876971,0.12456747404844293,-0.09842368319876971,-0.044844290657439445,0.08882737408688965,-0.1085121107266436,-0.03543252595155709,0.3014225297962323,0.003014225297962322,0.13588619761630144,0.041584006151480196,0.11374086889657825,0.186082276047674,0.07972318339100345,-0.08882737408688965,0.17279507881584008,0.017777777777777778,0.044844290657439445,-0.1929104190695886,0.17279507881584008,0.08882737408688965,0.06939999759197235,0.07360000163316727,0.05209999904036522,0.2736000120639801,0.15889999270439148,0.08619999885559082,0.6800736784934998,0.5208449363708496,7.013937582239288,6.1824250599897965,1
0.06698961937716265,-0.07111111111111111,-0.07972318339100345,-0.01574778931180315,-0.03844675124951941,-0.13016532103037293,-0.16000000000000003,0.024605920799692427,-0.09842368319876971,0.19986159169550174,0.05173394848135333,0.12456747404844293,-0.16000000000000003,-0.04822760476739715,-0.04822760476739715,-0.22145328719723184,-0.07111111111111111,-0.04822760476739715,-0.11909265667051133,-0.044844290657439445,0.08421376393694734,-0.09842368319876971,0.37425605536332185,0.3553094963475586,0.09842368319876971,-0.022206843521722412,0.2288965782391388,-0.09356401384083046,-0.019930795847750864,-0.11374086889657825,0.1929104190695886,-0.041584006151480196,-0.16000000000000003,-0.07111111111111111,0.04822760476739715,-0.0271280276816609,-0.14769703960015382,-0.05173394848135333,-0.17937716262975778,-0.07972318339100345,0.05911572472126105,0.08882737408688965,0.01574778931180315,0.06698961937716265,0.11374086889657825,-0.0629911572472126,-0.07111111111111111,-0.06698961937716265,-0.1085121107266436,0.006151480199923107,0.3014225297962323,0.03844675124951941,0.09842368319876971,-0.010396001537870049,0.004982698961937716,0.16000000000000003,0.0271280276816609,-0.10340638216070744,0.12456747404844293,6.151480199923106e-05,0.008858131487889272,-0.17937716262975778,0.14173010380622836,0.03543252595155709,0.03370000049471855,0.048650000244379044,0.03305000066757202,0.31279999017715454,0.1680999994277954,0.07665000110864639,0.8088766932487488,0.6063679456710815,7.522976748181828,1.4731264362349539,1
0.04822760476739715,-0.03844675124951941,-0.07535563244905807,0.000984236831987697,-0.044844290657439445,-0.12456747404844293,-0.17937716262975778,0.03844675124951941,-0.07535563244905807,0.186082276047674,0.07111111111111111,0.12456747404844293,-0.11909265667051133,-0.0629911572472126,-0.008858131487889272,-0.22145328719723184,-0.029773164167627833,-0.0629911572472126,-0.09356401384083046,-0.08421376393694734,0.08421376393694734,-0.14173010380622836,0.3839138792772011,0.3553094963475586,0.11374086889657825,0.024605920799692427,0.21413302575932336,-0.09356401384083046,0.01384083044982699,-0.09356401384083046,0.2069357939254133,-0.05911572472126105,-0.13016532103037293,-0.07972318339100345,0.06698961937716265,-0.044844290657439445,-0.14173010380622836,-0.04822760476739715,-0.186082276047674,-0.05173394848135333,0.07535563244905807,0.08882737408688965,0.007443291041906958,0.03254133025759323,0.12456747404844293,-0.08882737408688965,-0.08421376393694734,-0.024605920799692427,-0.05536332179930796,-0.022206843521722412,0.3188927335640138,0.06698961937716265,0.08882737408688965,0.05536332179930796,0.008858131487889272,0.13016532103037293,0.07111111111111111,-0.07535563244905807,0.14769703960015382,-0.01384083044982699,0.01384083044982699,-0.2069357939254133,0.12456747404844293,0.07111111111111111,0.04859999939799309,0.06379999965429306,0.04490000009536743,0.3156999945640564,0.15530000627040863,0.06769999861717224,0.7509706020355225,0.6468440294265747,7.13765678348765,2.4841701219671597,1
0.0629911572472126,-0.041584006151480196,0.008858131487889272,-0.03254133025759323,-0.041584006151480196,-0.1085121107266436,-0.13016532103037293,0.05911572472126105,-0.05536332179930796,0.17279507881584008,0.08421376393694734,0.11909265667051133,-0.09356401384083046,-0.0629911572472126,0.012056901191849288,-0.22145328719723184,-0.09356401384083046,-0.044844290657439445,-0.13588619761630144,-0.11909265667051133,-0.024605920799692427,-0.07972318339100345,0.29287197231833906,0.36472126105344094,0.029773164167627833,0.010396001537870049,0.186082276047674,-0.05173394848135333,0.024605920799692427,-0.07972318339100345,0.16633602460592078,-0.041584006151480196,-0.22145328719723184,0.0629911572472126,0.0629911572472126,-0.006151480199923107,-0.12456747404844293,-0.017777777777777778,-0.22145328719723184,-0.019930795847750864,0.1085121107266436,0.186082276047674,0.022206843521722412,0.05911572472126105,0.09356401384083046,-0.09356401384083046,-0.13016532103037293,-0.08421376393694734,-0.10340638216070744,-0.0629911572472126,0.29287197231833906,0.07111111111111111,0.09842368319876971,-0.019930795847750864,-0.01574778931180315,0.17937716262975778,0.04822760476739715,-0.10340638216070744,0.16633602460592078,0.05911572472126105,-0.06698961937716265,-0.2288965782391388,0.186082276047674,0.03844675124951941,0.03620000183582306,0.04919999837875366,0.039400000125169754,0.27140000462532043,0.18150000274181366,0.08370000123977661,0.7464607357978821,0.5285835266113281,9.265894894556173,1.1150312136488174,1
0.07535563244905807,-0.05173394848135333,-0.10340638216070744,-0.041584006151480196,-0.03254133025759323,-0.14769703960015382,-0.13588619761630144,0.03254133025759323,-0.13588619761630144,0.24415224913494812,0.07111111111111111,0.13016532103037293,-0.08421376393694734,-0.09842368319876971,-0.003014225297962322,-0.2519646289888504,-0.07972318339100345,-0.07111111111111111,-0.12456747404844293,-0.024605920799692427,0.044844290657439445,-0.12456747404844293,0.34602076124567477,0.3839138792772011,0.09842368319876971,0.022206843521722412,0.1929104190695886,-0.08421376393694734,0.03254133025759323,-0.09356401384083046,0.19986159169550174,-0.03254133025759323,-0.15378700499807765,-0.03844675124951941,0.05911572472126105,-0.019930795847750864,-0.11374086889657825,-0.03844675124951941,-0.16633602460592078,-0.05911572472126105,0.09356401384083046,0.10340638216070744,0.000984236831987697,0.05911572472126105,0.09842368319876971,-0.08882737408688965,-0.08882737408688965,-0.07111111111111111,-0.08882737408688965,-0.022206843521722412,0.31009611687812383,0.044844290657439445,0.07972318339100345,0.004982698961937716,-0.008858131487889272,0.13588619761630144,0.04822760476739715,-0.10340638216070744,0.13588619761630144,0.003014225297962322,-0.002214532871972318,-0.186082276047674,0.09842368319876971,0.05173394848135333,0.04165000095963478,0.05959999933838844,0.037700001150369644,0.2948000133037567,0.17794999480247498,0.08084999769926071,0.7732330560684204,0.5695461630821228,8.86154514109285,1.4572008884477705,1
0.07535563244905807,-0.07535563244905807,-0.08882737408688965,-0.03254133025759323,-0.0629911572472126,-0.14769703960015382,-0.15378700499807765,0.044844290657439445,-0.03844675124951941,0.17279507881584008,0.09356401384083046,0.09842368319876971,-0.11909265667051133,-0.03543252595155709,-0.003014225297962322,-0.1929104190695886,-0.03254133025759323,-0.07111111111111111,-0.14173010380622836,-0.14173010380622836,0.08421376393694734,-0.13016532103037293,0.3014225297962323,0.3188927335640138,0.07535563244905807,0.01574778931180315,0.19986159169550174,-0.08421376393694734,0.05173394848135333,-0.05536332179930796,0.14769703960015382,-0.07972318339100345,-0.2364628988850442,-0.029773164167627833,0.019930795847750864,-0.06698961937716265,-0.16000000000000003,0.010396001537870049,-0.13588619761630144,-0.03844675124951941,0.13016532103037293,0.12456747404844293,0.019930795847750864,0.044844290657439445,0.06698961937716265,-0.11374086889657825,-0.07111111111111111,0.01384083044982699,-0.11909265667051133,-0.09356401384083046,0.3278123798539023,0.04822760476739715,0.09842368319876971,0.022206843521722412,0.0271280276816609,0.17279507881584008,0.05911572472126105,-0.07972318339100345,0.16633602460592078,0.03254133025759323,0.0629911572472126,-0.21413302575932336,0.1929104190695886,0.10340638216070744,0.03635000064969063,0.049800001084804535,0.0328500010073185,0.2524000108242035,0.15029999613761902,0.06755000352859497,0.7696757316589355,0.5777465105056763,5.815263874576088,2.933872115001303,1
0.07972318339100345,-0.05173394848135333,-0.08882737408688965,-0.022206843521722412,-0.03844675124951941,-0.16000000000000003,-0.16633602460592078,0.041584006151480196,-0.08882737408688965,0.2069357939254133,0.06698961937716265,0.15378700499807765,-0.09356401384083046,-0.10340638216070744,-0.01574778931180315,-0.2679584775086506,-0.07111111111111111,-0.03543252595155709,-0.09356401384083046,-0.05911572472126105,0.024605920799692427,-0.1085121107266436,0.34602076124567477,0.3553094963475586,0.07972318339100345,-0.01574778931180315,0.17937716262975778,-0.05173394848135333,0.019930795847750864,-0.09356401384083046,0.1929104190695886,-0.03543252595155709,-0.13588619761630144,-0.03844675124951941,0.041584006151480196,-0.017777777777777778,-0.16633602460592078,-0.06698961937716265,-0.17937716262975778,-0.01574778931180315,0.10340638216070744,0.13588619761630144,0.01384083044982699,0.044844290657439445,0.09842368319876971,-0.09842368319876971,-0.07111111111111111,-0.11374086889657825,-0.06698961937716265,-0.029773164167627833,0.3278123798539023,0.05911572472126105,0.07111111111111111,-0.002214532871972318,-0.03844675124951941,0.13588619761630144,0.041584006151480196,-0.10340638216070744,0.14769703960015382,0.01384083044982699,-0.0271280276816609,-0.19986159169550174,0.12456747404844293,0.03543252595155709,0.041200000792741776,0.05739999935030937,0.03579999879002571,0.2770000100135803,0.17149999737739563,0.0835999995470047,0.7710997462272644,0.5363283753395081,6.479681747390077,1.840959960012708,1
