A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,B11,B12,B2,B3,B4,B8,NBR,NDVI,y,lon,lat
-0.04822760476739715,0.05173394848135333,-0.11374086889657825,-0.05536332179930796,-0.010396001537870049,-0.12456747404844293,-0.07111111111111111,0.11374086889657825,-0.07111111111111111,0.09356401384083046,0.0271280276816609,0.17937716262975778,-0.012056901191849288,-0.11374086889657825,-0.07111111111111111,-0.2288965782391388,-0.17937716262975778,-0.07972318339100345,0.044844290657439445,0.05173394848135333,0.1085121107266436,-0.006151480199923107,0.19986159169550174,0.3839138792772011,0.11374086889657825,-0.012056901191849288,0.21413302575932336,-0.10340638216070744,-0.022206843521722412,-0.17279507881584008,0.2364628988850442,-0.11374086889657825,-0.07972318339100345,-0.07972318339100345,-0.1085121107266436,0.022206843521722412,-0.044844290657439445,-0.11374086889657825,-0.2599000384467512,-0.0015378700499807767,-0.14173010380622836,0.1929104190695886,0.07972318339100345,-0.07972318339100345,0.15378700499807765,0.0271280276816609,-0.14173010380622836,-0.09356401384083046,-0.07972318339100345,-0.022206843521722412,0.2288965782391388,0.019930795847750864,0.07535563244905807,0.11374086889657825,0.002214532871972318,0.14173010380622836,0.11909265667051133,-0.019930795847750864,0.15378700499807765,-0.01574778931180315,0.09842368319876971,-0.16633602460592078,-0.01384083044982699,-0.10340638216070744,0.14399999380111694,0.059300001710653305,0.02889999933540821,0.049300000071525574,0.025499999523162842,0.3506999909877777,0.7107316851615906,0.8644338250160217,2,-56.44963838066447,-6.994507380975624
-0.06698961937716265,-0.007443291041906958,-0.14173010380622836,-0.13016532103037293,-0.03254133025759323,-0.12456747404844293,-0.05173394848135333,0.10340638216070744,-0.0629911572472126,0.13016532103037293,-0.0015378700499807767,0.11374086889657825,0.006151480199923107,-0.08421376393694734,-0.07111111111111111,-0.1929104190695886,-0.186082276047674,-0.04822760476739715,0.09842368319876971,-0.022206843521722412,0.14769703960015382,0.0271280276816609,0.2069357939254133,0.33685505574778934,0.10340638216070744,0.03543252595155709,0.186082276047674,-0.03254133025759323,0.022206843521722412,-0.15378700499807765,0.2364628988850442,-0.1929104190695886,-0.14173010380622836,-0.07972318339100345,-0.11374086889657825,-0.029773164167627833,-0.07972318339100345,-0.03543252595155709,-0.1929104190695886,6.151480199923106e-05,-0.0629911572472126,0.1929104190695886,0.11909265667051133,-0.07535563244905807,0.13016532103037293,-0.012056901191849288,-0.14769703960015382,-0.044844290657439445,-0.05173394848135333,-0.03543252595155709,0.2519646289888504,0.07111111111111111,0.10340638216070744,0.13588619761630144,0.03543252595155709,0.19986159169550174,0.11909265667051133,0.010396001537870049,0.16000000000000003,0.003014225297962322,0.17279507881584008,-0.21413302575932336,0.01384083044982699,-0.09842368319876971,0.16410000622272491,0.0729999989271164,0.034449998289346695,0.052549999207258224,0.0340999998152256,0.319599986076355,0.6281202435493469,0.8071812391281128,2,-56.238803783481615,-6.705070196432314
0.012056901191849288,0.2599000384467512,-0.08882737408688965,-0.12456747404844293,0.029773164167627833,0.33685505574778934,0.09842368319876971,0.07972318339100345,-0.03844675124951941,0.07111111111111111,0.14769703960015382,-0.024605920799692427,-0.019930795847750864,-0.04822760476739715,-0.05173394848135333,-0.05536332179930796,-0.16633602460592078,0.007443291041906958,-0.0271280276816609,-0.017777777777777778,0.022206843521722412,0.1085121107266436,-0.28444444444444444,0.2599000384467512,-0.06698961937716265,0.2599000384467512,0.03543252595155709,-0.029773164167627833,0.05536332179930796,0.05911572472126105,-0.15378700499807765,-0.04822760476739715,0.03844675124951941,-0.03543252595155709,-0.1929104190695886,0.1085121107266436,0.03543252595155709,-0.0271280276816609,-0.0629911572472126,0.15378700499807765,-0.2069357939254133,0.08882737408688965,0.010396001537870049,0.03844675124951941,-0.03844675124951941,0.03543252595155709,-0.07972318339100345,-0.03543252595155709,-0.05536332179930796,0.01574778931180315,0.0271280276816609,0.05911572472126105,-0.004982698961937716,0.2599000384467512,0.13588619761630144,0.13016532103037293,0.06698961937716265,0.041584006151480196,0.2069357939254133,-0.08882737408688965,0.07972318339100345,-0.024605920799692427,0.12456747404844293,-0.33685505574778934,0.2621000111103058,0.16140000522136688,0.055799998342990875,0.07680000364780426,0.08640000224113464,0.22499999403953552,0.16459624469280243,0.44508668780326843,2,-56.02464541974752,-6.1826100271884
-0.05536332179930796,-0.024605920799692427,-0.15378700499807765,-0.14769703960015382,-0.0271280276816609,-0.13588619761630144,-0.05911572472126105,0.10340638216070744,-0.041584006151480196,0.14173010380622836,0.007443291041906958,0.10340638216070744,-0.010396001537870049,-0.05173394848135333,-0.05911572472126105,-0.186082276047674,-0.14173010380622836,-0.041584006151480196,0.04822760476739715,-0.03254133025759323,0.13016532103037293,0.0271280276816609,0.16000000000000003,0.3278123798539023,0.10340638216070744,0.03543252595155709,0.17279507881584008,-0.024605920799692427,0.06698961937716265,-0.13588619761630144,0.19986159169550174,-0.24415224913494812,-0.21413302575932336,-0.041584006151480196,-0.14173010380622836,-0.05536332179930796,-0.04822760476739715,-0.019930795847750864,-0.14173010380622836,0.01384083044982699,-0.05173394848135333,0.1929104190695886,0.12456747404844293,-0.044844290657439445,0.1085121107266436,-0.044844290657439445,-0.11374086889657825,0.06698961937716265,-0.1085121107266436,-0.06698961937716265,0.2519646289888504,0.022206843521722412,0.15378700499807765,0.11909265667051133,0.09842368319876971,0.21413302575932336,0.12456747404844293,-0.002214532871972318,0.17279507881584008,0.03254133025759323,0.19986159169550174,-0.21413302575932336,0.05911572472126105,-0.04822760476739715,0.15757273137569427,0.06531333178281784,0.03237500041723251,0.044866666197776794,0.028300000354647636,0.29660001397132874,0.6390664577484131,0.8257925510406494,2,-56.02886750158288,-6.372334215194444
-0.08882737408688965,0.16000000000000003,-0.05536332179930796,-0.13588619761630144,0.01384083044982699,0.3188927335640138,0.09356401384083046,0.12456747404844293,-0.11374086889657825,0.1085121107266436,0.07972318339100345,-0.07535563244905807,-0.03543252595155709,-0.006151480199923107,-0.05173394848135333,-0.06698961937716265,-0.07972318339100345,-0.003014225297962322,0.01574778931180315,-0.0271280276816609,0.03254133025759323,0.08421376393694734,-0.2288965782391388,0.186082276047674,-0.08421376393694734,0.28444444444444444,0.11909265667051133,-0.017777777777777778,-0.04822760476739715,-0.04822760476739715,-0.06698961937716265,-0.01384083044982699,0.044844290657439445,-0.01574778931180315,-0.029773164167627833,0.07111111111111111,0.012056901191849288,0.07972318339100345,-0.16000000000000003,0.13588619761630144,-0.14769703960015382,0.08421376393694734,0.0271280276816609,0.1085121107266436,0.008858131487889272,0.05173394848135333,-0.10340638216070744,-0.029773164167627833,-0.0629911572472126,-0.0271280276816609,0.03254133025759323,0.06698961937716265,-0.09842368319876971,0.36472126105344094,0.186082276047674,0.186082276047674,0.09356401384083046,0.09842368319876971,0.2599000384467512,-0.041584006151480196,0.1085121107266436,-0.13016532103037293,0.07535563244905807,-0.31009611687812383,0.2558000087738037,0.1665000021457672,0.09080000221729279,0.13120000064373016,0.13339999318122864,0.2773999869823456,0.24983102083206177,0.3505355417728424,2,-56.508028874132236,-7.0194805458741465
-0.03844675124951941,0.186082276047674,-0.11909265667051133,-0.044844290657439445,-0.022206843521722412,0.3188927335640138,0.16000000000000003,0.13588619761630144,-0.008858131487889272,0.022206843521722412,-0.03543252595155709,-0.01384083044982699,0.017777777777777778,-0.07972318339100345,-0.008858131487889272,-0.03254133025759323,-0.10340638216070744,0.15378700499807765,0.01574778931180315,-0.002214532871972318,0.17279507881584008,0.17279507881584008,-0.2519646289888504,0.2519646289888504,-0.05536332179930796,0.2364628988850442,0.16000000000000003,0.041584006151480196,0.05173394848135333,-0.0629911572472126,-0.10340638216070744,0.012056901191849288,0.0629911572472126,-0.03844675124951941,-0.186082276047674,0.11374086889657825,-0.05911572472126105,-0.019930795847750864,-0.09356401384083046,0.10340638216070744,-0.1085121107266436,0.0629911572472126,-0.022206843521722412,0.07111111111111111,0.03844675124951941,0.003014225297962322,-0.04822760476739715,-0.07111111111111111,-0.08421376393694734,0.05173394848135333,0.05911572472126105,-0.010396001537870049,-0.13588619761630144,0.3188927335640138,0.12456747404844293,0.13016532103037293,0.044844290657439445,0.05911572472126105,0.13588619761630144,-0.0629911572472126,0.03543252595155709,-0.010396001537870049,0.1085121107266436,-0.3839138792772011,0.2976999878883362,0.16539999842643738,0.0560000017285347,0.08179999887943268,0.10140000283718109,0.24449999630451202,0.19297389686107635,0.4137033522129059,2,-56.44397899437451,-6.976181749179586
-0.10340638216070744,0.12456747404844293,-0.13588619761630144,-0.07972318339100345,0.003014225297962322,-0.003936947327950788,0.019930795847750864,0.19986159169550174,-0.07535563244905807,0.044844290657439445,-0.01574778931180315,0.05911572472126105,0.0629911572472126,-0.14769703960015382,0.017777777777777778,-0.186082276047674,-0.16633602460592078,-0.05911572472126105,0.07972318339100345,0.019930795847750864,0.10340638216070744,0.024605920799692427,0.12456747404844293,0.3278123798539023,0.024605920799692427,0.16633602460592078,0.2761399461745483,-0.07111111111111111,0.012056901191849288,-0.11374086889657825,0.15378700499807765,-0.15378700499807765,-0.024605920799692427,-0.012056901191849288,-0.08421376393694734,0.029773164167627833,0.002214532871972318,0.007443291041906958,-0.2599000384467512,-0.044844290657439445,-0.05173394848135333,0.2069357939254133,0.08882737408688965,-0.003014225297962322,0.2069357939254133,0.004982698961937716,-0.19986159169550174,-0.03254133025759323,-0.041584006151480196,0.004982698961937716,0.11374086889657825,0.007443291041906958,0.007443291041906958,0.29287197231833906,0.08882737408688965,0.186082276047674,0.09356401384083046,-0.01574778931180315,0.21413302575932336,-0.04822760476739715,0.06698961937716265,-0.2519646289888504,0.044844290657439445,-0.1085121107266436,0.1615000069141388,0.06759999692440033,0.026399999856948853,0.04800000041723251,0.02280000038444996,0.36880001425743103,0.6901925206184387,0.8835546374320984,2,-56.31758603389889,-6.803435720043402
-0.041584006151480196,-0.004982698961937716,-0.07535563244905807,-0.08421376393694734,-0.03844675124951941,-0.03543252595155709,6.151480199923106e-05,0.1085121107266436,-0.05173394848135333,0.10340638216070744,0.05536332179930796,0.17279507881584008,0.03254133025759323,-0.08882737408688965,-0.0005536332179930795,-0.2069357939254133,-0.17279507881584008,-0.08882737408688965,0.0271280276816609,-0.006151480199923107,0.1085121107266436,-0.022206843521722412,0.19986159169550174,0.33685505574778934,0.041584006151480196,-0.01384083044982699,0.22145328719723184,-0.06698961937716265,0.007443291041906958,-0.15378700499807765,0.186082276047674,-0.16000000000000003,-0.08882737408688965,-0.0271280276816609,-0.12456747404844293,0.04822760476739715,-0.044844290657439445,-0.07111111111111111,-0.28444444444444444,0.0271280276816609,-0.07111111111111111,0.2679584775086506,0.1085121107266436,-0.04822760476739715,0.17937716262975778,-0.000984236831987697,-0.15378700499807765,-0.16000000000000003,-0.05173394848135333,-0.012056901191849288,0.2364628988850442,0.029773164167627833,0.0271280276816609,0.14173010380622836,-0.0015378700499807767,0.19986159169550174,0.0629911572472126,-0.04822760476739715,0.19986159169550174,-0.004982698961937716,0.10340638216070744,-0.2069357939254133,0.07972318339100345,-0.1085121107266436,0.1522500067949295,0.06310000270605087,0.030899999663233757,0.04935000091791153,0.025499999523162842,0.32144999504089355,0.6718242168426514,0.8530047535896301,2,-56.51045432539936,-6.994866707089272
-0.05536332179930796,0.04822760476739715,-0.11374086889657825,-0.05911572472126105,-0.03844675124951941,-0.08421376393694734,-0.05536332179930796,0.11374086889657825,-0.08882737408688965,0.08882737408688965,0.07972318339100345,0.17937716262975778,-0.008858131487889272,-0.12456747404844293,-0.008858131487889272,-0.22145328719723184,-0.14173010380622836,-0.1085121107266436,0.003014225297962322,0.07535563244905807,0.11374086889657825,-0.029773164167627833,0.17279507881584008,0.40359861591695495,0.12456747404844293,0.024605920799692427,0.2364628988850442,-0.1085121107266436,-0.019930795847750864,-0.12456747404844293,0.2069357939254133,-0.13016532103037293,-0.06698961937716265,-0.05911572472126105,-0.13588619761630144,0.012056901191849288,-0.03254133025759323,-0.09842368319876971,-0.2679584775086506,-0.0015378700499807767,-0.14173010380622836,0.21413302575932336,0.08882737408688965,-0.07972318339100345,0.14769703960015382,0.024605920799692427,-0.13016532103037293,-0.09842368319876971,-0.04822760476739715,-0.017777777777777778,0.21413302575932336,-0.0015378700499807767,0.0629911572472126,0.12456747404844293,0.03254133025759323,0.14769703960015382,0.09356401384083046,-0.07535563244905807,0.186082276047674,-0.029773164167627833,0.09842368319876971,-0.17279507881584008,0.05173394848135333,-0.10340638216070744,0.14339999854564667,0.059849999845027924,0.02905000001192093,0.04650000110268593,0.025699999183416367,0.2944500148296356,0.6621507406234741,0.8394502401351929,2,-56.252817501913874,-6.71638896901222
-0.10340638216070744,-0.019930795847750864,-0.15378700499807765,-0.07972318339100345,-0.041584006151480196,-0.03844675124951941,-0.03543252595155709,0.08421376393694734,-0.09356401384083046,0.07972318339100345,0.03543252595155709,0.09842368319876971,0.024605920799692427,-0.11909265667051133,0.003936947327950788,-0.17279507881584008,-0.17279507881584008,-0.0271280276816609,0.04822760476739715,0.09356401384083046,0.186082276047674,0.03844675124951941,0.16000000000000003,0.3278123798539023,0.05911572472126105,0.09356401384083046,0.2761399461745483,-0.0629911572472126,0.029773164167627833,-0.11374086889657825,0.1929104190695886,-0.17937716262975778,-0.06698961937716265,-0.08421376393694734,-0.13588619761630144,0.00024605920799692423,-0.07111111111111111,-0.019930795847750864,-0.24415224913494812,-0.05173394848135333,-0.16633602460592078,0.1929104190695886,0.05536332179930796,-0.022206843521722412,0.15378700499807765,0.012056901191849288,-0.08882737408688965,-0.05173394848135333,-0.07111111111111111,0.022206843521722412,0.19986159169550174,0.0005536332179930795,-0.008858131487889272,0.1929104190695886,0.11909265667051133,0.186082276047674,0.09356401384083046,-0.03844675124951941,0.22145328719723184,-0.05911572472126105,0.14173010380622836,-0.17937716262975778,0.08421376393694734,-0.1929104190695886,0.18389999866485596,0.08139999955892563,0.03500000014901161,0.052799999713897705,0.03460000082850456,0.295199990272522,0.5677111148834229,0.7901758551597595,2,-56.4912303783192,-6.546158222671571
