a2018,a2019,a2020,a2021,a2022,a2023,a2024,a2025,dw,elev,s2019,s2022,s2024,tag,site,py
13.783914822917419,42.660224402002505,35.175082305979544,10.806046986490587,28.413867030280382,16.324259263923054,18.74067851549867,30.142190053449422,4,4.785967826843262,0.200297039205923,0.04407478455942011,0.04540347396313062,site,Jungphyong_gh_2019,2019
15.93814981769437,52.82682345559337,41.81145487283718,14.047667020999667,31.567107417789522,21.479562315147234,15.260210980647816,37.30511799772167,4,1.6745812892913818,0.280836524750844,0.06298411625352499,0.013281240381645664,site,Jungphyong_gh_2019,2019
13.872019111545814,50.74878092063718,36.97206753597193,13.83049749759697,24.40153214175598,18.899494380043723,21.963243789698804,31.68294498941932,4,4.777180194854736,0.3356662566056573,0.022549529111249113,0.02981457360747824,site,Jungphyong_gh_2019,2019
22.565446146980715,35.17392235319163,42.037247424942386,11.975732968373238,37.25170130394807,17.4757515958572,16.63469811754918,38.097156281703306,7,4.4400434494018555,0.1093329592189688,0.07383743449435676,0.04485550264554015,site,Jungphyong_gh_2019,2019
19.21978379769952,46.87205063989373,41.83630300117126,12.485321011821078,31.725807512842252,17.439952932764015,12.252885635189113,35.11747947469966,4,4.3581719398498535,0.18178903208165473,0.06000712141617362,0.04511028881704195,site,Jungphyong_gh_2019,2019
16.282497011855142,43.39510744648362,39.13449894444392,13.349833946760716,26.12321245376751,15.578732274688765,15.059225469804547,30.666697171308524,4,3.561551809310913,0.2553685179603139,0.0380744695772993,0.02841018132856734,site,Jungphyong_gh_2019,2019
23.632262022060946,54.48681264642512,50.955861015983906,16.111052231275064,13.092120933012701,15.82103444867531,15.973355289956503,21.491013710251618,4,3.1624841690063477,0.10121617567147344,0.053604806955930465,0.02246641760354756,site,Jungphyong_gh_2019,2019
10.084603024377694,50.640962483348154,38.57456328977585,12.919991888968626,26.81642219717529,20.53754060551168,19.16923368725998,29.154532428014036,4,4.214534282684326,0.2588431498201831,0.0440953091263192,0.04879754557868966,site,Jungphyong_gh_2019,2019
13.781037188639775,53.69644180674388,42.68725101560466,16.459906513902997,31.485245076700345,24.126677999800137,18.147957548538333,34.74585131560163,4,4.170797348022461,0.2398809107151433,0.04489056846114384,0.04877333234182246,site,Jungphyong_gh_2019,2019
20.823113702992845,54.18601578953436,30.679145609867966,14.606082907145032,26.711762331187803,14.11938588626999,13.856850266112598,28.357879132181907,4,3.7149808406829834,0.33215202335278465,0.040638874214037925,0.058758507902138206,site,Jungphyong_gh_2019,2019
