A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,S0,S1,S2,S3,S4,S5,S6,S7,ang_aef,ang_s2,cls,blk
-0.03844675124951941,-0.012056901191849288,-0.12456747404844293,-0.08421376393694734,-0.029773164167627833,-0.10340638216070744,-0.05536332179930796,0.08421376393694734,-0.0629911572472126,0.1085121107266436,0.041584006151480196,0.12456747404844293,0.01574778931180315,-0.10340638216070744,0.03254133025759323,-0.186082276047674,-0.12456747404844293,-0.08421376393694734,0.07972318339100345,-0.029773164167627833,0.11909265667051133,-0.024605920799692427,0.2288965782391388,0.3188927335640138,0.08421376393694734,0.003936947327950788,0.2364628988850442,-0.06698961937716265,0.03254133025759323,-0.13016532103037293,0.186082276047674,-0.17279507881584008,-0.11374086889657825,-0.09356401384083046,-0.1085121107266436,-0.0629911572472126,-0.09842368319876971,-0.09842368319876971,-0.3014225297962323,0.007443291041906958,-0.0629911572472126,0.22145328719723184,0.05911572472126105,-0.07535563244905807,0.15378700499807765,0.006151480199923107,-0.07972318339100345,-0.11374086889657825,-0.029773164167627833,-0.07111111111111111,0.29287197231833906,0.010396001537870049,0.044844290657439445,0.1085121107266436,-0.0015378700499807767,0.12456747404844293,0.13016532103037293,-0.022206843521722412,0.1929104190695886,-0.044844290657439445,0.13588619761630144,-0.2519646289888504,0.06698961937716265,-0.06698961937716265,0.03310000151395798,0.04989999905228615,0.026000000536441803,0.3343999981880188,0.1485999971628189,0.0658000037074089,0.8557158708572388,0.6711643934249878,8.803656197753732,1.024784343990803,1,-554_-60
-0.06698961937716265,-0.029773164167627833,-0.13588619761630144,-0.08421376393694734,-0.0629911572472126,-0.07111111111111111,-0.041584006151480196,0.06698961937716265,-0.003936947327950788,0.09356401384083046,0.08421376393694734,0.12456747404844293,0.029773164167627833,-0.10340638216070744,0.03254133025759323,-0.11374086889657825,-0.13016532103037293,-0.07111111111111111,0.06698961937716265,-0.1085121107266436,0.13016532103037293,-0.01384083044982699,0.21413302575932336,0.3278123798539023,0.03543252595155709,0.010396001537870049,0.2364628988850442,-0.03254133025759323,0.0629911572472126,-0.13588619761630144,0.17937716262975778,-0.17937716262975778,-0.13588619761630144,-0.05536332179930796,-0.08882737408688965,-0.03254133025759323,-0.10340638216070744,-0.008858131487889272,-0.28444444444444444,0.01574778931180315,-0.003936947327950788,0.2288965782391388,0.09842368319876971,-0.0629911572472126,0.17937716262975778,-0.05173394848135333,-0.10340638216070744,-0.07972318339100345,-0.044844290657439445,-0.05536332179930796,0.2679584775086506,0.0015378700499807767,0.03844675124951941,0.14769703960015382,0.022206843521722412,0.17937716262975778,0.12456747404844293,-0.03844675124951941,0.2288965782391388,-0.03254133025759323,0.13588619761630144,-0.24415224913494812,0.13016532103037293,-0.03844675124951941,0.029899999499320984,0.044449999928474426,0.02694999985396862,0.2678999900817871,0.1530500054359436,0.06539999693632126,0.8171951770782471,0.6075607538223267,8.949103124501503,1.1962774905403468,1,-547_-56
-0.08882737408688965,-0.0271280276816609,-0.1085121107266436,-0.044844290657439445,-0.05536332179930796,-0.06698961937716265,-0.0271280276816609,0.11374086889657825,-0.04822760476739715,0.0629911572472126,0.06698961937716265,0.13016532103037293,0.044844290657439445,-0.11909265667051133,0.03844675124951941,-0.16000000000000003,-0.13588619761630144,-0.09356401384083046,0.05536332179930796,-0.08882737408688965,0.1085121107266436,-0.05536332179930796,0.21413302575932336,0.31009611687812383,0.05536332179930796,0.017777777777777778,0.2761399461745483,-0.07535563244905807,0.010396001537870049,-0.09356401384083046,0.14769703960015382,-0.16000000000000003,-0.1085121107266436,-0.05173394848135333,-0.11909265667051133,-0.03254133025759323,-0.07111111111111111,-0.07111111111111111,-0.3278123798539023,0.03543252595155709,-0.03254133025759323,0.22145328719723184,0.08421376393694734,-0.07535563244905807,0.17937716262975778,0.006151480199923107,-0.09842368319876971,-0.1085121107266436,-0.004982698961937716,-0.07535563244905807,0.2761399461745483,0.01384083044982699,0.008858131487889272,0.11909265667051133,0.000984236831987697,0.15378700499807765,0.12456747404844293,-0.05173394848135333,0.24415224913494812,-0.022206843521722412,0.14173010380622836,-0.22145328719723184,0.11909265667051133,-0.06698961937716265,0.03200000151991844,0.04520000144839287,0.02539999969303608,0.3425999879837036,0.16374999284744263,0.06830000132322311,0.8619565367698669,0.667559027671814,7.936815205110484,0.6698409501276902,1,-549_-59
-0.07111111111111111,-0.012056901191849288,-0.09356401384083046,-0.05536332179930796,-0.0271280276816609,-0.11374086889657825,-0.0629911572472126,0.11909265667051133,-0.07535563244905807,0.07972318339100345,0.007443291041906958,0.16633602460592078,0.024605920799692427,-0.09356401384083046,-0.03254133025759323,-0.16000000000000003,-0.16633602460592078,-0.07111111111111111,-0.01384083044982699,0.05911572472126105,0.09842368319876971,0.002214532871972318,0.16000000000000003,0.3553094963475586,0.09842368319876971,-0.07111111111111111,0.2599000384467512,-0.044844290657439445,-0.024605920799692427,-0.15378700499807765,0.2519646289888504,-0.14769703960015382,-0.10340638216070744,-0.05911572472126105,-0.17279507881584008,0.017777777777777778,-0.05173394848135333,-0.09842368319876971,-0.3014225297962323,0.04822760476739715,-0.11374086889657825,0.2519646289888504,0.12456747404844293,-0.06698961937716265,0.13016532103037293,0.11374086889657825,-0.11909265667051133,-0.10340638216070744,-0.11374086889657825,-0.01574778931180315,0.19986159169550174,-0.008858131487889272,0.05536332179930796,0.05911572472126105,0.029773164167627833,0.16000000000000003,0.12456747404844293,-0.0629911572472126,0.17279507881584008,-0.003936947327950788,0.09356401384083046,-0.17279507881584008,0.029773164167627833,-0.09356401384083046,0.04039999842643738,0.053599998354911804,0.03319999948143959,0.4212000072002411,0.16750000417232513,0.0722000002861023,0.8538732528686523,0.7073368430137634,7.680387727656863,1.3996772534688717,1,-552_-57
-0.012056901191849288,-0.007443291041906958,-0.13016532103037293,-0.09356401384083046,-0.04822760476739715,-0.13588619761630144,-0.05536332179930796,0.07972318339100345,-0.0629911572472126,0.1085121107266436,0.029773164167627833,0.16633602460592078,-0.003014225297962322,-0.09842368319876971,-0.024605920799692427,-0.15378700499807765,-0.16000000000000003,-0.06698961937716265,0.07972318339100345,-0.05536332179930796,0.11374086889657825,-0.017777777777777778,0.186082276047674,0.3278123798539023,0.07111111111111111,0.000984236831987697,0.2069357939254133,-0.05173394848135333,0.0629911572472126,-0.11909265667051133,0.1929104190695886,-0.14769703960015382,-0.16000000000000003,-0.07111111111111111,-0.11374086889657825,-0.019930795847750864,-0.08882737408688965,-0.09842368319876971,-0.2761399461745483,0.0629911572472126,-0.09842368319876971,0.2519646289888504,0.05911572472126105,-0.06698961937716265,0.11909265667051133,0.004982698961937716,-0.11374086889657825,-0.09356401384083046,-0.10340638216070744,-0.11909265667051133,0.28444444444444444,0.0005536332179930795,0.05911572472126105,0.0629911572472126,-0.0271280276816609,0.11909265667051133,0.12456747404844293,0.004982698961937716,0.22145328719723184,-0.01574778931180315,0.14769703960015382,-0.24415224913494812,0.03844675124951941,-0.08882737408688965,0.03880000114440918,0.05700000002980232,0.034699998795986176,0.3296000063419342,0.1753000020980835,0.07800000160932541,0.8094976544380188,0.6172718405723572,8.172267336910036,1.996512732360231,1,-548_-57
-0.05536332179930796,0.04822760476739715,-0.11374086889657825,-0.01574778931180315,-0.04822760476739715,-0.09356401384083046,-0.05173394848135333,0.10340638216070744,-0.07535563244905807,0.03543252595155709,0.05536332179930796,0.13588619761630144,-0.017777777777777778,-0.1085121107266436,0.0015378700499807767,-0.1929104190695886,-0.1085121107266436,-0.13588619761630144,0.022206843521722412,0.01384083044982699,0.07972318339100345,-0.05173394848135333,0.17937716262975778,0.3278123798539023,0.09842368319876971,0.022206843521722412,0.28444444444444444,-0.11374086889657825,-0.041584006151480196,-0.14769703960015382,0.2364628988850442,-0.09842368319876971,-0.06698961937716265,-0.05536332179930796,-0.1085121107266436,-0.002214532871972318,-0.08421376393694734,-0.10340638216070744,-0.3553094963475586,-0.019930795847750864,-0.10340638216070744,0.2069357939254133,0.05911572472126105,-0.08421376393694734,0.16633602460592078,0.03844675124951941,-0.08882737408688965,-0.11909265667051133,-0.05536332179930796,-0.041584006151480196,0.21413302575932336,-0.041584006151480196,0.01384083044982699,0.14769703960015382,0.006151480199923107,0.11909265667051133,0.14173010380622836,-0.041584006151480196,0.22145328719723184,-0.0629911572472126,0.10340638216070744,-0.21413302575932336,0.022206843521722412,-0.05911572472126105,0.03220000118017197,0.05660000070929527,0.027899999171495438,0.33880001306533813,0.15119999647140503,0.06350000202655792,0.8478320240974426,0.6843152046203613,8.274800937657036,1.7150247933255833,1,-553_-60
-0.05536332179930796,0.044844290657439445,-0.07111111111111111,-0.07535563244905807,-0.07535563244905807,-0.041584006151480196,0.017777777777777778,0.1085121107266436,-0.04822760476739715,0.0629911572472126,0.03543252595155709,0.17279507881584008,0.04822760476739715,-0.16633602460592078,0.05173394848135333,-0.13588619761630144,-0.13588619761630144,-0.07535563244905807,0.05536332179930796,-0.05536332179930796,0.07535563244905807,0.003014225297962322,0.16633602460592078,0.3553094963475586,0.01574778931180315,0.004982698961937716,0.2599000384467512,-0.022206843521722412,0.029773164167627833,-0.12456747404844293,0.13588619761630144,-0.13588619761630144,-0.05173394848135333,0.003936947327950788,-0.07535563244905807,-0.007443291041906958,-0.01574778931180315,-0.07972318339100345,-0.3553094963475586,0.003936947327950788,-0.07111111111111111,0.29287197231833906,0.08882737408688965,-0.041584006151480196,0.2069357939254133,0.0629911572472126,-0.14173010380622836,-0.16633602460592078,0.010396001537870049,-0.024605920799692427,0.21413302575932336,-0.000984236831987697,-0.012056901191849288,0.13016532103037293,-0.004982698961937716,0.13016532103037293,0.13588619761630144,-0.07111111111111111,0.2364628988850442,-0.05536332179930796,0.029773164167627833,-0.2364628988850442,0.07972318339100345,-0.07535563244905807,0.03739999979734421,0.05324999988079071,0.03060000017285347,0.3770500123500824,0.17125000059604645,0.07474999874830246,0.8498712182044983,0.669101357460022,10.242034994646543,1.265359223435828,1,-548_-62
-0.05536332179930796,0.003936947327950788,-0.16633602460592078,-0.07535563244905807,-0.08421376393694734,-0.12456747404844293,-0.07535563244905807,0.07111111111111111,-0.0629911572472126,0.12456747404844293,0.041584006151480196,0.13016532103037293,0.01384083044982699,-0.1085121107266436,0.017777777777777778,-0.16000000000000003,-0.10340638216070744,-0.11374086889657825,0.07111111111111111,-0.07972318339100345,0.11909265667051133,-0.05911572472126105,0.2519646289888504,0.3278123798539023,0.09842368319876971,0.04822760476739715,0.2364628988850442,-0.08882737408688965,0.05173394848135333,-0.13016532103037293,0.19986159169550174,-0.13016532103037293,-0.1085121107266436,-0.1085121107266436,-0.07972318339100345,-0.07972318339100345,-0.1085121107266436,-0.05536332179930796,-0.2679584775086506,-0.004982698961937716,-0.041584006151480196,0.19986159169550174,0.0629911572472126,-0.08421376393694734,0.17279507881584008,-0.024605920799692427,-0.09842368319876971,-0.08421376393694734,-0.0015378700499807767,-0.0629911572472126,0.2761399461745483,0.012056901191849288,0.041584006151480196,0.14769703960015382,-0.024605920799692427,0.12456747404844293,0.14173010380622836,-0.019930795847750864,0.17279507881584008,-0.05536332179930796,0.14769703960015382,-0.2364628988850442,0.044844290657439445,-0.019930795847750864,0.034699998795986176,0.04540000110864639,0.02969999983906746,0.27079999446868896,0.14090000092983246,0.0568000003695488,0.802329421043396,0.653235673904419,9.077663357117244,0.8011053972821786,1,-549_-60
-0.07535563244905807,0.029773164167627833,-0.09356401384083046,-0.08421376393694734,-0.041584006151480196,-0.07535563244905807,0.000984236831987697,0.11374086889657825,-0.08882737408688965,0.0629911572472126,0.03543252595155709,0.1085121107266436,0.029773164167627833,-0.09356401384083046,-0.019930795847750864,-0.19986159169550174,-0.11909265667051133,-0.06698961937716265,0.08421376393694734,-0.03543252595155709,0.06698961937716265,0.024605920799692427,0.2069357939254133,0.3188927335640138,0.04822760476739715,0.012056901191849288,0.2679584775086506,-0.044844290657439445,0.003936947327950788,-0.2069357939254133,0.22145328719723184,-0.12456747404844293,-0.09356401384083046,-6.151480199923106e-05,-0.07535563244905807,-0.01574778931180315,-0.10340638216070744,-0.024605920799692427,-0.33685505574778934,-0.03543252595155709,-0.03844675124951941,0.22145328719723184,0.09842368319876971,-0.05911572472126105,0.2069357939254133,0.03543252595155709,-0.16000000000000003,-0.14173010380622836,-0.003014225297962322,-0.006151480199923107,0.21413302575932336,0.019930795847750864,0.024605920799692427,0.16000000000000003,0.003936947327950788,0.17937716262975778,0.11909265667051133,-0.041584006151480196,0.21413302575932336,-0.06698961937716265,0.08421376393694734,-0.19986159169550174,0.0629911572472126,-0.05911572472126105,0.04100000113248825,0.05939999967813492,0.03400000184774399,0.3714999854564667,0.1826000064611435,0.08030000329017639,0.8323057889938354,0.6445329785346985,8.051867602328244,0.9831578765828548,1,-552_-60
-0.09842368319876971,0.024605920799692427,-0.11374086889657825,-0.044844290657439445,-0.08421376393694734,-0.09842368319876971,-0.0629911572472126,0.09842368319876971,-0.03844675124951941,0.05911572472126105,0.05173394848135333,0.13016532103037293,0.01384083044982699,-0.12456747404844293,0.05536332179930796,-0.16633602460592078,-0.09356401384083046,-0.08882737408688965,0.03543252595155709,-0.07111111111111111,0.09842368319876971,-0.0629911572472126,0.2288965782391388,0.3278123798539023,0.09842368319876971,0.03543252595155709,0.28444444444444444,-0.09356401384083046,0.007443291041906958,-0.12456747404844293,0.1929104190695886,-0.11909265667051133,-0.05911572472126105,-0.06698961937716265,-0.08882737408688965,-0.04822760476739715,-0.07111111111111111,-0.05911572472126105,-0.33685505574778934,-0.008858131487889272,-0.05173394848135333,0.19986159169550174,0.07111111111111111,-0.07972318339100345,0.19986159169550174,0.004982698961937716,-0.08882737408688965,-0.08421376393694734,0.008858131487889272,-0.05173394848135333,0.2761399461745483,-0.004982698961937716,0.01574778931180315,0.14173010380622836,0.008858131487889272,0.14173010380622836,0.15378700499807765,-0.044844290657439445,0.2288965782391388,-0.07535563244905807,0.09842368319876971,-0.2288965782391388,0.07111111111111111,-0.03254133025759323,0.042399998754262924,0.058400001376867294,0.032999999821186066,0.367900013923645,0.16449999809265137,0.07029999792575836,0.8353704214096069,0.6791419386863708,9.690664351882424,0.7719760877980386,1,-551_-62
