roi,grp,lon,lat,dwc,ang,s1,s2,pr,tas,s1p,s2p,prp,tasp,year,pr_an,tas_an,s1_min,s2_min,blk,b,dev,yr_c
CD_congo,AF,23.051713421555245,0.4904352293650527,1,6.481350016631712,30,6,1.4014713307294002,298.33617398357165,29,1,1.5972903493027246,298.31342907215594,2018,0.09844556802215543,-0.46614506687524226,29,1,230_4,7.729799944657143,-1.2484499280254306,-3
CD_congo,AF,23.06545764540228,0.302148345813601,1,6.120149781878889,30,6,1.4411282231482616,298.0273090115259,29,0,1.5784544768909967,298.0531290738936,2018,0.1642638731494781,-0.5003021035542474,29,0,230_3,7.784767003834089,-1.6646172219551998,-3
CD_congo,AF,23.314021484518147,0.4228819199992647,1,7.60162927285218,30,7,1.767181216684257,298.17962160849044,29,1,1.868903678951696,298.2265559529014,2018,0.20515423340054717,-0.47289816515876737,29,1,233_4,4.644321012174132,2.9573082606780483,-3
CD_congo,AF,23.10426486567624,0.1371278281208449,1,5.183035456544612,30,7,1.5272368182810894,298.18375546784915,29,0,1.570632380543188,298.2842480790516,2018,0.21869052925410237,-0.5610143679757584,29,0,231_1,11.36740217655457,-6.184366720009958,-3
CD_congo,AF,23.38480872890677,0.4852250007171595,1,7.575893369498821,30,7,1.6231494536074749,297.95612853305863,29,1,1.737345230875448,298.01419288353986,2018,0.12772577700468268,-0.4718514057070138,29,1,233_4,8.039568515633544,-0.46367514613472327,-3
CD_congo,AF,23.4038530129301,0.4516280090910894,1,5.274378733970337,30,7,1.6231494536074749,297.95612853305863,29,1,1.737345230875448,298.01419288353986,2018,0.12772577700468268,-0.4718514057070138,29,1,234_4,4.679285981463647,0.59509275250669,-3
CD_congo,AF,23.30602647848948,0.4367159753747053,1,9.147089069398426,30,7,1.767181216684257,298.17962160849044,29,1,1.868903678951696,298.2265559529014,2018,0.20515423340054717,-0.47289816515876737,29,1,233_4,8.671724970744792,0.4753640986536336,-3
CD_congo,AF,23.111092061835546,0.2218389594133158,1,9.0698580317078,30,7,1.5061342110308755,298.0424995800765,29,0,1.5752985450605903,298.11297654006887,2018,0.19483763703408186,-0.5295725426579452,29,0,231_2,6.352106024166763,2.717752007541038,-3
CD_congo,AF,23.397025816770796,0.1034410049663629,1,6.250410909920784,30,5,1.6368397315415493,297.9661507333337,29,0,1.808722776470617,298.08450305839096,2018,0.1810965778053042,-0.4973847817296928,29,0,233_1,5.1432058889625,1.1072050209582835,-3
CD_congo,AF,23.3504930850534,0.3220909451210544,1,8.890740362158446,30,5,1.724213926998054,298.080806666105,29,1,1.853951824007467,298.1748744020529,2018,0.2149154877037045,-0.513514163695902,29,1,233_3,5.347600496889485,3.5431398652689614,-3
CD_congo,AF,23.13049567197253,0.2929855299155819,1,8.08452606042436,30,6,1.4411282231482616,298.0273090115259,29,0,1.5784544768909967,298.0531290738936,2018,0.1642638731494781,-0.5003021035542474,29,0,231_2,7.40520865843627,0.6793174019880892,-3
