A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,B11,B12,B2,B3,B4,B8,NBR,NDVI,tmf,lon,lat
-0.0271280276816609,-0.044844290657439445,-0.22145328719723184,-0.13016532103037293,-0.08421376393694734,-0.11909265667051133,-0.03543252595155709,0.11374086889657825,-0.08882737408688965,0.13588619761630144,0.012056901191849288,0.13588619761630144,0.022206843521722412,-0.05911572472126105,6.151480199923106e-05,-0.14173010380622836,-0.14769703960015382,-0.07972318339100345,0.07111111111111111,-0.09842368319876971,0.16633602460592078,0.010396001537870049,0.19986159169550174,0.3278123798539023,0.019930795847750864,0.01574778931180315,0.22145328719723184,-0.006151480199923107,0.1085121107266436,-0.1085121107266436,0.15378700499807765,-0.17279507881584008,-0.09356401384083046,-0.13588619761630144,-0.13016532103037293,-0.09842368319876971,-0.12456747404844293,-0.019930795847750864,-0.19986159169550174,0.029773164167627833,-0.04822760476739715,0.24415224913494812,0.07535563244905807,0.003936947327950788,0.16633602460592078,-0.05173394848135333,-0.13588619761630144,-0.10340638216070744,0.000984236831987697,-0.07535563244905807,0.24415224913494812,0.012056901191849288,0.004982698961937716,0.13016532103037293,-0.13588619761630144,0.14769703960015382,0.04822760476739715,-0.07535563244905807,0.13588619761630144,-0.022206843521722412,0.14769703960015382,-0.2288965782391388,0.029773164167627833,-0.14769703960015382,0.13767500221729279,0.05544000118970871,0.02266000024974346,0.03611111268401146,0.020757142454385757,0.2515000104904175,0.6387567520141602,0.8475180864334106,1,-54.50343831761952,-11.881073032000586
0.1085121107266436,0.05911572472126105,-0.1085121107266436,-0.07535563244905807,-0.024605920799692427,0.16000000000000003,0.17937716262975778,0.16000000000000003,-0.05173394848135333,-0.01574778931180315,-0.07535563244905807,0.07111111111111111,-0.12456747404844293,0.003936947327950788,0.003014225297962322,0.029773164167627833,-0.0271280276816609,0.09842368319876971,-0.04822760476739715,-0.24415224913494812,0.11374086889657825,0.029773164167627833,-0.14769703960015382,0.36472126105344094,-0.07535563244905807,0.06698961937716265,0.17279507881584008,0.2679584775086506,0.07972318339100345,-0.17279507881584008,-0.08882737408688965,-0.024605920799692427,0.15378700499807765,-0.11909265667051133,-0.07535563244905807,0.08882737408688965,-0.1085121107266436,-0.06698961937716265,-0.07535563244905807,0.07972318339100345,-0.024605920799692427,0.17279507881584008,-0.05536332179930796,0.0629911572472126,0.1085121107266436,-0.029773164167627833,-0.16633602460592078,-0.14173010380622836,-0.08421376393694734,0.029773164167627833,-0.01574778931180315,0.07535563244905807,-0.2761399461745483,0.2519646289888504,0.01384083044982699,0.07972318339100345,0.044844290657439445,-0.0015378700499807767,0.012056901191849288,0.09842368319876971,0.09356401384083046,-0.044844290657439445,0.07111111111111111,-0.3014225297962323,0.3301999866962433,0.22624999284744263,0.05285000056028366,0.07519999891519547,0.09160000085830688,0.31700000166893005,0.16705018281936646,0.5516397356987,3,-54.665045237232626,-11.031176941695106
0.12456747404844293,0.13016532103037293,-0.12456747404844293,-0.06698961937716265,0.010396001537870049,0.17937716262975778,0.186082276047674,0.15378700499807765,-0.03543252595155709,-0.06698961937716265,-0.024605920799692427,0.012056901191849288,-0.21413302575932336,0.000984236831987697,-0.024605920799692427,0.000984236831987697,-0.041584006151480196,0.17279507881584008,-0.0271280276816609,-0.28444444444444444,0.07535563244905807,0.05173394848135333,-0.16633602460592078,0.29287197231833906,-0.022206843521722412,0.09842368319876971,0.16000000000000003,0.2288965782391388,0.04822760476739715,-0.12456747404844293,-0.06698961937716265,-0.012056901191849288,0.186082276047674,-0.07972318339100345,-0.044844290657439445,0.05911572472126105,-0.07972318339100345,0.00024605920799692423,-0.01384083044982699,0.12456747404844293,-0.03844675124951941,0.13016532103037293,-0.05911572472126105,0.05911572472126105,0.000984236831987697,-0.07972318339100345,-0.21413302575932336,-0.14173010380622836,-0.0005536332179930795,0.0629911572472126,-0.03254133025759323,0.13588619761630144,-0.2519646289888504,0.3188927335640138,0.012056901191849288,0.04822760476739715,0.024605920799692427,-0.019930795847750864,0.0629911572472126,0.1085121107266436,0.13588619761630144,-0.024605920799692427,0.01384083044982699,-0.2364628988850442,0.438400000333786,0.3061000108718872,0.08179999887943268,0.11479999870061874,0.16519999504089355,0.305400013923645,-0.0011447210563346744,0.29791757464408875,3,-55.028323938130555,-11.746235907854246
0.07111111111111111,0.07972318339100345,-0.08421376393694734,-0.041584006151480196,-0.006151480199923107,0.2679584775086506,0.12456747404844293,0.22145328719723184,-0.05536332179930796,0.004982698961937716,-0.022206843521722412,0.012056901191849288,0.003936947327950788,-0.006151480199923107,-0.006151480199923107,0.05536332179930796,-0.07111111111111111,0.16633602460592078,-0.01574778931180315,-0.2069357939254133,0.1085121107266436,0.05911572472126105,-0.19986159169550174,0.2679584775086506,-0.09842368319876971,0.09356401384083046,0.2069357939254133,0.14769703960015382,0.10340638216070744,-0.15378700499807765,-0.08882737408688965,-0.0271280276816609,0.1085121107266436,-0.08882737408688965,-0.14173010380622836,0.07535563244905807,-0.07111111111111111,0.002214532871972318,-0.08882737408688965,0.14769703960015382,0.0005536332179930795,0.16633602460592078,-0.03844675124951941,0.13016532103037293,0.14769703960015382,0.008858131487889272,-0.21413302575932336,-0.07111111111111111,-0.05911572472126105,-0.010396001537870049,-0.05536332179930796,0.07972318339100345,-0.2519646289888504,0.29287197231833906,-0.029773164167627833,0.10340638216070744,0.05173394848135333,-0.017777777777777778,0.0629911572472126,0.041584006151480196,0.10340638216070744,0.03844675124951941,0.0629911572472126,-0.3278123798539023,0.34369999170303345,0.22460000216960907,0.05290000140666962,0.07280000299215317,0.08879999816417694,0.20919999480247498,-0.03550024703145027,0.4040268361568451,3,-54.917471832070206,-11.108971045299857
-0.024605920799692427,-0.0271280276816609,-0.22145328719723184,-0.13016532103037293,-0.08882737408688965,-0.07111111111111111,-0.03254133025759323,0.14769703960015382,-0.08882737408688965,0.10340638216070744,0.007443291041906958,0.1085121107266436,0.004982698961937716,-0.05536332179930796,0.007443291041906958,-0.15378700499807765,-0.13016532103037293,-0.1085121107266436,0.08421376393694734,-0.09356401384083046,0.14769703960015382,-0.041584006151480196,0.19986159169550174,0.3188927335640138,0.007443291041906958,0.03543252595155709,0.22145328719723184,0.012056901191849288,0.1085121107266436,-0.13016532103037293,0.13588619761630144,-0.16633602460592078,-0.03543252595155709,-0.14769703960015382,-0.1085121107266436,-0.08421376393694734,-0.11909265667051133,-0.012056901191849288,-0.22145328719723184,0.000984236831987697,-0.09356401384083046,0.22145328719723184,0.07111111111111111,0.012056901191849288,0.19986159169550174,-0.06698961937716265,-0.186082276047674,-0.09356401384083046,0.008858131487889272,-0.044844290657439445,0.2069357939254133,0.017777777777777778,-0.004982698961937716,0.17279507881584008,-0.11909265667051133,0.15378700499807765,0.05536332179930796,-0.07535563244905807,0.11909265667051133,0.002214532871972318,0.17279507881584008,-0.24415224913494812,0.008858131487889272,-0.14173010380622836,0.13249999284744263,0.052400000393390656,0.02199999988079071,0.03759999945759773,0.021400000900030136,0.25619998574256897,0.6604018211364746,0.8458213210105896,1,-55.16971876385097,-11.870832237761622
-0.01574778931180315,-0.04822760476739715,-0.2069357939254133,-0.13588619761630144,-0.07111111111111111,-0.1085121107266436,-0.05536332179930796,0.14769703960015382,-0.11374086889657825,0.12456747404844293,-0.007443291041906958,0.14769703960015382,0.010396001537870049,-0.07111111111111111,-0.0271280276816609,-0.13016532103037293,-0.14769703960015382,-0.07111111111111111,0.07972318339100345,-0.08421376393694734,0.14769703960015382,-0.006151480199923107,0.17937716262975778,0.33685505574778934,0.00024605920799692423,0.01384083044982699,0.186082276047674,0.03543252595155709,0.10340638216070744,-0.13016532103037293,0.1085121107266436,-0.2069357939254133,-0.03543252595155709,-0.13016532103037293,-0.13588619761630144,-0.1085121107266436,-0.07535563244905807,-0.022206843521722412,-0.1929104190695886,0.012056901191849288,-0.09842368319876971,0.2519646289888504,0.0629911572472126,0.0271280276816609,0.17279507881584008,-0.05173394848135333,-0.186082276047674,-0.09356401384083046,0.008858131487889272,-0.06698961937716265,0.1929104190695886,0.01384083044982699,0.003014225297962322,0.15378700499807765,-0.15378700499807765,0.12456747404844293,0.03254133025759323,-0.08421376393694734,0.10340638216070744,0.010396001537870049,0.15378700499807765,-0.2679584775086506,-0.002214532871972318,-0.17937716262975778,0.13359999656677246,0.053300000727176666,0.020999999716877937,0.03736666589975357,0.02070000022649765,0.2484000027179718,0.6466688513755798,0.8461538553237915,1,-55.20780733189764,-11.803458591452658
-0.0629911572472126,-0.01384083044982699,-0.22145328719723184,-0.11909265667051133,-0.10340638216070744,-0.044844290657439445,-0.03543252595155709,0.17937716262975778,-0.09842368319876971,0.06698961937716265,-0.024605920799692427,0.09356401384083046,0.004982698961937716,-0.04822760476739715,0.017777777777777778,-0.11374086889657825,-0.14173010380622836,-0.13588619761630144,0.05536332179930796,-0.10340638216070744,0.16633602460592078,-0.07111111111111111,0.21413302575932336,0.33685505574778934,0.0015378700499807767,0.07535563244905807,0.2364628988850442,-0.017777777777777778,0.07972318339100345,-0.09842368319876971,0.13016532103037293,-0.17279507881584008,-0.007443291041906958,-0.14769703960015382,-0.10340638216070744,-0.08882737408688965,-0.08421376393694734,0.007443291041906958,-0.2288965782391388,-0.000984236831987697,-0.07111111111111111,0.1929104190695886,0.05911572472126105,0.03254133025759323,0.22145328719723184,-0.05911572472126105,-0.16633602460592078,-0.041584006151480196,6.151480199923106e-05,-0.04822760476739715,0.17937716262975778,-0.00024605920799692423,-0.029773164167627833,0.2069357939254133,-0.09842368319876971,0.13588619761630144,0.05911572472126105,-0.09356401384083046,0.13016532103037293,0.01384083044982699,0.16000000000000003,-0.2599000384467512,0.03254133025759323,-0.14769703960015382,0.14149999618530273,0.057500001043081284,0.02356666699051857,0.039799999445676804,0.020150000229477882,0.2955000102519989,0.6742209792137146,0.8723269701004028,1,-55.01224409454482,-11.773904018605126
0.0629911572472126,0.06698961937716265,-0.10340638216070744,-0.0005536332179930795,-0.006151480199923107,0.12456747404844293,0.2288965782391388,0.14769703960015382,-0.07535563244905807,-0.044844290657439445,-0.05536332179930796,0.044844290657439445,-0.15378700499807765,0.029773164167627833,0.0271280276816609,0.03844675124951941,-0.024605920799692427,0.08882737408688965,-0.0629911572472126,-0.3014225297962323,0.11909265667051133,0.03254133025759323,-0.15378700499807765,0.3278123798539023,-0.017777777777777778,0.12456747404844293,0.186082276047674,0.24415224913494812,0.05536332179930796,-0.1929104190695886,-0.07111111111111111,0.017777777777777778,0.19986159169550174,-0.08421376393694734,-0.09356401384083046,0.08421376393694734,-0.1085121107266436,-0.002214532871972318,-0.022206843521722412,0.08882737408688965,-0.007443291041906958,0.08421376393694734,-0.08882737408688965,0.019930795847750864,0.05911572472126105,-0.09356401384083046,-0.16633602460592078,-0.07111111111111111,-0.03844675124951941,0.03844675124951941,0.044844290657439445,0.10340638216070744,-0.29287197231833906,0.3278123798539023,0.05911572472126105,0.09842368319876971,0.041584006151480196,0.03844675124951941,-0.029773164167627833,0.11374086889657825,0.07972318339100345,-0.008858131487889272,0.04822760476739715,-0.24415224913494812,0.3327000141143799,0.26669999957084656,0.0674000009894371,0.09480000287294388,0.13339999318122864,0.3303999900817871,0.10668228566646576,0.42475205659866333,3,-54.73448500869506,-11.12244577456165
-0.0629911572472126,0.0015378700499807767,-0.186082276047674,-0.07111111111111111,-0.09356401384083046,-0.09356401384083046,-0.03844675124951941,0.17279507881584008,-0.13016532103037293,0.07111111111111111,-0.03543252595155709,0.13016532103037293,0.008858131487889272,-0.13016532103037293,-0.0015378700499807767,-0.17279507881584008,-0.13588619761630144,-0.07111111111111111,0.05911572472126105,-0.03543252595155709,0.13588619761630144,-0.03844675124951941,0.17279507881584008,0.36472126105344094,0.022206843521722412,0.07972318339100345,0.2761399461745483,-0.03543252595155709,0.08882737408688965,-0.13588619761630144,0.10340638216070744,-0.13016532103037293,0.029773164167627833,-0.11909265667051133,-0.09842368319876971,-0.10340638216070744,-0.019930795847750864,-0.0629911572472126,-0.2679584775086506,-0.0271280276816609,-0.13016532103037293,0.2069357939254133,0.04822760476739715,0.019930795847750864,0.16633602460592078,0.019930795847750864,-0.21413302575932336,-0.09842368319876971,0.041584006151480196,-0.019930795847750864,0.186082276047674,-0.004982698961937716,-0.0629911572472126,0.1929104190695886,-0.10340638216070744,0.11374086889657825,0.06698961937716265,-0.10340638216070744,0.10340638216070744,-0.004982698961937716,0.08882737408688965,-0.21413302575932336,0.0015378700499807767,-0.186082276047674,0.14675000309944153,0.06134999915957451,0.02800000086426735,0.046300001442432404,0.02745000086724758,0.3009999990463257,0.6613771319389343,0.8328512907028198,1,-55.194512265692666,-11.107084583203205
0.1085121107266436,0.07535563244905807,-0.1085121107266436,-0.0015378700499807767,0.007443291041906958,0.14173010380622836,0.2288965782391388,0.14173010380622836,-0.0629911572472126,0.01384083044982699,-0.029773164167627833,0.0629911572472126,-0.14173010380622836,0.024605920799692427,0.041584006151480196,0.03254133025759323,-0.0271280276816609,0.14173010380622836,-0.03254133025759323,-0.2761399461745483,0.11909265667051133,0.007443291041906958,-0.14769703960015382,0.31009611687812383,-0.044844290657439445,0.11909265667051133,0.21413302575932336,0.2519646289888504,0.06698961937716265,-0.1929104190695886,-0.07972318339100345,-0.0005536332179930795,0.16633602460592078,-0.11374086889657825,-0.10340638216070744,0.09842368319876971,-0.09842368319876971,-0.03543252595155709,-0.010396001537870049,0.11374086889657825,-0.003936947327950788,0.15378700499807765,-0.07972318339100345,0.029773164167627833,0.06698961937716265,-0.05536332179930796,-0.17937716262975778,-0.1085121107266436,-0.04822760476739715,0.019930795847750864,0.017777777777777778,0.09842368319876971,-0.2761399461745483,0.31009611687812383,0.05173394848135333,0.07111111111111111,0.01384083044982699,0.029773164167627833,0.007443291041906958,0.08421376393694734,0.09356401384083046,-0.03844675124951941,0.05536332179930796,-0.2519646289888504,0.4247500002384186,0.31540000438690186,0.07913333177566528,0.10164999961853027,0.13650000095367432,0.3168500065803528,0.002293400000780821,0.3978162705898285,3,-55.10144680225789,-11.544474295041
