i,sa2020,sa2021,sa2022,sa2023,sa2024,sa2025,roi
2534,3.2434878311785718,6.252570559770438,2.533688019094738,7.242327886374355,10.576994998822029,4.566259735323833,BR_caat
2591,17.40662321695915,7.483403738997961,6.925603511239327,12.454587925126274,11.586869575180547,10.638561683235633,BR_caat
2894,13.913865031030888,4.7223216755704085,23.964224469803025,22.195462984719793,16.251113578615815,17.332217708263393,BR_caat
2027,1.8415696703101072,4.501963999817051,19.526432301352486,19.54176976959991,4.95752206211089,5.016822189575431,BR_caat
2365,19.90141646429119,16.470832470529327,26.492297718073676,17.95377684040702,3.144962951270106,8.632523210179729,BR_caat
2885,14.163072698326115,4.5143040772674174,8.236359762016729,4.5485724293877485,2.2912567163516555,11.560785029417627,BR_caat
1910,24.927905628209697,5.48808331991563,4.361153669151084,3.9341094164380874,13.744207794601431,5.684045899051061,BR_caat
2898,5.3561526761948315,1.7751954737378146,12.41368194098525,6.954520228666932,4.268776183493069,6.737084418964042,BR_caat
2797,10.944620330182126,8.752799713931664,3.438729797144829,11.87792186265545,3.8385558266605013,6.271117208668807,BR_caat
2691,14.452102095453773,7.998385182913687,3.398007826415008,15.270133640198603,5.724336166248481,5.869339721336249,BR_caat
2993,19.79483633925219,5.5856127031821625,24.487719531861647,18.346268285538823,1.5227475596372344,6.82365141203899,BR_caat
2572,22.307068552497785,2.158272557968198,18.531593347187936,23.913709856679777,2.723002567235884,13.77020812753725,BR_caat
2655,10.97812454363548,10.861058486832752,3.2718367201345884,1.7112118636360683,2.507577205249012,1.5272649207173161,BR_caat
1984,9.411379659339289,22.331271731856987,26.985976923771048,7.2120009170323325,2.166372386389375,7.908908776171705,BR_caat
2781,26.215864630778732,12.127067002928749,16.271030704959234,13.437056680933212,17.3955757646509,29.423108774895745,BR_caat
1833,3.3215655473053345,5.494355903355722,12.569033744275817,10.833043096448305,10.367372652435549,6.392865120969809,BR_caat
2030,8.203716303688047,9.816651743293917,4.433244004544698,9.296013748600156,6.165206421662577,11.228090276394417,BR_caat
2004,12.82113818672783,6.994083487350936,14.370563568833074,5.829391576069713,8.430917819255997,2.4580218446617192,BR_caat
2169,17.22961422229278,19.6634631095396,30.191974314351366,37.775849908182806,15.731516564883597,15.052408149681728,BR_caat
2048,3.0367548051364768,2.330504824954891,10.96715072365193,8.115597758877428,9.93411030490936,15.437678845708012,BR_caat
1875,24.348379426577022,26.220557639252313,22.006250758854552,5.216564926946342,12.074968340274996,18.19925528817838,BR_caat
3019,8.676022880522837,7.868832359496536,23.269051704338114,20.201191080952178,17.487684963021817,18.95264965366297,BR_caat
2339,21.013942775471676,21.383214958985338,1.4547842306459007,2.76631190800073,12.157044311775357,14.068418148721959,BR_caat
1849,12.542538441864128,5.7542230606156854,15.96317722425638,19.89935971991655,11.579093482888535,13.728546961824103,BR_caat
2645,8.273003850002668,3.1062757206068956,11.959129081905177,12.276759694683339,6.223460573803697,8.653835540315727,BR_caat
1843,8.984937879955735,1.288338140362443,6.832040654303224,13.601375576552648,10.182415292937144,4.6217419437230625,BR_caat
2890,10.340509738157717,2.756332806798676,15.543039276559817,11.463354404282589,2.7795622671099225,8.755785972104357,BR_caat
2855,3.3737964609546056,1.7558995346243114,3.14677628606602,19.450221186478956,15.059891086101816,5.295096425118397,BR_caat
2589,20.424405961263673,4.942694059740544,7.058946442655299,9.428314012484314,5.135139841617497,13.818062931369218,BR_caat
