A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,B11,B12,B2,B3,B4,B8,NBR,NDVI,age,bin,g2017,g2018,g2019,g2020,g2021,g2022,lon,lat,blk
0.17937716262975778,0.041584006151480196,-0.0015378700499807767,0.03543252595155709,-0.03543252595155709,0.06698961937716265,0.10340638216070744,0.16633602460592078,-0.044844290657439445,0.01384083044982699,0.1085121107266436,0.008858131487889272,-0.16633602460592078,0.041584006151480196,0.05536332179930796,0.03543252595155709,-0.044844290657439445,0.2069357939254133,-0.04822760476739715,-0.17937716262975778,-0.04822760476739715,0.008858131487889272,-0.15378700499807765,0.2069357939254133,-0.16633602460592078,0.16000000000000003,0.029773164167627833,0.21413302575932336,-0.14769703960015382,-0.11374086889657825,-0.13588619761630144,-0.14173010380622836,0.14173010380622836,-0.2288965782391388,-0.08421376393694734,0.07972318339100345,0.14769703960015382,-0.14173010380622836,-0.07535563244905807,0.13016532103037293,-0.19986159169550174,0.13016532103037293,-0.17937716262975778,0.03254133025759323,0.019930795847750864,-0.19986159169550174,-0.16000000000000003,-0.11909265667051133,-0.16000000000000003,-0.08421376393694734,-0.008858131487889272,0.017777777777777778,-0.14769703960015382,0.2599000384467512,0.029773164167627833,-0.05911572472126105,-0.03254133025759323,-0.006151480199923107,0.041584006151480196,-0.06698961937716265,0.14173010380622836,-0.06698961937716265,0.08882737408688965,-0.2519646289888504,0.29126667976379395,0.21074999868869781,0.0632999986410141,0.09099999815225601,0.09461110830307007,0.2714875042438507,0.12594936788082123,0.48313868045806885,0,0,25.460468218451073,21.499708033366073,28.123286502681964,48.0159709372895,51.192143027357524,23.55565292881162,-47.57266640605218,-23.00311456468438,-476_-231
0.14769703960015382,0.03543252595155709,-0.13588619761630144,-0.09842368319876971,0.003014225297962322,-0.06698961937716265,0.10340638216070744,0.31009611687812383,-0.07111111111111111,0.12456747404844293,-0.03844675124951941,0.1085121107266436,-0.03543252595155709,0.09356401384083046,0.006151480199923107,-0.006151480199923107,-0.07972318339100345,-0.07535563244905807,0.007443291041906958,0.14769703960015382,0.003014225297962322,0.06698961937716265,-0.09356401384083046,0.13588619761630144,-0.13016532103037293,0.17937716262975778,-0.05911572472126105,0.09356401384083046,-0.029773164167627833,-0.05911572472126105,-0.007443291041906958,-0.16633602460592078,0.10340638216070744,-0.16633602460592078,-0.13588619761630144,-0.022206843521722412,-0.01574778931180315,0.07111111111111111,0.003014225297962322,-0.05173394848135333,-0.2069357939254133,-0.0271280276816609,-0.024605920799692427,0.17937716262975778,0.2679584775086506,-0.06698961937716265,-0.008858131487889272,0.03844675124951941,0.07111111111111111,0.06698961937716265,-0.08882737408688965,-0.16000000000000003,-0.2069357939254133,0.3278123798539023,-0.11909265667051133,-0.22145328719723184,-0.11374086889657825,-0.16000000000000003,0.08882737408688965,0.09842368319876971,0.041584006151480196,-0.2288965782391388,-0.06698961937716265,-0.21413302575932336,0.1680999994277954,0.08330000191926956,0.03720000013709068,0.056699998676776886,0.03359999880194664,0.3176000118255615,0.5844350457191467,0.8086560368537903,0,0,13.36836467980812,10.098641957970655,9.563442586933807,8.709795015419221,15.671869055509063,8.897498142899872,-46.71432615207598,-24.10804236415139,-468_-242
0.01574778931180315,0.06698961937716265,0.012056901191849288,-0.14173010380622836,-0.03543252595155709,-0.03254133025759323,0.09842368319876971,0.16633602460592078,-0.024605920799692427,-0.09842368319876971,-0.07972318339100345,-0.14173010380622836,-0.10340638216070744,0.01384083044982699,0.05536332179930796,-0.044844290657439445,0.01574778931180315,0.0271280276816609,0.03254133025759323,-0.05536332179930796,0.07111111111111111,0.05536332179930796,-0.15378700499807765,0.05536332179930796,-0.16633602460592078,0.13016532103037293,0.007443291041906958,0.13016532103037293,-0.05911572472126105,-0.186082276047674,0.05911572472126105,-0.041584006151480196,0.2288965782391388,-0.14769703960015382,-0.07535563244905807,-0.08882737408688965,-0.08421376393694734,0.0629911572472126,-0.17279507881584008,-0.044844290657439445,-0.2761399461745483,0.03543252595155709,-0.16633602460592078,0.186082276047674,0.19986159169550174,-0.12456747404844293,-0.16000000000000003,0.05536332179930796,-0.012056901191849288,-0.08421376393694734,0.05536332179930796,-0.003936947327950788,-0.19986159169550174,0.28444444444444444,0.019930795847750864,-0.08421376393694734,0.03844675124951941,-0.07111111111111111,0.14173010380622836,-0.022206843521722412,0.08421376393694734,-0.2519646289888504,-0.14769703960015382,-0.3553094963475586,0.22875714302062988,0.15051667392253876,0.04314737021923065,0.07281111180782318,0.06774000078439713,0.3156000077724457,0.3541674017906189,0.6465800404548645,0,0,15.321908542153205,12.674689215405877,11.705872826500174,10.999246051716137,8.34631515475438,7.557046986455794,-47.12503589997542,-23.381754456940758,-472_-234
0.17937716262975778,0.008858131487889272,0.008858131487889272,-0.17279507881584008,0.008858131487889272,-0.14173010380622836,0.2679584775086506,-0.017777777777777778,-0.14173010380622836,-0.010396001537870049,-0.044844290657439445,-0.07535563244905807,-0.12456747404844293,-0.019930795847750864,-0.15378700499807765,-0.2761399461745483,0.12456747404844293,0.002214532871972318,0.1085121107266436,0.08421376393694734,0.07972318339100345,0.15378700499807765,-0.29287197231833906,-0.041584006151480196,-0.012056901191849288,0.03844675124951941,-0.07535563244905807,0.11374086889657825,0.11374086889657825,-0.10340638216070744,0.14173010380622836,-0.07111111111111111,-0.07972318339100345,-0.05911572472126105,0.16633602460592078,-0.029773164167627833,-0.28444444444444444,-0.06698961937716265,0.010396001537870049,-0.05911572472126105,-0.24415224913494812,0.029773164167627833,-0.05173394848135333,0.06698961937716265,0.05911572472126105,-0.07972318339100345,-0.21413302575932336,-0.029773164167627833,-0.12456747404844293,-0.01384083044982699,0.044844290657439445,0.11374086889657825,-0.22145328719723184,0.16000000000000003,0.07972318339100345,-0.12456747404844293,0.044844290657439445,-0.07535563244905807,0.04822760476739715,-0.01574778931180315,0.14173010380622836,0.002214532871972318,-0.2599000384467512,-0.012056901191849288,0.2653000056743622,0.24130000174045563,0.14499999582767487,0.1599999964237213,0.18279999494552612,0.20669999718666077,-0.07723215222358704,0.06136072427034378,0,0,9.0706158288437,9.389881137465984,5.698449831716076,7.7628924105465344,7.013385049418356,8.455823786857616,-46.562870195173424,-23.598428103470386,-466_-236
0.09356401384083046,0.07535563244905807,0.024605920799692427,-0.01574778931180315,-0.03844675124951941,0.024605920799692427,0.15378700499807765,0.1085121107266436,-0.09842368319876971,-0.017777777777777778,0.08882737408688965,-0.044844290657439445,-0.17937716262975778,0.09356401384083046,0.017777777777777778,0.03543252595155709,0.007443291041906958,0.17279507881584008,-0.10340638216070744,-0.31009611687812383,0.05173394848135333,0.017777777777777778,-0.186082276047674,0.2364628988850442,-0.11374086889657825,0.186082276047674,-0.010396001537870049,0.24415224913494812,-0.13588619761630144,-0.17937716262975778,-0.07535563244905807,-0.09356401384083046,0.17937716262975778,-0.1929104190695886,-0.11909265667051133,0.012056901191849288,0.07972318339100345,-0.041584006151480196,-0.06698961937716265,0.09356401384083046,-0.13016532103037293,0.05536332179930796,-0.11909265667051133,0.0629911572472126,0.04822760476739715,-0.2679584775086506,-0.17937716262975778,-0.1085121107266436,-0.13016532103037293,-0.08421376393694734,-0.041584006151480196,0.03844675124951941,-0.15378700499807765,0.3278123798539023,0.004982698961937716,-0.07535563244905807,-0.07535563244905807,-0.03254133025759323,0.012056901191849288,-0.03543252595155709,0.12456747404844293,-0.019930795847750864,0.13016532103037293,-0.13016532103037293,0.3711083233356476,0.28942498564720154,0.06716666370630264,0.09185999631881714,0.1270909160375595,0.23997142910957336,-0.09341498464345932,0.30752408504486084,0,0,31.412129638599556,20.74560213083831,42.13683052969361,42.45317434908762,29.610183128641523,37.989534376598456,-47.44061405928661,-23.087466369863204,-475_-231
0.10340638216070744,-0.03254133025759323,0.0271280276816609,0.003936947327950788,0.07111111111111111,-0.08882737408688965,0.03844675124951941,0.21413302575932336,-0.14769703960015382,0.05911572472126105,-0.04822760476739715,-0.03543252595155709,-0.022206843521722412,-0.01574778931180315,0.07535563244905807,-0.05536332179930796,-0.0015378700499807767,0.08421376393694734,0.08421376393694734,0.08421376393694734,-0.019930795847750864,0.006151480199923107,-0.16000000000000003,0.09842368319876971,-0.1085121107266436,0.19986159169550174,0.0271280276816609,0.07972318339100345,-0.008858131487889272,-0.07972318339100345,-0.13016532103037293,-0.08882737408688965,0.03844675124951941,-0.14173010380622836,-0.022206843521722412,-0.07535563244905807,-0.024605920799692427,-0.09842368319876971,-0.16000000000000003,0.03844675124951941,-0.29287197231833906,-0.010396001537870049,-0.2519646289888504,0.17937716262975778,0.3014225297962323,-0.07972318339100345,-0.07972318339100345,-0.002214532871972318,-0.05173394848135333,-0.13016532103037293,0.044844290657439445,-0.04822760476739715,-0.2519646289888504,0.31009611687812383,-0.03844675124951941,-0.2679584775086506,0.09356401384083046,-0.07111111111111111,0.044844290657439445,-0.12456747404844293,0.03844675124951941,-0.09356401384083046,-0.08421376393694734,-0.3014225297962323,0.20419999957084656,0.13699999451637268,0.053849998861551285,0.07329999655485153,0.07620000094175339,0.2800000011920929,0.34292566776275635,0.572150468826294,0,0,12.412539086134444,9.665426910642179,10.788897715926176,12.336915719180231,8.036301508719431,8.416930751622132,-46.74801297523046,-23.410590377560997,-468_-235
0.0629911572472126,-0.14769703960015382,-0.11909265667051133,-0.08882737408688965,0.08882737408688965,-0.21413302575932336,0.041584006151480196,0.2599000384467512,-0.06698961937716265,0.05911572472126105,-0.05173394848135333,-0.0629911572472126,-0.05173394848135333,0.13588619761630144,-0.14769703960015382,0.019930795847750864,-0.16633602460592078,0.03543252595155709,0.07111111111111111,0.0629911572472126,0.0005536332179930795,0.07535563244905807,-0.05536332179930796,0.05911572472126105,-0.15378700499807765,0.05911572472126105,-0.07111111111111111,0.22145328719723184,-0.0271280276816609,-0.2288965782391388,-0.0005536332179930795,-0.2288965782391388,-0.012056901191849288,-0.11374086889657825,-0.11909265667051133,-0.1929104190695886,0.004982698961937716,0.003936947327950788,0.019930795847750864,-0.017777777777777778,-0.28444444444444444,-0.000984236831987697,-0.017777777777777778,0.08421376393694734,0.16633602460592078,-0.07972318339100345,-0.22145328719723184,0.16633602460592078,-0.13588619761630144,-0.017777777777777778,-0.0629911572472126,-0.044844290657439445,-0.041584006151480196,0.2679584775086506,-0.12456747404844293,0.017777777777777778,-0.01384083044982699,-0.04822760476739715,-0.05536332179930796,0.017777777777777778,0.11909265667051133,-0.22145328719723184,-0.11909265667051133,-0.2761399461745483,0.14429999887943268,0.08470000326633453,0.025599999353289604,0.04910000041127205,0.026200000196695328,0.3804999887943268,0.6358555555343628,0.8711581230163574,0,0,10.325174067324374,6.665466051562928,7.113114936860739,7.019698275419464,10.574100977111256,8.342433774332838,-46.54697001464451,-23.11764976340962,-466_-232
0.03844675124951941,0.044844290657439445,-0.09356401384083046,-0.1085121107266436,-0.004982698961937716,-0.05911572472126105,0.07111111111111111,0.2761399461745483,0.03543252595155709,0.05173394848135333,0.0015378700499807767,-0.15378700499807765,-0.0271280276816609,0.05911572472126105,0.12456747404844293,0.06698961937716265,-0.08421376393694734,0.012056901191849288,-0.16000000000000003,-0.17937716262975778,-0.03844675124951941,-0.08421376393694734,-0.2364628988850442,0.09356401384083046,-0.08421376393694734,0.186082276047674,0.0271280276816609,0.2069357939254133,-0.08882737408688965,-0.08882737408688965,-0.11909265667051133,-0.08882737408688965,0.17279507881584008,-0.08882737408688965,-0.17937716262975778,-0.16000000000000003,0.041584006151480196,0.10340638216070744,-0.07535563244905807,0.08882737408688965,-0.16633602460592078,0.0629911572472126,-0.14173010380622836,0.08421376393694734,0.2364628988850442,-0.1929104190695886,-0.12456747404844293,0.17937716262975778,0.01574778931180315,-0.11374086889657825,0.019930795847750864,-0.08421376393694734,-0.04822760476739715,0.2599000384467512,-0.022206843521722412,-0.003936947327950788,0.01574778931180315,-0.11374086889657825,0.11909265667051133,-0.010396001537870049,0.07111111111111111,-0.19986159169550174,0.024605920799692427,-0.3014225297962323,0.1897200047969818,0.10458888858556747,0.03454482927918434,0.05250769108533859,0.04503076896071434,0.28060001134872437,0.45694753527641296,0.7234243750572205,0,0,8.663120066626965,13.701115296911821,10.565903036676035,9.39393605321303,12.467698265682158,13.819511636704114,-47.3683895104434,-23.73883478237827,-474_-238
0.10340638216070744,-0.14173010380622836,0.022206843521722412,-0.05536332179930796,-0.03543252595155709,-0.1085121107266436,-0.024605920799692427,0.13016532103037293,6.151480199923106e-05,-0.0015378700499807767,0.09356401384083046,-0.10340638216070744,-0.06698961937716265,0.09842368319876971,-0.01384083044982699,0.05536332179930796,-0.010396001537870049,-0.003936947327950788,-0.024605920799692427,-0.13016532103037293,-0.03844675124951941,0.01384083044982699,-0.2679584775086506,-0.024605920799692427,-0.21413302575932336,0.24415224913494812,-0.004982698961937716,0.21413302575932336,-0.041584006151480196,-0.0629911572472126,-0.017777777777777778,-0.2288965782391388,-0.16633602460592078,-0.07535563244905807,-0.07972318339100345,-0.05911572472126105,-0.05536332179930796,0.0015378700499807767,-0.01384083044982699,0.2761399461745483,-0.1929104190695886,0.12456747404844293,-0.11374086889657825,0.10340638216070744,0.11374086889657825,-0.15378700499807765,-0.13588619761630144,0.1929104190695886,-0.14769703960015382,-0.14769703960015382,-0.006151480199923107,-0.000984236831987697,-0.11909265667051133,0.31009611687812383,-0.01574778931180315,-0.08421376393694734,0.10340638216070744,-0.09842368319876971,-0.01384083044982699,0.04822760476739715,0.2519646289888504,-0.11374086889657825,-0.041584006151480196,-0.186082276047674,0.16439999639987946,0.11289999634027481,0.044599998742341995,0.0640999972820282,0.05790000036358833,0.22759999334812164,0.33685755729675293,0.5943957567214966,0,0,13.572279862984072,13.08315419832728,10.607454358356492,9.34563596580314,9.195821811241876,10.160725494025199,-46.601677415447384,-23.700297056689543,-467_-238
-0.01574778931180315,-0.05536332179930796,-0.07972318339100345,-0.008858131487889272,-0.003936947327950788,-0.05911572472126105,0.019930795847750864,0.10340638216070744,-0.16633602460592078,0.09842368319876971,0.10340638216070744,-0.1085121107266436,-0.13016532103037293,0.03844675124951941,-0.11909265667051133,-0.012056901191849288,0.05536332179930796,-0.03844675124951941,-0.03543252595155709,-0.08421376393694734,0.041584006151480196,-0.008858131487889272,-0.1929104190695886,0.01574778931180315,-0.2069357939254133,0.14769703960015382,-0.05536332179930796,0.17937716262975778,-0.13016532103037293,-0.13588619761630144,-0.029773164167627833,-0.05911572472126105,0.11374086889657825,-0.2519646289888504,0.03254133025759323,-0.024605920799692427,-0.044844290657439445,0.09842368319876971,-0.16633602460592078,0.16633602460592078,-0.3278123798539023,-0.07535563244905807,-0.03844675124951941,0.14769703960015382,0.13588619761630144,-0.06698961937716265,-0.14769703960015382,0.17937716262975778,-0.03543252595155709,-0.21413302575932336,0.05911572472126105,0.13016532103037293,-0.07972318339100345,0.33685505574778934,0.05911572472126105,-0.11374086889657825,0.044844290657439445,-0.041584006151480196,0.10340638216070744,-0.03844675124951941,0.14173010380622836,-0.21413302575932336,-0.03844675124951941,-0.19986159169550174,0.1794636845588684,0.1472799926996231,0.09955454617738724,0.11923333257436752,0.13112308084964752,0.19460000097751617,0.13841116428375244,0.19488002359867096,0,0,10.33333360744829,10.869313265895302,11.93683540857205,7.554356013318203,11.9593433155263,10.714698000662537,-47.408813698228776,-23.500601569029772,-475_-236
