A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,B11,B12,B2,B3,B4,B8,NBR,NDVI,angle_deg,strat,y,lon,lat,blk
-0.13016532103037293,0.017777777777777778,-0.11909265667051133,-0.0629911572472126,-0.04822760476739715,-0.1085121107266436,-0.05911572472126105,0.11374086889657825,-0.0271280276816609,0.05173394848135333,0.041584006151480196,0.07111111111111111,0.010396001537870049,-0.10340638216070744,0.006151480199923107,-0.17279507881584008,-0.08421376393694734,-0.0629911572472126,0.05173394848135333,-0.09356401384083046,0.09356401384083046,-0.01574778931180315,0.17937716262975778,0.31009611687812383,0.08882737408688965,0.03844675124951941,0.2679584775086506,-0.05173394848135333,0.03254133025759323,-0.16000000000000003,0.19986159169550174,-0.186082276047674,-0.13588619761630144,-0.008858131487889272,-0.10340638216070744,-0.05536332179930796,-0.07972318339100345,-0.003936947327950788,-0.34602076124567477,-0.008858131487889272,-0.006151480199923107,0.19986159169550174,0.11374086889657825,-0.05536332179930796,0.17279507881584008,-0.010396001537870049,-0.12456747404844293,-0.0271280276816609,-0.01574778931180315,-0.05173394848135333,0.2519646289888504,0.0005536332179930795,0.05911572472126105,0.17937716262975778,0.044844290657439445,0.17937716262975778,0.15378700499807765,-0.03254133025759323,0.22145328719723184,-0.05173394848135333,0.11909265667051133,-0.2364628988850442,0.07972318339100345,0.010396001537870049,0.17399999499320984,0.07689999788999557,0.0421999990940094,0.061000000685453415,0.03359999880194664,0.32120001316070557,0.6136649250984192,0.8105975389480591,11.795106625053224,0,0,-55.40498753676187,-5.585410026305743,-555_-56
-0.11909265667051133,0.010396001537870049,-0.08882737408688965,-0.07535563244905807,-0.09356401384083046,-0.07111111111111111,-0.029773164167627833,0.11909265667051133,-0.017777777777777778,0.044844290657439445,0.07111111111111111,0.10340638216070744,0.05536332179930796,-0.17279507881584008,0.09356401384083046,-0.13016532103037293,-0.09356401384083046,-0.08421376393694734,0.017777777777777778,-0.06698961937716265,0.06698961937716265,-0.0629911572472126,0.17279507881584008,0.3014225297962323,0.08882737408688965,0.06698961937716265,0.28444444444444444,-0.06698961937716265,0.006151480199923107,-0.03844675124951941,0.16000000000000003,-0.14173010380622836,-0.04822760476739715,-0.0271280276816609,-0.12456747404844293,-0.04822760476739715,-0.07111111111111111,-0.05911572472126105,-0.31009611687812383,0.01384083044982699,-0.03254133025759323,0.2519646289888504,0.09356401384083046,-0.05911572472126105,0.17937716262975778,-0.01384083044982699,-0.11374086889657825,-0.08882737408688965,0.01574778931180315,-0.04822760476739715,0.2599000384467512,-0.01384083044982699,-0.01384083044982699,0.14769703960015382,0.06698961937716265,0.14769703960015382,0.14769703960015382,-0.07535563244905807,0.2761399461745483,-0.03543252595155709,0.09842368319876971,-0.2519646289888504,0.11909265667051133,-0.041584006151480196,0.18469999730587006,0.08240000158548355,0.042100001126527786,0.05779999867081642,0.03400000184774399,0.3400000035762787,0.6098484992980957,0.8181818127632141,15.400748839205118,0,0,-55.17789343293646,-5.582355754339736,-552_-56
-0.05911572472126105,0.0271280276816609,-0.13588619761630144,-0.05536332179930796,-0.03543252595155709,-0.13016532103037293,-0.07972318339100345,0.11374086889657825,-0.06698961937716265,0.0629911572472126,0.041584006151480196,0.11909265667051133,-0.000984236831987697,-0.11374086889657825,-0.03254133025759323,-0.19986159169550174,-0.14173010380622836,-0.09842368319876971,0.08882737408688965,0.007443291041906958,0.11374086889657825,-0.03844675124951941,0.21413302575932336,0.31009611687812383,0.07972318339100345,0.03844675124951941,0.24415224913494812,-0.1085121107266436,0.008858131487889272,-0.11374086889657825,0.2069357939254133,-0.15378700499807765,-0.09356401384083046,-0.08882737408688965,-0.13016532103037293,-0.03844675124951941,-0.08421376393694734,-0.12456747404844293,-0.3014225297962323,-0.006151480199923107,-0.09842368319876971,0.2069357939254133,0.06698961937716265,-0.06698961937716265,0.13016532103037293,0.024605920799692427,-0.1085121107266436,-0.07111111111111111,-0.07111111111111111,-0.07535563244905807,0.2679584775086506,-0.01384083044982699,0.024605920799692427,0.13588619761630144,0.003014225297962322,0.10340638216070744,0.14769703960015382,0.003014225297962322,0.22145328719723184,-0.05911572472126105,0.12456747404844293,-0.22145328719723184,0.03844675124951941,-0.07111111111111111,0.14630000293254852,0.06520000100135803,0.035999998450279236,0.05000000074505806,0.027699999511241913,0.3140000104904175,0.6561181545257568,0.8378694653511047,10.740559450141864,0,0,-55.34695636940775,-5.794447992920356,-554_-58
-0.044844290657439445,0.012056901191849288,-0.10340638216070744,-0.09356401384083046,-0.04822760476739715,-0.1085121107266436,-0.007443291041906958,0.09356401384083046,-0.029773164167627833,0.09356401384083046,0.041584006151480196,0.15378700499807765,0.03543252595155709,-0.13588619761630144,0.03254133025759323,-0.17937716262975778,-0.13588619761630144,-0.07972318339100345,0.07972318339100345,-0.05173394848135333,0.10340638216070744,0.006151480199923107,0.186082276047674,0.3188927335640138,0.041584006151480196,-0.008858131487889272,0.2599000384467512,-0.04822760476739715,0.03543252595155709,-0.11374086889657825,0.16633602460592078,-0.17279507881584008,-0.1085121107266436,-0.04822760476739715,-0.1085121107266436,-0.012056901191849288,-0.05173394848135333,-0.09842368319876971,-0.3014225297962323,0.0271280276816609,-0.04822760476739715,0.2761399461745483,0.09842368319876971,-0.05911572472126105,0.14769703960015382,0.01574778931180315,-0.11909265667051133,-0.15378700499807765,-0.03543252595155709,-0.07111111111111111,0.2679584775086506,0.006151480199923107,0.017777777777777778,0.11909265667051133,-0.01384083044982699,0.14173010380622836,0.11374086889657825,-0.041584006151480196,0.21413302575932336,-0.05173394848135333,0.09842368319876971,-0.2364628988850442,0.08421376393694734,-0.044844290657439445,0.17505000531673431,0.07880000025033951,0.033250000327825546,0.050200000405311584,0.030950000509619713,0.3343999981880188,0.6185866594314575,0.8305734395980835,11.37120098059736,0,0,-55.338961363379084,-5.521539809604845,-554_-56
-0.05173394848135333,0.01384083044982699,-0.10340638216070744,-0.08882737408688965,-0.04822760476739715,-0.1085121107266436,-0.05173394848135333,0.07972318339100345,-0.07111111111111111,0.09842368319876971,0.0271280276816609,0.16633602460592078,-0.002214532871972318,-0.09356401384083046,-0.03254133025759323,-0.186082276047674,-0.12456747404844293,-0.041584006151480196,0.05536332179930796,-0.017777777777777778,0.09842368319876971,0.03543252595155709,0.2069357939254133,0.3553094963475586,0.09842368319876971,-0.05173394848135333,0.22145328719723184,-0.03844675124951941,0.041584006151480196,-0.1929104190695886,0.2288965782391388,-0.14769703960015382,-0.11909265667051133,-0.0629911572472126,-0.09842368319876971,-0.044844290657439445,-0.07972318339100345,-0.07535563244905807,-0.3278123798539023,-0.01384083044982699,-0.07972318339100345,0.2288965782391388,0.11909265667051133,-0.0629911572472126,0.16000000000000003,0.05911572472126105,-0.13016532103037293,-0.13016532103037293,-0.0271280276816609,-0.024605920799692427,0.2364628988850442,0.017777777777777778,0.06698961937716265,0.09842368319876971,-0.010396001537870049,0.14173010380622836,0.13588619761630144,-0.041584006151480196,0.1929104190695886,-0.041584006151480196,0.08882737408688965,-0.186082276047674,0.03543252595155709,-0.05173394848135333,0.16329999268054962,0.06949999928474426,0.041600000113248825,0.06019999831914902,0.03460000082850456,0.33959999680519104,0.6602298021316528,0.8150721192359924,14.219675987888008,0,0,-55.36492267509014,-6.137155273811953,-554_-62
-0.09356401384083046,0.01574778931180315,-0.09842368319876971,-0.022206843521722412,-0.029773164167627833,-0.11374086889657825,-0.09356401384083046,0.13588619761630144,-0.09842368319876971,0.05536332179930796,0.03543252595155709,0.16000000000000003,-0.003936947327950788,-0.09356401384083046,-0.007443291041906958,-0.17937716262975778,-0.14173010380622836,-0.08882737408688965,0.017777777777777778,0.06698961937716265,0.08882737408688965,-0.029773164167627833,0.17279507881584008,0.3188927335640138,0.08421376393694734,0.0271280276816609,0.2761399461745483,-0.08882737408688965,-0.044844290657439445,-0.16000000000000003,0.2519646289888504,-0.12456747404844293,-0.041584006151480196,-0.07972318339100345,-0.14769703960015382,0.008858131487889272,-0.05173394848135333,-0.1085121107266436,-0.34602076124567477,-0.022206843521722412,-0.12456747404844293,0.1929104190695886,0.08421376393694734,-0.06698961937716265,0.12456747404844293,0.07535563244905807,-0.09842368319876971,-0.07972318339100345,-0.07972318339100345,-0.03844675124951941,0.19986159169550174,-0.05536332179930796,0.03254133025759323,0.13588619761630144,0.029773164167627833,0.14173010380622836,0.1085121107266436,-0.04822760476739715,0.22145328719723184,-0.044844290657439445,0.11374086889657825,-0.186082276047674,0.03844675124951941,-0.13588619761630144,0.16850000619888306,0.0689999982714653,0.03869999945163727,0.05779999867081642,0.031199999153614044,0.35440000891685486,0.6740670800209045,0.8381742835044861,8.439438826002172,0,0,-55.51646846352111,-5.942310688686429,-556_-60
-0.07111111111111111,-0.007443291041906958,-0.12456747404844293,-0.13588619761630144,-0.044844290657439445,-0.13016532103037293,-0.044844290657439445,0.07972318339100345,-0.05173394848135333,0.11909265667051133,0.03543252595155709,0.11909265667051133,0.019930795847750864,-0.1085121107266436,-0.029773164167627833,-0.16000000000000003,-0.14173010380622836,-0.044844290657439445,0.09842368319876971,-0.07535563244905807,0.10340638216070744,0.01574778931180315,0.22145328719723184,0.3278123798539023,0.10340638216070744,-0.012056901191849288,0.1929104190695886,-0.017777777777777778,0.044844290657439445,-0.16000000000000003,0.22145328719723184,-0.1929104190695886,-0.16633602460592078,-0.0629911572472126,-0.1085121107266436,-0.05536332179930796,-0.10340638216070744,-0.03254133025759323,-0.2519646289888504,0.01384083044982699,-0.003014225297962322,0.2364628988850442,0.13588619761630144,-0.07111111111111111,0.15378700499807765,0.00024605920799692423,-0.14173010380622836,-0.08882737408688965,-0.022206843521722412,-0.03844675124951941,0.2519646289888504,0.0629911572472126,0.07972318339100345,0.13016532103037293,0.008858131487889272,0.15378700499807765,0.14173010380622836,-0.029773164167627833,0.1929104190695886,-0.05173394848135333,0.13016532103037293,-0.2069357939254133,0.03543252595155709,-0.003014225297962322,0.1843000054359436,0.07819999754428864,0.0414000004529953,0.0640999972820282,0.03709999844431877,0.36079999804496765,0.6437357664108276,0.8135209679603577,11.177657242951854,0,0,-55.30320841507113,-5.700035056559393,-554_-58
-0.08882737408688965,0.0629911572472126,-0.11909265667051133,-0.05536332179930796,-0.07535563244905807,-0.07972318339100345,-0.022206843521722412,0.12456747404844293,-0.04822760476739715,0.06698961937716265,0.044844290657439445,0.12456747404844293,0.05536332179930796,-0.16633602460592078,0.07535563244905807,-0.14769703960015382,-0.13016532103037293,-0.08421376393694734,0.041584006151480196,-0.041584006151480196,0.10340638216070744,-0.03844675124951941,0.16000000000000003,0.3188927335640138,0.044844290657439445,0.07972318339100345,0.31009611687812383,-0.06698961937716265,0.0271280276816609,-0.1085121107266436,0.16633602460592078,-0.12456747404844293,-0.04822760476739715,-0.03254133025759323,-0.07972318339100345,-0.024605920799692427,-0.041584006151480196,-0.05536332179930796,-0.3278123798539023,0.012056901191849288,-0.05173394848135333,0.2599000384467512,0.06698961937716265,-0.044844290657439445,0.2069357939254133,0.017777777777777778,-0.08421376393694734,-0.08882737408688965,-0.019930795847750864,-0.03844675124951941,0.24415224913494812,-0.0271280276816609,-0.0271280276816609,0.16633602460592078,0.017777777777777778,0.13016532103037293,0.13588619761630144,-0.05536332179930796,0.22145328719723184,-0.07111111111111111,0.05536332179930796,-0.2519646289888504,0.07972318339100345,-0.07111111111111111,0.1736000031232834,0.0731000006198883,0.03579999879002571,0.05290000140666962,0.03269999846816063,0.33559998869895935,0.6422803997993469,0.8224273920059204,11.978877670909748,0,0,-55.49823266325348,-6.111373625157722,-555_-62
-0.06698961937716265,-0.03254133025759323,-0.06698961937716265,-0.13016532103037293,-0.06698961937716265,-0.04822760476739715,-0.007443291041906958,0.13016532103037293,0.007443291041906958,0.07972318339100345,0.05911572472126105,0.11909265667051133,0.12456747404844293,-0.1085121107266436,0.03254133025759323,-0.07972318339100345,-0.11374086889657825,-0.07972318339100345,0.041584006151480196,-0.13588619761630144,0.05911572472126105,-0.004982698961937716,0.05536332179930796,0.28444444444444444,-0.03543252595155709,0.03844675124951941,0.2364628988850442,-0.003936947327950788,0.07972318339100345,-0.05911572472126105,0.11374086889657825,-0.1929104190695886,-0.17937716262975778,0.03844675124951941,-0.14769703960015382,-0.029773164167627833,-0.05536332179930796,0.002214532871972318,-0.24415224913494812,0.07972318339100345,0.019930795847750864,0.33685505574778934,0.13588619761630144,-0.029773164167627833,0.14769703960015382,-0.05173394848135333,-0.16633602460592078,-0.044844290657439445,-0.0629911572472126,-0.10340638216070744,0.2288965782391388,0.003014225297962322,0.010396001537870049,0.13588619761630144,0.05536332179930796,0.1929104190695886,0.14173010380622836,-0.04822760476739715,0.2761399461745483,0.029773164167627833,0.13588619761630144,-0.2519646289888504,0.14769703960015382,-0.06698961937716265,0.14169999957084656,0.05889999866485596,0.03539999946951866,0.049800001084804535,0.02800000086426735,0.23639999330043793,0.6010836362838745,0.7881996631622314,9.482612077444212,0,0,-55.55231124335747,-5.674163576376752,-556_-57
-0.12456747404844293,0.06698961937716265,-0.13016532103037293,-0.041584006151480196,-0.0629911572472126,-0.0629911572472126,-0.05536332179930796,0.14769703960015382,-0.04822760476739715,-0.002214532871972318,0.0271280276816609,0.09842368319876971,0.01574778931180315,-0.14173010380622836,0.05536332179930796,-0.17279507881584008,-0.09842368319876971,-0.08421376393694734,-0.003936947327950788,0.006151480199923107,0.07972318339100345,-0.04822760476739715,0.13016532103037293,0.29287197231833906,0.06698961937716265,0.09842368319876971,0.36472126105344094,-0.09842368319876971,-0.04822760476739715,-0.11374086889657825,0.21413302575932336,-0.09842368319876971,-0.04822760476739715,0.010396001537870049,-0.10340638216070744,-0.010396001537870049,-0.024605920799692427,-0.029773164167627833,-0.33685505574778934,-0.01574778931180315,-0.08882737408688965,0.2069357939254133,0.10340638216070744,0.012056901191849288,0.1929104190695886,0.06698961937716265,-0.09356401384083046,-0.05173394848135333,-0.0629911572472126,-0.03844675124951941,0.1929104190695886,-0.07535563244905807,0.004982698961937716,0.186082276047674,0.07535563244905807,0.16000000000000003,0.12456747404844293,-0.041584006151480196,0.2599000384467512,-0.07972318339100345,0.07111111111111111,-0.2069357939254133,0.06698961937716265,-0.07535563244905807,0.1766500025987625,0.07329999655485153,0.029899999499320984,0.045899998396635056,0.027550000697374344,0.3476000130176544,0.6516987681388855,0.8531253933906555,15.053427276354824,0,0,-55.226043132165266,-5.847538426211819,-553_-59
