i,sa2020,sa2021,sa2022,sa2023,sa2024,sa2025,roi
3958,13.836411253759946,5.324792692326658,5.0922199689716905,10.315924632359904,7.695147814337694,1.9665034530871268,SN_ferlo
3743,4.8798476318477295,4.293759373804453,2.9699773500780338,3.9066965877981517,2.93127892819723,2.693254759298614,SN_ferlo
3335,6.8798973415126685,3.0625708342434024,3.941512471909249,2.607034978069202,4.886588486110189,1.2934883713769816,SN_ferlo
3549,5.1928177328605845,2.0431779841218622,1.9130984342822024,1.585966610874345,2.793502945747723,3.404207936285371,SN_ferlo
4013,3.682215099139811,3.300415680958449,3.6224250493576524,3.229550140941523,8.009166382640563,4.660227516911583,SN_ferlo
3290,2.359669121161082,1.5545307802535717,3.0253056105868805,1.1750633404924273,4.05588206340021,3.6968122021380876,SN_ferlo
3761,2.304679686559155,3.2052459243246734,2.210568181760009,2.211604453729108,4.0959010412692285,3.1430181820489085,SN_ferlo
3953,0.7913698561756454,2.3345700559143316,1.7754791603069708,2.4999921546139556,0.7011647229756603,0.3404740991193756,SN_ferlo
3371,5.5957884038437244,4.622104509885734,2.9087364466803765,3.966266414279242,8.07720912157891,4.58556437277701,SN_ferlo
3091,9.046088888855113,4.61697915123816,9.821660135759632,6.5872717947584185,13.276784349511333,5.8145918404638675,SN_ferlo
3501,3.5393543534134624,3.3081731130132046,2.6086720223508073,1.937368226002989,1.131156038801167,2.0531311401143197,SN_ferlo
3184,6.373941844842481,1.4287542504898454,1.7651978392634882,4.485592221181774,5.321261392047485,2.911323069223987,SN_ferlo
3424,0.8626448395494994,2.1491183084884473,1.4972143328712542,1.4860802205909218,2.7977354019754777,3.406070195846013,SN_ferlo
3292,8.52531939123829,2.1273915463333184,5.696103277915604,4.536225463473684,4.949743075416268,1.8495175206699621,SN_ferlo
3849,3.2376242064093415,1.2832298744577957,0.4539202307241401,1.1240132167840355,1.0685101511652744,1.6235368717424847,SN_ferlo
3175,0.9274425718145656,2.5013021758061016,2.1405458378586815,1.4216047102060876,4.279421440803479,2.6169907258449663,SN_ferlo
3146,3.190202974061078,5.07645282614219,4.117855827832305,5.368618094572342,4.708680914523658,2.7651093477040423,SN_ferlo
3048,0.9528391859245963,1.6849315312322828,9.058641458348136,5.08684862315074,2.7885113547666838,2.087410296248067,SN_ferlo
3964,4.0479456112087,6.613958755254701,4.971016427297347,4.146644056380776,4.3759204479272364,4.582273040826664,SN_ferlo
3551,6.0612512881129375,1.1079841548435123,3.0964519433434616,4.794145993057392,3.2401399353906446,0.8223646919821039,SN_ferlo
4020,0.4686557716893233,1.456235848215684,1.8407619721162436,1.4208512168382896,1.4576455980991716,1.047996925076722,SN_ferlo
3615,1.4835139688150716,1.4846411861932802,3.4451289682768462,5.652140265404119,5.889965597435216,3.7544769814327372,SN_ferlo
3476,2.0792121361592133,2.9793816291806583,0.7813479055468836,2.0943495376059733,4.31705162065611,3.7355171610028033,SN_ferlo
3069,1.0528734210551811,3.8083002637565513,11.319759170028052,4.798622597816022,6.93277208373947,5.680764368086498,SN_ferlo
4036,7.935021732682595,6.038792697216269,3.3042026580261874,1.0622702175486003,4.932996535244503,3.0621997175651354,SN_ferlo
3161,1.7288302731278415,5.696683512561028,3.5159812090473537,2.092546478650087,2.1159899654166447,3.325399885239817,SN_ferlo
3150,1.1974531026944375,0.8573913542389371,3.698445391992309,2.5982782114058365,4.8842686744338915,0.4690162675883051,SN_ferlo
3808,4.905876880721557,5.979385997557418,3.0066336203398025,6.122509834196439,5.088078701612736,4.29323141435571,SN_ferlo
3876,7.331870088750305,5.2907107021607525,3.9239605456535793,1.3127305929121695,7.213538405195632,1.0926027181896507,SN_ferlo
3885,3.059756540509805,2.5281931687351302,2.0626518536435516,3.062433888867664,3.317957600754934,4.771644647065964,SN_ferlo
3963,2.67347992824295,2.3750779556389485,2.861652268978738,1.8471910639772915,3.747664990846349,1.9389291531535147,SN_ferlo
3768,0.8449032800289262,2.199459419063201,2.6317805117545485,0.9314759633722027,3.2397028074112146,2.452409607317849,SN_ferlo
4019,1.962374445851802,0.9000245026661525,3.9723996289262757,1.3666142370493701,4.781581275602939,1.4478263212114884,SN_ferlo
3822,3.323976936001823,0.517139523121215,2.237271428390601,1.211487232549563,0.7071831913039125,1.5073853762957057,SN_ferlo
3316,0.45127399683348907,1.4262548127766013,2.0724989100909137,1.2210787684073854,2.453686373364498,0.8993170852931424,SN_ferlo
3242,2.389554478114188,3.759972219964035,1.9602762769757798,3.9002916432416104,5.250156815756346,3.464904603621397,SN_ferlo
3120,6.1958135580507845,1.6341542870832444,5.067159082323685,6.9513247408192385,8.65995776370282,2.637353697612925,SN_ferlo
3626,5.148213827310412,2.107365988243619,3.2546351669497264,2.1566938653431453,1.9496768368850736,1.0571143528091662,SN_ferlo
3304,1.5984419502659024,5.871444973358504,4.9031356427309385,3.6678546729228394,1.824276710261804,3.501299706779349,SN_ferlo
3664,1.073392116130499,2.9831531772528175,3.6321294579152243,2.528336432846103,3.038478576600568,1.7432918820365808,SN_ferlo
3585,4.354124531499026,5.114801951682544,4.024644966711159,5.3534177155018945,4.255816220664861,2.8332613461562572,SN_ferlo
3198,2.2047099178374294,0.9672415314267733,0.6792597949211097,0.7153884711489115,3.075320881484932,1.3541194279338005,SN_ferlo
3132,1.841900197820349,3.153831381786964,2.162952746067472,1.2131105276492216,3.633698204318464,2.2398444247739606,SN_ferlo
3143,0.7394420525729424,4.647391710658803,4.139142075372916,2.7408736222676224,2.9789252858656425,1.4063301446955117,SN_ferlo
3136,6.714166320693823,2.377587843117589,1.601074990648368,2.831329040167577,5.952654293928974,2.028320506118496,SN_ferlo
3843,2.920904165300893,6.909681368560083,2.9947724736874344,3.6615107913966503,5.798058324830924,4.461554295863796,SN_ferlo
3952,2.3782266080013548,2.796858591788312,0.9776313845778168,1.035783343450502,2.517362646966913,4.660181742633503,SN_ferlo
3083,7.093488256422672,8.865984218093331,8.591426656508139,1.0895344766529473,3.901858355095238,4.050904428425094,SN_ferlo
3752,2.1242138252958984,0.5480171272564226,1.7253190000594727,1.3237925171838931,2.247166593903492,1.4250522586328533,SN_ferlo
3909,2.5718667011470933,3.173549410277947,4.254505400084146,3.389517027403056,3.5400929324375245,1.8920980645103302,SN_ferlo
3478,3.398639601548253,4.674833574268377,2.870642850094938,2.6932238735092575,3.592362960129608,2.596906897467418,SN_ferlo
3076,2.8104257616465285,7.720582890932991,3.7963444673299627,3.020269374998473,6.661034599137686,7.580658812076087,SN_ferlo
3217,2.2768078975591575,6.285019037154133,3.9640759393170275,2.791317608705394,2.3757594269706965,4.903640556513625,SN_ferlo
3077,5.000229641215528,0.762659895544577,3.610620299809336,2.3435715424361736,4.783124492121328,2.757763123611303,SN_ferlo
3190,15.843347484427259,4.096054660295039,1.2936586781450112,6.352253023922046,7.561597680784204,3.5563184044310243,SN_ferlo
3818,3.613039818156595,5.033646424029358,1.3929204213484867,3.0068076815416744,8.384151279727496,0.9462431248987455,SN_ferlo
3644,3.390643955924758,2.538483363824201,2.1158116109805882,1.1475135728489079,2.467446033622698,3.107905521547255,SN_ferlo
3727,2.9176943327291993,0.7940196925472267,2.169113271634753,2.292427335781032,1.0693173595887895,0.9100274067840176,SN_ferlo
3969,4.975854502235065,3.8014278865972115,5.355749645587344,3.6694753168807797,10.552185035270771,6.584372019784924,SN_ferlo
3869,2.132623905386532,5.162685570230491,3.395063228397048,0.7955556875557341,3.8736998096660584,3.3157876830597024,SN_ferlo
3353,7.31477894284625,4.429525448717379,1.6735138865000347,1.5755113899123678,4.818668764787104,2.4270024931009013,SN_ferlo
3742,3.3163344588691133,4.482771432743712,1.8243309979652664,1.6158211132730327,6.469152495967752,2.48600853370097,SN_ferlo
3721,10.299738734492717,0.8848327802436164,4.229131808466337,3.228192542526594,6.189597829846073,2.8427138146111175,SN_ferlo
3785,3.880955353158232,8.913105538160181,4.484965937938889,2.6187577893802647,7.4700803598078656,3.816254746102485,SN_ferlo
3680,1.9969562275712205,1.6503646447275448,1.1582869805157798,2.6269319068578176,3.5673714479599554,1.9016564886881273,SN_ferlo
3618,4.228025800069972,1.3235482362406534,2.8648403214177875,2.8132888415685393,2.368028333352188,2.919123170228057,SN_ferlo
3538,5.941227066947584,6.531521373475158,3.831884323707806,2.19176517373122,1.5131919149647357,3.2702196931158203,SN_ferlo
3868,0.8762303480372291,2.4471822857104404,3.1336657748963583,2.0960203030383346,3.318403653083421,1.7237145045357383,SN_ferlo
3978,1.2184302761074095,6.24174145057893,3.1123618971507114,2.515753776456439,1.8621907989867341,1.810944663754545,SN_ferlo
3059,4.286817515189873,3.235902894722305,1.036604573291726,4.297530262226586,6.666950871465402,4.203145154184601,SN_ferlo
3249,11.08878829794459,3.4699684281541767,2.438061142992236,9.00929728726819,3.672449108714628,2.9153484012959203,SN_ferlo
3382,2.8301558252661243,0.5169992360279241,1.1912551587582014,1.1178326218775585,1.3491009710762074,1.2756201725879195,SN_ferlo
3286,1.6317637282193302,5.85276133495719,5.155018530913678,2.8932741965626225,2.338297125802531,2.9911594746257966,SN_ferlo
3647,4.745430800784424,1.0396425779671372,1.8223287243830781,1.7776575291332546,2.7555009232347705,2.0831938176419196,SN_ferlo
3283,7.856358601727024,7.848085382626821,8.725521264897885,3.430000204828665,0.6952349804793582,4.350993015817486,SN_ferlo
3107,2.998046953992717,7.045488444890028,5.092060817535303,2.648633873891054,5.661400667383156,9.842253342177436,SN_ferlo
3400,3.8653102973714146,2.6770655317152805,2.567460875777305,4.902993559984005,2.867831092743801,9.567752338351852,SN_ferlo
3356,8.146742483561237,3.172460551466799,1.6093326171057623,3.5975338278344755,2.9142094459501013,3.859272317146325,SN_ferlo
3601,2.5166499738820503,2.1390105599935607,1.582048003236493,1.0372580390084774,1.198693355254406,3.139068413674041,SN_ferlo
3233,5.559110632632226,7.429631440085993,17.08017621414071,8.160934297161006,7.826113142018016,2.8679261799317213,SN_ferlo
3410,5.302564014187703,3.5910255025576023,2.5610791024397526,3.050663649963087,5.62602437960229,4.69673050427934,SN_ferlo
4028,5.668859058529005,6.78000509387975,2.1802191904174086,3.207820393226805,3.6880676477986265,3.9207951051199164,SN_ferlo
3691,2.945237395755501,3.204676866067744,0.8873974977190449,0.9538992042961437,3.9398121159943433,1.6921000946289961,SN_ferlo
3265,9.253996880458857,5.963613351426617,3.494438073728469,2.5102523198141227,5.565508682149884,2.7567356844503768,SN_ferlo
3228,0.7157630021036573,5.310009306476448,1.261717847709203,0.584530631221854,3.7367352881733678,2.7710255951923184,SN_ferlo
3222,1.3724390476977821,3.572114584677354,3.3590138066464696,2.5048446754771665,1.4488553905525774,2.1188141041421305,SN_ferlo
3310,4.582201069278282,0.5201922045654381,3.0204092289595357,1.301957427871777,1.474029113895809,0.38950005807916227,SN_ferlo
3609,11.300481316930659,4.5730750700572225,5.289185050992617,7.657652044353917,2.4413766139159288,3.076265583269085,SN_ferlo
3623,2.549638875362183,3.4564994608599267,1.5678957274038854,1.8578230388347956,2.3082546583435346,1.169246810521299,SN_ferlo
3387,13.278378861691868,7.051969338964275,5.178129136320731,4.921794042612736,7.576059422069799,6.377022496590427,SN_ferlo
3988,1.4430731367432925,5.585851819842647,2.034682210653848,4.605289989166242,8.38709470847552,3.6181312047237313,SN_ferlo
3642,4.471849661664641,2.515101474522876,1.4151237609778224,1.383720420583159,3.433004316776897,1.1479652184574798,SN_ferlo
3850,3.395174855192494,3.545703157928938,3.120150061656003,2.255747776926768,0.9324121307133374,2.7557125417770405,SN_ferlo
3471,11.389360270031489,2.2459209889104876,5.492465258559767,3.3972360665834067,6.5201164194899,5.501017278345161,SN_ferlo
3563,3.416609702124295,6.0729064260887,0.9624784815263161,3.915833849123681,2.4931353641768617,1.8530975865227088,SN_ferlo
4009,3.830948580665106,3.39078849549944,1.9993318321492572,8.34220454356168,15.048457440355838,3.701499818236623,SN_ferlo
3733,2.9213884565690322,2.9727515250607066,2.20383144522256,2.143695467842773,3.132574928958869,1.922104668386823,SN_ferlo
3845,5.04060309744433,3.1271274214642157,2.0567756996652795,2.8025656897209914,1.565252584047168,4.999688481880398,SN_ferlo
3450,7.245170082340727,4.162965293904317,4.355892571882093,1.5610202356968998,8.302351346651973,1.619391284647909,SN_ferlo
3196,2.743449744194759,3.829942016260787,3.2235317513291863,1.8880897657712816,4.359603944602678,2.9813936601681212,SN_ferlo
4021,2.042993502641244,3.761636505773597,4.964741701182604,1.4626322456766796,3.6896235903814487,3.07837130787351,SN_ferlo
3055,12.673673111805364,8.753082115161703,5.708486967644231,5.845126884681435,6.190607544615818,2.4425574339032914,SN_ferlo
3719,0.8047601303761962,3.7213947874822555,0.522373402993317,1.1106768317294524,2.613169776072923,0.5633659747774658,SN_ferlo
3523,1.1859804866888357,4.405255789260301,1.4237650374025788,2.2031312392623428,4.026718414993681,1.9666544995293143,SN_ferlo
3667,5.787105755616195,6.526765276496843,3.381549294100135,4.245552366641163,1.0938283349410682,6.255392233587601,SN_ferlo
3914,6.297246469296037,3.9458919731829427,2.1703550625822876,3.8018041836649337,4.625212214831848,2.088426244756319,SN_ferlo
3838,1.9440819791982964,7.003541232173918,2.3639306059963765,2.7232419974433966,2.8352167499530885,7.171272843999573,SN_ferlo
3573,0.712581255699542,0.7201415426593676,2.1644429509386987,1.0748047085951773,1.863299749273584,1.603448449176302,SN_ferlo
3701,11.136457284936993,4.776977675037287,2.015181210073723,4.941449569084086,5.9954889171165675,9.957096063509008,SN_ferlo
3864,3.7207985369726106,5.102628565466909,5.484526745795456,2.235300169088141,3.538241935491093,1.3044660496444287,SN_ferlo
3509,8.93308822172229,2.319394072649101,3.0793273531864256,1.3472092026616147,3.2578164090402475,2.0179720618628827,SN_ferlo
3348,4.33547793446194,1.439107533757315,5.751570686636578,1.145987607855322,3.3066778574041047,6.39365000309691,SN_ferlo
3309,2.8686618640406407,1.9924777525265722,4.570976645340621,2.820075623875952,5.186204015942716,2.5556172194331994,SN_ferlo
3101,6.721721481790622,2.634362752926282,2.3205672578152106,3.9313142636488303,4.481167754356777,3.613385382566326,SN_ferlo
3921,7.0389489240506915,5.190743207876096,2.778732243328829,2.46456725996473,2.3099071962825897,2.8294983323235896,SN_ferlo
3994,2.513417943954001,6.097843929062554,2.533866674139198,3.5512900811358206,7.399233081646691,2.1804622461044416,SN_ferlo
3231,2.8962693234875014,8.580187553809008,6.216218002005285,1.3366666921095256,2.568952604181259,6.075429126818005,SN_ferlo
3689,0.778985519954079,3.9629090541594505,4.431400914103,2.980986048196565,4.275563308261169,0.7573074139906381,SN_ferlo
3162,6.707246896113281,2.4296600631517236,4.23805908578518,2.0931466961275595,3.583293148021179,0.9137566019207373,SN_ferlo
3837,2.73166861573952,3.793035138877461,4.641698589096069,2.7773968652868875,6.838020510318054,1.5151244025474961,SN_ferlo
3982,7.499210456071362,3.8865901965225915,2.376803866590255,2.052804254767118,4.7547606047532796,1.7726644697658982,SN_ferlo
3787,3.0878539482440637,1.549755182094676,2.389216024003948,1.4970650693518128,1.3542866667267557,1.8241158559465458,SN_ferlo
3045,4.3921802450343055,2.524372604348004,3.232556374751437,1.818265486961019,5.482047457580488,2.155353149748559,SN_ferlo
3237,5.49015854866575,3.2081032643551852,5.654038115063056,1.6435964446805058,7.20984168625277,6.1345069639343395,SN_ferlo
3247,6.171417823208178,5.356458823780041,4.89393488175854,3.2008854710914942,2.556187168337143,6.807661228211038,SN_ferlo
3373,1.2854508796511916,1.007169030062797,5.480400965911703,2.727350454394875,3.040204560084075,1.310047671971833,SN_ferlo
3746,3.6514846262687657,4.7122649255962425,2.324683267072968,4.444210494022956,5.068024116178649,1.9524440794268234,SN_ferlo
3753,2.5273686898804866,10.387975114619774,7.525198491834502,13.003259488573114,8.96971934103244,9.445134545106116,SN_ferlo
3980,5.8632634429967005,2.6342728189046434,5.618872600959558,3.5971000190105413,5.5179977357820835,3.4795339908291933,SN_ferlo
3533,2.823236403314771,0.9288604375618644,3.800388998079239,0.7872829245460329,2.7428608736983127,0.97003906392564,SN_ferlo
3505,3.9255528319633175,6.260737568052025,3.6400659282784336,5.84077529337552,6.9335702318749375,4.611412220454809,SN_ferlo
3351,7.530759937161436,3.0378861322854784,3.105516088293989,1.888259216371257,6.234670122963963,2.783329306893712,SN_ferlo
3682,6.150971347350698,2.931982105166433,2.7914730592676995,1.807088640319482,7.0466182979187035,1.2222708925233992,SN_ferlo
3044,9.51389675733764,2.079989826705565,3.041049885016353,2.4630328251942477,7.597491712442494,2.419032475546265,SN_ferlo
3912,2.0292686003531837,2.448665744345356,1.39731856316854,0.6457805658094534,2.7707807732339362,0.5420830697015593,SN_ferlo
4049,0.5849500587919515,2.6320666778394095,1.1664926676329168,1.4265474502693294,2.916340009835233,1.410339803304546,SN_ferlo
