ang_2018,ang_2019,ang_2020,ang_2021,ang_2022,ang_2023,ang_2024,ang_2025,dummy,dwc,pr_2017,pr_2018,pr_2019,pr_2020,pr_2021,pr_2022,pr_2023,pr_2024,pr_2025,s1_2017,s1_2018,s1_2019,s1_2020,s1_2021,s1_2022,s1_2023,s1_2024,s1_2025,s2_2017,s2_2018,s2_2019,s2_2020,s2_2021,s2_2022,s2_2023,s2_2024,s2_2025,tas_2017,tas_2018,tas_2019,tas_2020,tas_2021,tas_2022,tas_2023,tas_2024,tas_2025,lon,lat,roi,grp
6.481350016631712,7.11943638629528,7.7297999446571435,9.828811544879201,6.437026218368953,5.051883252460159,7.140242665699458,6.091373850467702,0,1,1.5972903493027246,1.4014713307294002,1.4102439234109099,1.4443931597282784,1.213803733948133,1.3755192822415516,1.3938021522967006,0.9103231383562438,1.274649380946741,29,30,30,30,29,27,30,29,27,1,6,25,15,18,29,26,27,26,298.31342907215594,298.33617398357165,298.44140974700116,298.5213788318265,298.9322418912602,298.4943477262834,298.71496834455036,299.9912247132711,298.9868071658108,23.051713421555245,0.49043522936505274,CD_congo,AF
6.120149781878889,3.145002479428921,7.784767003834089,8.304300021789869,6.482824967973535,7.867167180922391,10.289873594914184,10.895609242806795,0,1,1.5784544768909967,1.4411282231482616,1.3383993605227644,1.37302785543703,1.175956721666715,1.3821922680933163,1.367968947908082,0.8707746071815841,1.2654668160325144,29,30,30,30,29,27,30,29,27,0,6,24,14,22,29,26,29,31,298.05312907389356,298.0273090115259,298.1907919975694,298.2501193333953,298.622042615069,298.2213199113575,298.4786497722451,299.69195214330364,298.7387041361753,23.065457645402276,0.30214834581360106,CD_congo,AF
7.60162927285218,6.327864251975839,4.644321012174132,3.8865166383437635,8.00825517371404,5.638319513124209,6.066080024500789,8.632608709853393,0,1,1.8689036789516962,1.767181216684257,1.5925291279406721,1.7588376346042054,1.4277461574110006,1.6604287168581173,1.6760931921211863,1.1088271392584197,1.5045726813918208,29,30,30,30,29,27,30,29,27,1,7,24,18,21,29,26,24,32,298.2265559529014,298.17962160849044,298.36676026057984,298.4246528810208,298.7462359217739,298.3414997976618,298.57885077052566,299.77545665720453,298.8070802919367,23.314021484518147,0.4228819199992647,CD_congo,AF
5.183035456544612,7.84369571287226,11.36740217655457,11.85869580987738,10.316446411111473,12.567002108689046,13.80361198230402,10.712039991711327,0,1,1.5706323805431879,1.5272368182810894,1.336138794765013,1.3770723360588448,1.2264055118593191,1.4507682687241719,1.4002620142904902,0.846726293683087,1.3037602745538805,29,30,30,30,28,27,30,29,28,0,7,24,14,19,28,26,29,31,298.28424807905157,298.18375546784915,298.4147328016558,298.49761844797945,298.80401526756873,298.44532097607146,298.7259103354628,299.9310570744675,298.9557483155443,23.10426486567624,0.13712782812084495,CD_congo,AF
7.575893369498821,9.537228801101218,7.210489941023719,8.039568515633544,8.567203008077184,7.430891898955325,11.980671145215679,8.130746732469312,0,1,1.737345230875448,1.6231494536074749,1.5076529035420592,1.69619889734291,1.368079315188787,1.6054862952429936,1.612069056650796,1.0807123733759276,1.4700411178713892,29,30,30,30,29,27,30,29,27,1,7,21,17,17,29,26,27,33,298.01419288353986,297.95612853305863,298.15590789415336,298.1794459477267,298.54105212230246,298.10499271902137,298.3727601249951,299.5409068396226,298.57264532924495,23.384808728906766,0.4852250007171595,CD_congo,AF
5.274378733970337,8.142731889617876,4.679285981463647,2.876865768312848,6.575190682018736,7.862006452608679,9.614006597809004,7.900695722216528,0,1,1.737345230875448,1.6231494536074749,1.5076529035420592,1.69619889734291,1.368079315188787,1.6054862952429936,1.612069056650796,1.0807123733759276,1.4700411178713892,29,30,30,30,29,27,30,29,27,1,7,23,18,19,29,26,26,29,298.01419288353986,297.95612853305863,298.15590789415336,298.1794459477267,298.54105212230246,298.10499271902137,298.3727601249951,299.5409068396226,298.57264532924495,23.4038530129301,0.4516280090910894,CD_congo,AF
9.147089069398426,8.669711541262457,8.671724970744792,9.39122056759214,8.734762349077966,7.78012374716345,9.031798015642243,10.040016992967567,0,1,1.8689036789516962,1.767181216684257,1.5925291279406721,1.7588376346042054,1.4277461574110006,1.6604287168581173,1.6760931921211863,1.1088271392584197,1.5045726813918208,29,30,30,30,29,27,30,29,27,1,7,26,13,19,29,26,24,30,298.2265559529014,298.17962160849044,298.36676026057984,298.4246528810208,298.7462359217739,298.3414997976618,298.57885077052566,299.77545665720453,298.8070802919367,23.306026478489482,0.43671597537470536,CD_congo,AF
9.069858031707799,8.567820079357876,5.858054232799744,6.352106024166763,4.170606368907748,3.1931201420297,5.896378451151373,11.155099355971934,0,1,1.5752985450605905,1.5061342110308757,1.3291576752515013,1.3935031238009827,1.223149041894338,1.4459663248259709,1.4203941834179545,0.861850480556523,1.310217551196203,29,30,30,30,28,27,30,29,28,0,7,26,15,17,29,26,28,32,298.11297654006887,298.0424995800765,298.2468837561919,298.3073587064134,298.6294725713154,298.26709871880536,298.5537046148175,299.75411666141616,298.775442372839,23.111092061835546,0.22183895941331583,CD_congo,AF
6.250410909920784,8.206523143856556,5.1432058889625,4.119937966526308,0.0,4.250738360853845,8.143994640885868,10.395779753221396,0,1,1.808722776470617,1.6368397315415493,1.527883584246176,1.651249924581279,1.3482695177825903,1.5428675478894398,1.4278200727907802,0.998653556227719,1.512361294830427,29,30,30,30,28,27,30,29,28,0,5,26,19,18,29,26,29,24,298.08450305839096,297.9661507333337,298.1989766010715,298.30257606192623,298.5227006472872,298.10838015665064,298.37663233010795,299.5597692647057,298.6730983254242,23.397025816770793,0.1034410049663629,CD_congo,AF
8.890740362158446,5.347600496889485,4.108602691589481,8.229420843706448,5.1807309372047285,7.0048709031957594,9.674093212187126,9.2173397077498,0,1,1.853951824007467,1.724213926998054,1.559988851294058,1.6847108247687714,1.3712544248136496,1.5983286416728184,1.5728171777931834,1.067731360912358,1.4953423061019038,29,30,30,30,29,27,30,29,27,1,5,26,18,20,28,26,27,32,298.1748744020529,298.080806666105,298.2955619429501,298.41936952621944,298.70232160552854,298.26043212339323,298.5104482531812,299.7003939247415,298.7852325962883,23.3504930850534,0.3220909451210544,CD_congo,AF
8.08452606042436,7.40520865843627,7.2620792613781315,8.975118766592963,8.069321762443245,7.649529119343313,8.640675192338415,8.50763569947368,0,1,1.5784544768909967,1.4411282231482616,1.3383993605227644,1.37302785543703,1.175956721666715,1.3821922680933163,1.367968947908082,0.8707746071815841,1.2654668160325144,29,30,30,30,29,27,30,29,27,0,6,26,17,22,28,26,27,29,298.05312907389356,298.0273090115259,298.1907919975694,298.2501193333953,298.622042615069,298.2213199113575,298.4786497722451,299.69195214330364,298.7387041361753,23.13049567197253,0.2929855299155819,CD_congo,AF
8.136392234841802,6.518055342751279,6.232999874789276,7.294501157621515,8.24814876211109,6.761199072418718,10.632066024645336,10.1534618817234,0,1,1.6781317713837183,1.5188259770545116,1.4696897069068129,1.638477498572101,1.3544383302959417,1.5386351040203259,1.5651003879515315,1.021350796341931,1.4076295786148165,29,30,30,30,29,27,30,29,27,1,7,25,14,22,29,26,28,27,298.3115901075872,298.30706087606194,298.4504119773105,298.5040848269499,298.86119466194583,298.43874583130383,298.6669219997927,299.9172643864194,298.90508703103467,23.20775078640681,0.4564789116253348,CD_congo,AF
6.09035830316175,7.016232646673527,6.213533408916653,5.599786144751589,2.533008732370641,5.516451071043469,8.801716724981247,9.032862794451223,0,1,1.853951824007467,1.724213926998054,1.559988851294058,1.6847108247687714,1.3712544248136496,1.5983286416728184,1.5728171777931834,1.067731360912358,1.4953423061019038,29,30,30,30,29,27,30,29,27,0,6,24,20,16,29,26,29,31,298.1748744020529,298.080806666105,298.2955619429501,298.41936952621944,298.70232160552854,298.26043212339323,298.5104482531812,299.7003939247415,298.7852325962883,23.383371424452175,0.2870566490403931,CD_congo,AF
0.0,7.830745148654449,6.629257869912935,5.48455177765101,8.505362371408292,3.8855153081849294,8.701078421687876,10.064560399493399,0,1,1.732892510590986,1.6005544801625362,1.4652635702939207,1.5729933100750344,1.3189008042844748,1.545793517549722,1.5380443644730235,0.9844043953419082,1.4046770699864481,29,30,30,30,29,27,30,29,27,0,6,25,18,20,29,26,28,28,298.1391140764129,298.087147743809,298.26839974415265,298.34589549590015,298.67206435396025,298.29028208066546,298.5522634460202,299.75271469697776,298.7839051003911,23.226166249731257,0.34194371290009584,CD_congo,AF
6.422978601293389,7.74278473330364,7.530271256620673,8.13465333226439,5.458315985619337,4.400454044305045,7.112340998014945,5.859649337043223,0,1,1.717306551633314,1.6159948845776668,1.4576123157591994,1.5470459180881875,1.3141651556524252,1.5179903274972126,1.435440765043893,0.9232981605530135,1.422871723080263,29,30,30,30,28,27,30,29,28,0,5,23,17,17,28,26,27,30,298.13240896291063,298.01833937028135,298.24667168636944,298.33670796659084,298.6007250788717,298.24127662348286,298.5148291892903,299.713142733589,298.75738671467275,23.184484420548113,0.05268619141360994,CD_congo,AF
8.046052106314647,7.55458194660163,8.583334240248229,8.13829464632726,6.067181672969827,6.761048061659261,8.287925998263347,9.843444935779665,0,1,1.5970329764465845,1.4461596300276867,1.3426288465113814,1.3942371251990693,1.207586298945806,1.4169851458270237,1.3588884932009364,0.9139764709473006,1.3278843530064677,29,30,30,30,28,27,30,29,28,0,6,26,15,24,28,26,29,26,298.45834143873486,298.3655532695751,298.6125320790388,298.7792942811595,299.0455117009447,298.52567560158,298.7894706632196,300.0030113525297,299.16096148668737,23.457212940806798,0.1325464201718354,CD_congo,AF
6.1826703616601755,6.223495224426172,9.522209344577279,7.557117875440663,8.018389380298077,6.53039540536218,5.562563744403637,6.035356678453742,0,1,1.558657509384588,1.4765951474579921,1.3552525887341673,1.3572149592449563,1.1982135430606817,1.4430682203371212,1.3536879730431224,0.8666250212192885,1.3129188634997462,29,30,30,30,28,27,30,29,28,0,7,21,19,15,28,26,26,31,298.32683917206896,298.2373523720093,298.47206764921106,298.48173467279713,298.79202419857785,298.4388133324989,298.71563391787623,299.8973382656376,298.93400301915784,23.02979452862273,0.01693324310565298,CD_congo,AF
8.638560755777464,10.663094963113203,7.718083447118924,6.915269412659355,7.7335919640808966,6.575641303590844,8.415344237083156,8.382476141607324,0,1,1.7089653286318338,1.5963594754609218,1.4405908683390791,1.5957622471263306,1.2679470286401724,1.4489345541793988,1.4605360937325145,0.9897572947740905,1.4296084337478732,29,30,30,30,29,27,30,29,27,1,6,22,13,19,29,26,26,22,298.1713567102539,298.0639488366831,298.28043219860473,298.36734275117533,298.6922162520151,298.25067977893065,298.53434746450154,299.69724502867183,298.75255985939987,23.46916053408559,0.40240033152133964,CD_congo,AF
