lc,lon,lat,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,B2,B3,B4,B8,B11,B12,NDVI
1,127.0865,36.62625,0.03254133025759323,-0.07535563244905807,0.19986159169550174,-0.07111111111111111,-0.024605920799692427,-0.13016532103037293,-0.3014225297962323,0.41362552864282975,0.11374086889657825,0.03844675124951941,-0.08421376393694734,0.08421376393694734,-0.1085121107266436,0.06698961937716265,0.05173394848135333,-0.05173394848135333,-0.11374086889657825,0.19986159169550174,-0.06698961937716265,-0.022206843521722412,0.003936947327950788,0.07111111111111111,0.004982698961937716,0.01574778931180315,0.03844675124951941,0.2069357939254133,-0.15378700499807765,-0.05536332179930796,0.09356401384083046,0.0629911572472126,0.09842368319876971,0.16000000000000003,-0.024605920799692427,0.09356401384083046,-0.05536332179930796,0.13016532103037293,-0.11909265667051133,-0.19986159169550174,0.17279507881584008,0.13016532103037293,-0.0629911572472126,0.14769703960015382,0.07111111111111111,-0.01384083044982699,-0.08421376393694734,0.08882737408688965,0.11374086889657825,0.13016532103037293,0.05536332179930796,-0.186082276047674,0.004982698961937716,0.041584006151480196,0.05536332179930796,0.0271280276816609,-0.003014225297962322,-0.11374086889657825,-0.04822760476739715,0.24415224913494812,-0.17937716262975778,0.13588619761630144,-0.0629911572472126,-0.17937716262975778,-0.16000000000000003,-0.03543252595155709,0.0392,0.0626,0.0521,0.2462,0.1663,0.0922,0.6506872177124023
1,127.46407,36.76477,-0.03844675124951941,-0.044844290657439445,0.22145328719723184,-0.029773164167627833,0.01574778931180315,-0.11374086889657825,-0.2069357939254133,0.2679584775086506,-0.029773164167627833,-0.05536332179930796,-0.003014225297962322,0.012056901191849288,-0.186082276047674,-0.007443291041906958,-0.19986159169550174,-0.19986159169550174,-0.10340638216070744,0.28444444444444444,-0.2599000384467512,0.2364628988850442,0.024605920799692427,0.14173010380622836,-0.022206843521722412,0.024605920799692427,-0.0015378700499807767,0.17279507881584008,-0.06698961937716265,-0.13588619761630144,0.044844290657439445,0.06698961937716265,0.029773164167627833,0.09356401384083046,0.044844290657439445,0.16000000000000003,-0.029773164167627833,0.15378700499807765,-0.08421376393694734,-0.2288965782391388,0.0629911572472126,-0.08421376393694734,0.008858131487889272,0.09842368319876971,0.05173394848135333,-0.008858131487889272,-0.007443291041906958,0.17937716262975778,0.2288965782391388,0.04822760476739715,0.08421376393694734,-0.16000000000000003,-0.022206843521722412,0.13016532103037293,0.01384083044982699,0.041584006151480196,0.019930795847750864,-0.13588619761630144,0.01574778931180315,0.08421376393694734,-0.12456747404844293,0.03844675124951941,-0.11909265667051133,-0.16000000000000003,-0.21413302575932336,-0.029773164167627833,0.0507,0.0666,0.08035,0.2106,0.2443,0.17,0.44767141342163086
1,126.7146,36.37211,-0.08421376393694734,0.0629911572472126,0.11374086889657825,0.05911572472126105,-0.03254133025759323,-0.16633602460592078,-0.13016532103037293,0.3278123798539023,0.2679584775086506,0.0271280276816609,0.10340638216070744,-0.017777777777777778,-0.13588619761630144,-0.044844290657439445,-0.17937716262975778,0.017777777777777778,-0.08882737408688965,0.186082276047674,-0.31009611687812383,-0.11909265667051133,0.03254133025759323,0.1085121107266436,-0.04822760476739715,0.04822760476739715,0.04822760476739715,0.1929104190695886,-0.13588619761630144,-0.14173010380622836,0.10340638216070744,0.17279507881584008,-0.1085121107266436,0.186082276047674,-0.008858131487889272,0.15378700499807765,0.14173010380622836,0.003936947327950788,-0.13588619761630144,-0.10340638216070744,0.012056901191849288,-0.186082276047674,0.12456747404844293,0.022206843521722412,0.16633602460592078,-0.0629911572472126,-0.029773164167627833,0.022206843521722412,0.14173010380622836,0.09356401384083046,0.186082276047674,-0.15378700499807765,0.041584006151480196,0.07972318339100345,-0.0015378700499807767,0.16000000000000003,0.024605920799692427,-0.07535563244905807,0.11909265667051133,0.03844675124951941,-0.09356401384083046,0.0629911572472126,-0.13016532103037293,-0.10340638216070744,-0.08421376393694734,0.044844290657439445,0.03485,0.0565,0.0482,0.208,0.1954,0.1135,0.6237314343452454
1,127.75377,36.71841,-0.05911572472126105,0.01574778931180315,0.024605920799692427,0.06698961937716265,-0.03844675124951941,-0.1929104190695886,-0.13588619761630144,0.36472126105344094,0.24415224913494812,-0.022206843521722412,0.2364628988850442,0.044844290657439445,-0.11374086889657825,-0.024605920799692427,-0.08882737408688965,0.01384083044982699,0.024605920799692427,0.07111111111111111,-0.37425605536332185,-0.08882737408688965,0.029773164167627833,-0.09842368319876971,-0.041584006151480196,0.14173010380622836,0.13016532103037293,0.16633602460592078,-0.07535563244905807,-0.03844675124951941,0.05173394848135333,0.186082276047674,-0.1085121107266436,0.09356401384083046,0.1085121107266436,0.06698961937716265,0.15378700499807765,-0.06698961937716265,-0.13588619761630144,-0.1085121107266436,0.13588619761630144,-0.14173010380622836,-0.01384083044982699,-0.07111111111111111,0.186082276047674,-0.05911572472126105,-0.05536332179930796,0.05173394848135333,0.16633602460592078,0.14173010380622836,0.17937716262975778,-0.041584006151480196,-0.05173394848135333,0.024605920799692427,-0.01574778931180315,0.16000000000000003,0.16633602460592078,0.010396001537870049,0.12456747404844293,-0.03543252595155709,-0.07535563244905807,0.029773164167627833,-0.12456747404844293,-0.0629911572472126,-0.029773164167627833,0.13588619761630144,0.0437,0.0577,0.0391,0.214,0.1615,0.0789,0.6910312175750732
1,127.17652,36.12849,0.07972318339100345,0.05173394848135333,0.14173010380622836,0.01574778931180315,0.019930795847750864,-0.11909265667051133,-0.21413302575932336,0.42377547097270285,0.186082276047674,0.05911572472126105,0.05173394848135333,0.08421376393694734,-0.14769703960015382,-0.007443291041906958,-0.05536332179930796,-0.044844290657439445,-0.14769703960015382,0.12456747404844293,-0.07972318339100345,0.04822760476739715,0.06698961937716265,0.05536332179930796,0.010396001537870049,0.004982698961937716,0.07972318339100345,0.17937716262975778,-0.186082276047674,-0.07111111111111111,0.07111111111111111,0.06698961937716265,0.05911572472126105,0.2069357939254133,-0.003014225297962322,0.1085121107266436,0.003936947327950788,0.16000000000000003,-0.12456747404844293,-0.34602076124567477,0.16000000000000003,0.006151480199923107,-0.07972318339100345,0.13016532103037293,0.13016532103037293,-0.041584006151480196,-0.09356401384083046,0.07535563244905807,0.16633602460592078,0.041584006151480196,0.07972318339100345,-0.14769703960015382,-0.06698961937716265,0.012056901191849288,-0.0015378700499807767,0.0629911572472126,-0.019930795847750864,-0.1085121107266436,0.01384083044982699,0.1929104190695886,-0.19986159169550174,0.07535563244905807,-0.022206843521722412,-0.15378700499807765,-0.16000000000000003,0.007443291041906958,0.0341,0.045875,0.0363,0.2496,0.1431,0.07262857142857143,0.746065080165863
1,127.78207,36.38666,-0.05911572472126105,0.03254133025759323,0.11374086889657825,0.010396001537870049,-0.01384083044982699,-0.16633602460592078,-0.08882737408688965,0.37425605536332185,0.22145328719723184,0.03844675124951941,0.04822760476739715,0.044844290657439445,-0.10340638216070744,0.0271280276816609,-0.2069357939254133,0.004982698961937716,-0.14173010380622836,0.06698961937716265,-0.3014225297962323,0.010396001537870049,0.0271280276816609,0.2069357939254133,-0.07972318339100345,0.08882737408688965,0.041584006151480196,0.05173394848135333,-0.14769703960015382,-0.05173394848135333,-0.002214532871972318,0.07972318339100345,-0.08421376393694734,0.13588619761630144,-0.09842368319876971,0.04822760476739715,0.12456747404844293,0.06698961937716265,-0.186082276047674,-0.21413302575932336,0.017777777777777778,-0.186082276047674,0.0271280276816609,0.0629911572472126,0.186082276047674,-0.09356401384083046,-0.05911572472126105,0.12456747404844293,0.24415224913494812,-0.06698961937716265,0.07535563244905807,-0.1929104190695886,-0.03844675124951941,0.1085121107266436,0.019930795847750864,0.03543252595155709,-0.024605920799692427,0.003936947327950788,0.08421376393694734,0.12456747404844293,-0.186082276047674,0.0629911572472126,-0.13016532103037293,-0.14173010380622836,-0.17937716262975778,-0.008858131487889272,0.0391,0.0573,0.0806,0.2051,0.2008,0.1131,0.43577179312705994
1,127.39696,36.88146,-0.04822760476739715,0.03844675124951941,0.05173394848135333,0.11909265667051133,-0.01384083044982699,-0.14769703960015382,-0.14769703960015382,0.3188927335640138,0.22145328719723184,-0.05536332179930796,0.2599000384467512,0.0629911572472126,-0.15378700499807765,-0.08882737408688965,-0.11374086889657825,0.01384083044982699,-0.08882737408688965,0.000984236831987697,-0.3278123798539023,0.11374086889657825,0.041584006151480196,0.04822760476739715,0.010396001537870049,0.07111111111111111,0.11909265667051133,0.13016532103037293,-0.019930795847750864,-0.08882737408688965,0.029773164167627833,0.11909265667051133,-0.03543252595155709,0.19986159169550174,0.08421376393694734,0.041584006151480196,0.12456747404844293,0.07972318339100345,-0.10340638216070744,-0.29287197231833906,0.11374086889657825,-0.14173010380622836,-0.07972318339100345,0.029773164167627833,0.16633602460592078,-0.024605920799692427,-0.01574778931180315,0.08421376393694734,0.2761399461745483,-0.05173394848135333,0.16000000000000003,-0.041584006151480196,-0.08421376393694734,0.012056901191849288,-0.06698961937716265,0.13016532103037293,0.07535563244905807,-0.08421376393694734,0.13588619761630144,-0.05173394848135333,-0.15378700499807765,-0.022206843521722412,-0.08882737408688965,-0.08421376393694734,-0.15378700499807765,0.0015378700499807767,0.0436,0.0567,0.0531,0.1986,0.1581,0.0913,0.5780691504478455
1,127.26572,36.37076,0.044844290657439445,-0.03543252595155709,0.17279507881584008,0.03543252595155709,-0.012056901191849288,-0.07972318339100345,-0.2519646289888504,0.3188927335640138,0.17937716262975778,0.04822760476739715,-0.04822760476739715,0.11374086889657825,-0.15378700499807765,-0.03543252595155709,-0.041584006151480196,-0.05536332179930796,-0.14769703960015382,0.12456747404844293,-0.08882737408688965,0.05536332179930796,-0.012056901191849288,0.03844675124951941,0.022206843521722412,0.0271280276816609,0.029773164167627833,0.2288965782391388,-0.19986159169550174,-0.03844675124951941,0.15378700499807765,0.07111111111111111,0.029773164167627833,0.2069357939254133,-0.03543252595155709,0.11374086889657825,0.000984236831987697,0.12456747404844293,-0.07972318339100345,-0.33685505574778934,0.17279507881584008,0.05911572472126105,-0.006151480199923107,0.14173010380622836,0.09842368319876971,-0.041584006151480196,-0.044844290657439445,0.044844290657439445,0.1085121107266436,0.017777777777777778,0.03543252595155709,-0.13016532103037293,-0.07111111111111111,0.03543252595155709,-0.004982698961937716,0.08882737408688965,-0.012056901191849288,-0.19986159169550174,0.029773164167627833,0.21413302575932336,-0.2364628988850442,0.08882737408688965,-0.08421376393694734,-0.17937716262975778,-0.19986159169550174,0.03844675124951941,0.02945,0.0408,0.03115,0.2006,0.1241,0.0611,0.7311758399009705
1,127.62819,36.49042,0.06698961937716265,0.0629911572472126,0.2288965782391388,-0.07972318339100345,-0.004982698961937716,-0.08882737408688965,-0.17279507881584008,0.2599000384467512,0.024605920799692427,-0.022206843521722412,-0.13588619761630144,0.07111111111111111,-0.19986159169550174,-0.044844290657439445,-0.10340638216070744,-0.041584006151480196,-0.007443291041906958,0.13016532103037293,-0.186082276047674,0.22145328719723184,-0.06698961937716265,0.07535563244905807,-0.022206843521722412,0.008858131487889272,0.07972318339100345,-0.044844290657439445,-0.11374086889657825,-0.29287197231833906,0.05911572472126105,0.11909265667051133,0.006151480199923107,0.2364628988850442,0.07972318339100345,0.11374086889657825,-0.17279507881584008,0.29287197231833906,-0.08421376393694734,-0.15378700499807765,-0.03543252595155709,0.0629911572472126,0.09356401384083046,0.2679584775086506,-0.08882737408688965,-0.0629911572472126,0.16633602460592078,0.12456747404844293,0.2069357939254133,-0.017777777777777778,0.03543252595155709,-0.008858131487889272,-0.041584006151480196,0.024605920799692427,-0.05536332179930796,0.07972318339100345,-0.06698961937716265,-0.05911572472126105,-0.017777777777777778,0.008858131487889272,-0.13588619761630144,0.07535563244905807,-0.07535563244905807,-0.10340638216070744,-0.22145328719723184,0.017777777777777778,0.04475,0.0704,0.06405,0.33775,0.25235,0.1442,0.6811846494674683
1,127.78611,36.85559,-0.01574778931180315,0.019930795847750864,0.16633602460592078,0.022206843521722412,-0.07972318339100345,-0.17279507881584008,-0.16000000000000003,0.4340484429065744,0.22145328719723184,0.007443291041906958,0.10340638216070744,0.000984236831987697,-0.044844290657439445,0.01574778931180315,-0.044844290657439445,0.003936947327950788,0.05911572472126105,0.186082276047674,-0.2761399461745483,-0.12456747404844293,0.03543252595155709,0.1085121107266436,-0.13588619761630144,0.13016532103037293,0.09356401384083046,0.11909265667051133,-0.03844675124951941,-0.03543252595155709,0.13588619761630144,0.16000000000000003,-0.0271280276816609,0.004982698961937716,0.012056901191849288,0.14769703960015382,0.06698961937716265,-0.09356401384083046,-0.09842368319876971,-0.12456747404844293,0.12456747404844293,-0.14769703960015382,0.01384083044982699,0.09842368319876971,0.11374086889657825,-0.15378700499807765,-0.08421376393694734,0.012056901191849288,0.12456747404844293,0.2599000384467512,0.16000000000000003,-0.08882737408688965,-0.06698961937716265,-0.007443291041906958,-0.044844290657439445,0.08421376393694734,0.16633602460592078,-0.041584006151480196,0.14173010380622836,-0.05911572472126105,-0.07111111111111111,0.11374086889657825,-0.10340638216070744,-0.12456747404844293,-0.09842368319876971,0.14769703960015382,0.03485,0.05305,0.04545,0.1988,0.1662,0.09825,0.6278403401374817
