lon,lat
-55.26458085785399,-11.793936449440992
-55.26520967855288,-11.776329469872248
-55.26583849925176,-11.78144986699173
-55.27356401069519,-11.765190360349166
-55.29665071349706,-11.792858471100049
-55.27428266292248,-11.780102394065551
-55.27616912501913,-11.764112382008223
-55.26520967855288,-11.796541563764938
-55.26664698300747,-11.789085546906746
-55.27410299986566,-11.766627664803758
-55.2608977651891,-11.791690661230692
-55.2864099192581,-11.778395595025724
-55.27616912501913,-11.785851611883915
-55.27545047279184,-11.788007568565803
-55.26718597217794,-11.768873453014058
-55.28003188074085,-11.773814187076715
-55.28182851130909,-11.77686845904272
-55.2872184030138,-11.761866593797924
-55.287308234542216,-11.785222791185031
-55.295393072099294,-11.79204998734434
-55.289194696638866,-11.762225919911572
-55.26925209733141,-11.797709373634294
-55.27257586388266,-11.76438187659346
-55.287757392184275,-11.766897159388995
-55.27446232597931,-11.760249626286509
-55.28802688676951,-11.783965149787266
-55.276079293490724,-11.789894030662454
-55.29144048484917,-11.797350047520645
-55.2872184030138,-11.788636389264687
-55.280840364496555,-11.778844752667784
-55.270330075672355,-11.79429577555464
-55.29494391445723,-11.768334463843585
-55.290362506508224,-11.76851412690041
-55.28739806607063,-11.793666954855755
-55.27571996737707,-11.777587111270016
-55.27257586388266,-11.79061268288975
-55.291081158735516,-11.77731761668478
-55.286320087729685,-11.774892165417658
-55.26269439575734,-11.771927724980063
-55.28182851130909,-11.783246497559968
-55.26898260274618,-11.768693789957233
-55.29835751253689,-11.796002574594466
-55.295393072099294,-11.765100528820755
-55.28245733200797,-11.7842346443725
-55.2653893416097,-11.79842802586159
-55.260807933660686,-11.771209072752768
-55.27275552693948,-11.771837893451652
-55.29494391445723,-11.783515992145205
-55.270150412615536,-11.764202213536635
-55.26071810213228,-11.764651371178696
-55.28973368580934,-11.7782159319689
-55.291979474019634,-11.768963284542469
-55.28093019602497,-11.779024415724608
-55.27374367375201,-11.783246497559968
-55.27697760877484,-11.79663139529335
-55.29054216956504,-11.767256485502642
-55.2917099794344,-11.796990721406997
-55.28766756065586,-11.783246497559968
-55.270330075672355,-11.773005703321006
-55.266557151479056,-11.774622670832422
-55.28308615270685,-11.784324475900913
-55.28982351733775,-11.7639327189514
-55.298716838650535,-11.776688795985896
-55.28434379410462,-11.774443007775599
-55.26664698300747,-11.797889036691117
-55.26071810213228,-11.763753055894576
-55.27958272309879,-11.789444873020393
-55.284433625633035,-11.789085546906746
-55.29045233803664,-11.785402454241856
-55.299884648519885,-11.771837893451652
-55.278504744757846,-11.760968278513806
-55.29485408292882,-11.773185366377831
-55.29790835489482,-11.790253356776102
-55.27473182056454,-11.797260215992234
-55.265119847024465,-11.79061268288975
-55.27275552693948,-11.766986990917406
-55.275809798905485,-11.774263344718774
-55.29413543070152,-11.78288717144632
-55.26026894449022,-11.789444873020393
-55.293686273059464,-11.776059975287014
-55.263682542569875,-11.79294830262846
-55.29503374598564,-11.783246497559968
-55.28937435969569,-11.76815480078676
-55.26170624894481,-11.7639327189514
-55.276079293490724,-11.775161660002894
-55.26170624894481,-11.764920865763932
-55.271048727899654,-11.775161660002894
-55.29045233803664,-11.788546557736275
-55.26422153174035,-11.78459397048615
-55.26601816230858,-11.788277063151039
-55.282547163536385,-11.778126100440488
-55.26449102632558,-11.794924596253523
-55.26736563523476,-11.768603958428821
-55.296830376553885,-11.797799205162706
-55.2751809782066,-11.782617676861086
-55.27652845113278,-11.76851412690041
-55.27554030432025,-11.799506004202533
-55.27527080973501,-11.79339746027052
-55.2653893416097,-11.765729349519638
-55.27661828266119,-11.770041262883412
-55.280121712269256,-11.77776677432684
-55.28766756065586,-11.778126100440488
-55.26880293968935,-11.794744933196698
-55.269880918030296,-11.798248362804765
-55.27922339698514,-11.764920865763932
-55.28137935366703,-11.791600829702281
-55.26215540658687,-11.792319481929576
-55.29961515393465,-11.77731761668478
-55.29754902878118,-11.77498199694607
-55.26116725977434,-11.790522851361338
-55.26215540658687,-11.777048122099545
-55.27823525017261,-11.796451732236527
-55.27473182056454,-11.783965149787266
-55.27338434763836,-11.784863465071384
-55.27482165209295,-11.76671749633217
-55.28748789759904,-11.76447170812187
-55.27554030432025,-11.765459854934402
-55.29754902878118,-11.799685667259357
-55.299704985463066,-11.76447170812187
-55.27410299986566,-11.762764909082044
-55.26664698300747,-11.774443007775599
-55.27922339698514,-11.78459397048615
-55.2954829036277,-11.78513295965662
-55.29754902878118,-11.767885306201526
-55.295123577514055,-11.767795474673113
-55.29359644153105,-11.78971436760563
-55.26125709130275,-11.788456726207862
-55.279133565456725,-11.795553416952407
-55.27652845113278,-11.772287051093711
-55.27086906484283,-11.765909012576463
-55.2917099794344,-11.777856605855252
-55.296830376553885,-11.776688795985896
-55.28811671829792,-11.78971436760563
-55.28524210938874,-11.774353176247185
-55.260089281433395,-11.777676942798427
-55.26359271104146,-11.771119241224357
-55.29808801795165,-11.77776677432684
-55.27239620082583,-11.783515992145205
-55.26871310816094,-11.769771768298176
-55.29665071349706,-11.77363452401989
-55.2872184030138,-11.787019421753271
-55.271767380126946,-11.79752971057747
-55.28685907690016,-11.761058110042217
-55.297279534195944,-11.79384661791258
-55.26494018396764,-11.794655101668287
-55.273923336808835,-11.794655101668287
-55.26278422728575,-11.78144986699173
-55.26718597217794,-11.774802333889246
-55.26907243427459,-11.799146678088885
-55.26170624894481,-11.776598964457484
-55.28838621288316,-11.784414307429325
-55.29862700712212,-11.771927724980063
-55.27302502152472,-11.780641383236024
-55.29530324057088,-11.776688795985896
-55.277247103360075,-11.793307628742108
-55.28326581576368,-11.793127965685285
-55.28802688676951,-11.772466714150536
-55.27464198903613,-11.784953296599797
-55.2729351899963,-11.776149806815425
-55.287308234542216,-11.789983862190866
-55.26332321645622,-11.760519120871745
-55.29718970266753,-11.772287051093711
-55.291979474019634,-11.795553416952407
-55.29745919725276,-11.782438013804262
-55.27131822248489,-11.770131094411823
-55.28479295174668,-11.786121106469151
-55.283984467990976,-11.792229650401165
-55.2999744800483,-11.788097400094214
-55.26718597217794,-11.787738073980567
-55.29817784948006,-11.786480432582799
-55.27500131514978,-11.789355041491982
-55.285870930087626,-11.788187231622627
-55.284613288689854,-11.76348356130934
-55.283984467990976,-11.783965149787266
-55.27760642947372,-11.772107388036888
-55.26790462440523,-11.778126100440488
-55.26062827060387,-11.792588976514812
-55.26880293968935,-11.782977002974734
-55.299165996292594,-11.789894030662454
-55.26520967855288,-11.796002574594466
-55.262245238115284,-11.77129890428118
-55.27122839095647,-11.782438013804262
-55.295572735156114,-11.78881605232151
-55.27949289157038,-11.774353176247185
-55.28865570746839,-11.762764909082044
-55.26601816230858,-11.798068699747942
-55.279403060041965,-11.781988856162203
-55.27976238615561,-11.769861599826589
-55.26547917313811,-11.765729349519638
-55.298896501707354,-11.79609240612288
-55.276258956547544,-11.793307628742108
-55.264131700211934,-11.765998844104875
-55.26835378204729,-11.77776677432684
