A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,B11,B12,B2,B3,B4,B8,NDVI,NDWI,asp_c,asp_s,elev,lab,prec,slope,t2m,lon,lat,blk
0.13588619761630144,0.09842368319876971,-0.11374086889657825,-0.05173394848135333,0.0271280276816609,0.17937716262975778,0.22145328719723184,0.12456747404844293,-0.07111111111111111,-0.03543252595155709,-0.017777777777777778,0.06698961937716265,-0.1929104190695886,-0.044844290657439445,0.008858131487889272,0.007443291041906958,-0.05911572472126105,0.17279507881584008,-0.019930795847750864,-0.24415224913494812,0.10340638216070744,0.01574778931180315,-0.17937716262975778,0.28444444444444444,-0.003936947327950788,0.08421376393694734,0.16000000000000003,0.24415224913494812,0.024605920799692427,-0.11909265667051133,-0.15378700499807765,-0.006151480199923107,0.15378700499807765,-0.09356401384083046,-0.09356401384083046,0.09356401384083046,-0.08882737408688965,-0.11374086889657825,-0.019930795847750864,0.09356401384083046,-0.08421376393694734,0.13588619761630144,-0.09842368319876971,0.000984236831987697,0.010396001537870049,-0.06698961937716265,-0.16633602460592078,-0.16633602460592078,-0.041584006151480196,0.05173394848135333,0.03844675124951941,0.09842368319876971,-0.2761399461745483,0.3188927335640138,0.03844675124951941,0.029773164167627833,0.029773164167627833,-0.002214532871972318,0.08882737408688965,0.07111111111111111,0.16000000000000003,-0.03254133025759323,0.044844290657439445,-0.21413302575932336,0.4706000089645386,0.3271999955177307,0.08299999684095383,0.10260000079870224,0.1462000012397766,0.28439998626708984,0.3209474980831146,-0.46976742148399353,0.9510565162951535,0.3090169943749474,392.9284362792969,39,1.2441425633637095,0,299.5597313072967,-55.220743071988956,-12.532261781458827,-553126
-0.0629911572472126,-0.022206843521722412,-0.19986159169550174,-0.1085121107266436,-0.09842368319876971,-0.1085121107266436,-0.07111111111111111,0.07972318339100345,-0.09356401384083046,0.13016532103037293,0.01384083044982699,0.16633602460592078,-0.006151480199923107,-0.15378700499807765,0.017777777777777778,-0.13588619761630144,-0.11909265667051133,-0.1085121107266436,0.0629911572472126,-0.04822760476739715,0.13016532103037293,-0.0629911572472126,0.21413302575932336,0.33685505574778934,0.06698961937716265,0.05911572472126105,0.19986159169550174,-0.029773164167627833,0.07972318339100345,-0.1085121107266436,0.13016532103037293,-0.17279507881584008,-0.01574778931180315,-0.12456747404844293,-0.12456747404844293,-0.05911572472126105,-0.07111111111111111,-0.022206843521722412,-0.1929104190695886,-0.04822760476739715,-0.09356401384083046,0.2069357939254133,0.0629911572472126,-0.012056901191849288,0.186082276047674,-0.05536332179930796,-0.13016532103037293,-0.06698961937716265,0.03844675124951941,-0.05536332179930796,0.2288965782391388,-0.01574778931180315,0.010396001537870049,0.19986159169550174,-0.05911572472126105,0.14173010380622836,0.0271280276816609,-0.11909265667051133,0.16000000000000003,-0.08421376393694734,0.17937716262975778,-0.28444444444444444,0.03254133025759323,-0.08421376393694734,0.13500000536441803,0.053950000554323196,0.02005000039935112,0.03229999914765358,0.01940000057220459,0.2689000070095062,0.8654179573059082,-0.7855246067047119,0.2588190451025203,-0.9659258262890684,357.7758483886719,3,1.2062217605320598,3,299.6448748835689,-54.77428037578156,-12.180930673839681,-548122
0.024605920799692427,0.1085121107266436,-0.09842368319876971,-0.06698961937716265,-0.006151480199923107,0.08882737408688965,0.11909265667051133,0.24415224913494812,-0.05536332179930796,0.017777777777777778,-0.05173394848135333,0.08421376393694734,0.09356401384083046,-0.17937716262975778,0.10340638216070744,0.012056901191849288,-0.13588619761630144,0.01384083044982699,0.06698961937716265,-0.09842368319876971,0.05536332179930796,0.03254133025759323,-0.15378700499807765,0.33685505574778934,-0.09356401384083046,0.2069357939254133,0.17937716262975778,0.17937716262975778,0.12456747404844293,-0.11909265667051133,-0.12456747404844293,-0.06698961937716265,0.08882737408688965,0.017777777777777778,-0.1085121107266436,0.022206843521722412,0.019930795847750864,0.03254133025759323,-0.186082276047674,0.06698961937716265,-0.06698961937716265,0.22145328719723184,0.006151480199923107,0.11374086889657825,0.1929104190695886,0.0271280276816609,-0.2679584775086506,-0.08882737408688965,0.019930795847750864,0.041584006151480196,-0.019930795847750864,0.004982698961937716,-0.14769703960015382,0.28444444444444444,-0.05173394848135333,0.07111111111111111,0.09356401384083046,-0.08882737408688965,0.06698961937716265,-0.05536332179930796,-0.0271280276816609,-0.10340638216070744,-0.041584006151480196,-0.3014225297962323,0.18950000405311584,0.08044999837875366,0.02500000037252903,0.049400001764297485,0.0272000003606081,0.2969000041484833,0.8321505784988403,-0.7146982550621033,0.24192189559966767,0.9702957262759965,340.9970397949219,6,1.2486188125816966,0,299.5000833715996,-55.16908994315209,-12.577806366363687,-552126
-0.03543252595155709,-0.08421376393694734,-0.2761399461745483,-0.03844675124951941,-0.07972318339100345,-0.0271280276816609,0.022206843521722412,0.21413302575932336,-0.1929104190695886,0.029773164167627833,-0.024605920799692427,0.13016532103037293,-0.019930795847750864,-0.08421376393694734,-0.03254133025759323,-0.07972318339100345,-0.16000000000000003,-0.022206843521722412,0.07535563244905807,0.07972318339100345,0.16633602460592078,-0.01574778931180315,0.07111111111111111,0.2761399461745483,0.029773164167627833,0.12456747404844293,0.21413302575932336,0.0629911572472126,0.04822760476739715,-0.05173394848135333,0.04822760476739715,-0.14173010380622836,0.07111111111111111,-0.16633602460592078,-0.19986159169550174,-0.044844290657439445,-0.06698961937716265,-0.07972318339100345,-0.16633602460592078,-0.03844675124951941,-0.2364628988850442,0.15378700499807765,-0.002214532871972318,0.022206843521722412,0.10340638216070744,-0.041584006151480196,-0.13016532103037293,-0.0629911572472126,-0.029773164167627833,-0.0271280276816609,0.07972318339100345,-0.07972318339100345,-0.1085121107266436,0.2519646289888504,-0.05173394848135333,0.09356401384083046,-0.01384083044982699,-0.09842368319876971,0.16000000000000003,-0.007443291041906958,0.1929104190695886,-0.1929104190695886,-0.019930795847750864,-0.3278123798539023,0.18700000643730164,0.0949999988079071,0.02630000002682209,0.042399998754262924,0.03009999915957451,0.2619999945163727,0.7939062118530273,-0.7214192152023315,0.27563735581699916,0.9612616959383189,394.0328369140625,3,1.185127140304246,12,299.6122015997704,-55.38711106260789,-12.322235668031682,-554124
0.14769703960015382,0.10340638216070744,-0.05173394848135333,-0.05173394848135333,0.044844290657439445,0.16633602460592078,0.22145328719723184,0.12456747404844293,-0.06698961937716265,0.03543252595155709,-0.022206843521722412,0.10340638216070744,-0.17279507881584008,-0.019930795847750864,0.008858131487889272,0.03844675124951941,-0.08882737408688965,0.22145328719723184,-0.0015378700499807767,-0.2519646289888504,0.07972318339100345,0.01384083044982699,-0.1929104190695886,0.2599000384467512,-0.012056901191849288,0.08421376393694734,0.12456747404844293,0.2599000384467512,0.010396001537870049,-0.16000000000000003,-0.13016532103037293,-0.029773164167627833,0.15378700499807765,-0.09356401384083046,-0.11374086889657825,0.13588619761630144,-0.07111111111111111,-0.11374086889657825,-0.022206843521722412,0.09842368319876971,-0.07111111111111111,0.16000000000000003,-0.08882737408688965,-0.007443291041906958,0.012056901191849288,-0.03543252595155709,-0.14769703960015382,-0.14769703960015382,-0.04822760476739715,0.05911572472126105,0.05536332179930796,0.08882737408688965,-0.29287197231833906,0.3014225297962323,0.05536332179930796,0.03844675124951941,0.044844290657439445,0.007443291041906958,0.07972318339100345,0.03254133025759323,0.14173010380622836,-0.0271280276816609,0.03844675124951941,-0.2069357939254133,0.44130000472068787,0.33970001339912415,0.0828000009059906,0.10559999942779541,0.14419999718666077,0.3046000003814697,0.35739752650260925,-0.4851292073726654,-0.40673664307580026,0.9135454576426009,375.12811279296875,39,1.1989681136814738,5,299.57569867556236,-54.93256352884342,-12.154430372958156,-550122
-0.03543252595155709,-0.03844675124951941,-0.186082276047674,-0.14173010380622836,-0.08882737408688965,-0.13588619761630144,-0.06698961937716265,0.10340638216070744,-0.07972318339100345,0.13588619761630144,0.012056901191849288,0.14173010380622836,-0.017777777777777778,-0.11909265667051133,-0.007443291041906958,-0.14173010380622836,-0.13016532103037293,-0.10340638216070744,0.09842368319876971,-0.08882737408688965,0.1085121107266436,-0.029773164167627833,0.21413302575932336,0.3014225297962323,0.029773164167627833,0.03254133025759323,0.16633602460592078,0.017777777777777778,0.08421376393694734,-0.13588619761630144,0.12456747404844293,-0.17279507881584008,-0.0629911572472126,-0.12456747404844293,-0.12456747404844293,-0.08882737408688965,-0.09356401384083046,-0.03254133025759323,-0.21413302575932336,-0.024605920799692427,-0.09842368319876971,0.22145328719723184,0.0629911572472126,-0.017777777777777778,0.14769703960015382,-0.06698961937716265,-0.17279507881584008,-0.09356401384083046,0.019930795847750864,-0.07972318339100345,0.24415224913494812,0.01384083044982699,0.029773164167627833,0.186082276047674,-0.12456747404844293,0.13016532103037293,0.05173394848135333,-0.08421376393694734,0.14769703960015382,-0.044844290657439445,0.19986159169550174,-0.28444444444444444,0.003014225297962322,-0.08882737408688965,0.13040000200271606,0.05204999819397926,0.020749999210238457,0.03500000014901161,0.019950000569224358,0.2619999945163727,0.8584855198860168,-0.7643097639083862,0.9396926207859084,0.3420201433256687,373.7965087890625,3,1.2010172170607234,4,299.64669004140563,-54.79467213273107,-12.006208351078435,-548121
0.07111111111111111,0.16633602460592078,-0.09356401384083046,-0.05173394848135333,0.007443291041906958,0.24415224913494812,0.186082276047674,0.17279507881584008,-0.07535563244905807,-0.06698961937716265,-0.029773164167627833,-0.007443291041906958,-0.1929104190695886,0.004982698961937716,-0.04822760476739715,-0.022206843521722412,-0.05536332179930796,0.186082276047674,0.007443291041906958,-0.2069357939254133,0.14769703960015382,0.07972318339100345,-0.22145328719723184,0.2364628988850442,-0.0271280276816609,0.05173394848135333,0.16633602460592078,0.186082276047674,0.024605920799692427,-0.13016532103037293,-0.10340638216070744,0.002214532871972318,0.13588619761630144,-0.1085121107266436,-0.05911572472126105,0.10340638216070744,-0.11374086889657825,-0.029773164167627833,-0.08421376393694734,0.13588619761630144,-0.10340638216070744,0.11909265667051133,-0.04822760476739715,0.07535563244905807,-0.04822760476739715,-0.03844675124951941,-0.14769703960015382,-0.16000000000000003,-0.004982698961937716,0.012056901191849288,0.024605920799692427,0.13016532103037293,-0.2288965782391388,0.34602076124567477,0.03844675124951941,0.006151480199923107,0.05173394848135333,-0.010396001537870049,0.13588619761630144,0.07535563244905807,0.16633602460592078,-0.01574778931180315,0.05911572472126105,-0.2364628988850442,0.47519999742507935,0.3490000069141388,0.0869000032544136,0.12349999696016312,0.18119999766349792,0.28380000591278076,0.22064517438411713,-0.39356741309165955,0.6156614753256583,0.788010753606722,358.2171325683594,39,1.1784496468512202,0,299.56904205422614,-54.72999343227446,-11.930660035683983,-548120
0.1085121107266436,0.05173394848135333,-0.07972318339100345,0.008858131487889272,0.024605920799692427,0.11909265667051133,0.22145328719723184,0.14173010380622836,-0.07535563244905807,-0.029773164167627833,-0.04822760476739715,0.13016532103037293,-0.14173010380622836,-0.010396001537870049,0.03254133025759323,0.0271280276816609,-0.041584006151480196,0.17279507881584008,-0.01574778931180315,-0.2761399461745483,0.12456747404844293,0.03543252595155709,-0.15378700499807765,0.2761399461745483,-0.024605920799692427,0.07111111111111111,0.15378700499807765,0.2761399461745483,0.04822760476739715,-0.17279507881584008,-0.11909265667051133,-0.07111111111111111,0.186082276047674,-0.13016532103037293,-0.11374086889657825,0.14173010380622836,-0.08421376393694734,-0.05911572472126105,-0.029773164167627833,0.08882737408688965,-0.07111111111111111,0.15378700499807765,-0.07535563244905807,-0.012056901191849288,0.03844675124951941,-0.09842368319876971,-0.15378700499807765,-0.13016532103037293,-0.03543252595155709,0.04822760476739715,0.07111111111111111,0.07972318339100345,-0.31009611687812383,0.3014225297962323,0.05536332179930796,0.07535563244905807,0.0271280276816609,0.019930795847750864,0.012056901191849288,0.09356401384083046,0.12456747404844293,-0.007443291041906958,0.024605920799692427,-0.2069357939254133,0.4049000144004822,0.30660000443458557,0.07800000160932541,0.10090000182390213,0.12399999797344208,0.290800005197525,0.40212151408195496,-0.4848098158836365,-0.9396926207859084,-0.34202014332566866,394.2032470703125,39,1.1924289328066493,2,299.4559534571809,-55.039103721539995,-12.551934886181044,-551126
0.05911572472126105,0.041584006151480196,-0.1085121107266436,-0.09356401384083046,-0.08882737408688965,0.21413302575932336,0.14173010380622836,0.186082276047674,-0.11909265667051133,-0.07535563244905807,-0.07111111111111111,0.03543252595155709,-0.07972318339100345,-0.07535563244905807,0.0271280276816609,-0.0005536332179930795,-0.044844290657439445,0.06698961937716265,0.029773164167627833,-0.14173010380622836,0.186082276047674,0.05536332179930796,-0.09842368319876971,0.28444444444444444,-0.0629911572472126,0.07972318339100345,0.186082276047674,0.17937716262975778,0.041584006151480196,-0.04822760476739715,-0.1085121107266436,-0.05173394848135333,0.24415224913494812,-0.13016532103037293,-0.17279507881584008,0.05536332179930796,-0.09842368319876971,-0.05536332179930796,-0.17279507881584008,0.017777777777777778,-0.17279507881584008,0.11374086889657825,-0.022206843521722412,0.06698961937716265,0.03543252595155709,-0.04822760476739715,-0.17937716262975778,-0.14173010380622836,0.0005536332179930795,-0.0629911572472126,0.06698961937716265,0.05536332179930796,-0.2519646289888504,0.2679584775086506,0.03254133025759323,0.012056901191849288,0.04822760476739715,-0.017777777777777778,0.12456747404844293,0.07972318339100345,0.186082276047674,-0.09842368319876971,0.04822760476739715,-0.3188927335640138,0.365200012922287,0.23430000245571136,0.05640000104904175,0.08940000087022781,0.12160000205039978,0.2996000051498413,0.4226020872592926,-0.5403599143028259,0.43837114678907746,0.898794046299167,382.83343505859375,41,1.2387198817936564,4,299.5203596989721,-55.05212929315972,-12.469559374627284,-551125
0.05173394848135333,0.11374086889657825,-0.044844290657439445,-0.012056901191849288,0.029773164167627833,0.15378700499807765,0.21413302575932336,0.15378700499807765,-0.04822760476739715,-0.03543252595155709,-0.05536332179930796,0.0271280276816609,-0.12456747404844293,-0.04822760476739715,-0.044844290657439445,0.003014225297962322,-0.06698961937716265,0.14769703960015382,-0.019930795847750864,-0.24415224913494812,0.17279507881584008,0.11909265667051133,-0.2519646289888504,0.3278123798539023,-0.017777777777777778,0.05536332179930796,0.13016532103037293,0.2519646289888504,0.08882737408688965,-0.19986159169550174,-0.11909265667051133,-0.01384083044982699,0.13016532103037293,-0.07972318339100345,-0.17937716262975778,0.12456747404844293,-0.1085121107266436,-0.008858131487889272,-0.041584006151480196,0.07972318339100345,-0.05911572472126105,0.10340638216070744,-0.04822760476739715,0.07111111111111111,0.03254133025759323,-0.07111111111111111,-0.186082276047674,-0.12456747404844293,-0.029773164167627833,0.01574778931180315,0.04822760476739715,0.12456747404844293,-0.17279507881584008,0.33685505574778934,0.01384083044982699,0.0629911572472126,0.022206843521722412,-0.012056901191849288,0.019930795847750864,0.0629911572472126,0.11909265667051133,0.04822760476739715,0.05536332179930796,-0.2364628988850442,0.43700000643730164,0.30480000376701355,0.07150000333786011,0.10080000013113022,0.1444000005722046,0.2624000012874603,0.2900688350200653,-0.4449339210987091,-0.9335804264972017,0.3583679495453002,375.2027282714844,39,1.1428974729982997,0,299.50673634895264,-54.89303765634216,-12.378829530931212,-549124
