a2019,a2020,a2021,a2022,a2023,a2024,a2025,dw,pz2019,pz2020,pz2021,pz2022,pz2023,pz2024,pz2025,s1_2019,s1_2020,s1_2021,s1_2022,s1_2023,s1_2024,s1_2025,s2_2019,s2_2020,s2_2021,s2_2022,s2_2023,s2_2024,s2_2025,tz2019,tz2020,tz2021,tz2022,tz2023,tz2024,tz2025,lon,lat,roi
11.500768612600888,11.246136810517909,16.58751634894274,24.72405538367312,20.167223395518835,15.432309659404806,21.157554300302213,5,-0.5390506722460467,0.7913260582515748,-0.33316196266805415,1.6655821404074431,-0.6700506465805689,1.3851633134435912,-0.5459706275926229,30,31,30,28,30,29,31,43,37,36,71,73,53,56,0.8982485012136925,-0.2718093828517329,0.30992398600840787,-2.2033426104476703,1.3461398026749227,0.8190239161044339,0.20987915318733116,-40.051701352818306,-9.490476397901714,BR_caat
30.749993230121138,21.076735999989385,15.345001849833185,13.568460892762499,21.782913219629943,15.1903300082881,20.654600341724436,1,-0.5029343276255963,1.1648099044578746,-0.4589749899909683,1.4321898940356514,-0.7396349352004923,1.4417696183730735,-0.7020716995207399,30,31,30,28,30,29,31,45,47,40,71,73,52,60,0.9507926306843775,-0.6545833651697435,0.2556149264234183,-2.143427261980867,1.3528642102755084,0.7589593149481672,0.3664863493514423,-40.40393077572157,-9.451669177627751,BR_caat
22.044825816687364,18.73386901754471,19.000802626310577,19.83569398951471,17.211803227133796,16.648076374439164,14.726156131780467,1,-0.5126933759098938,1.044385778767033,-0.5068199392990723,1.5674763645490155,-0.548776603420465,1.3579003326830452,-0.6655960478016194,30,31,30,28,30,29,31,43,38,40,70,73,53,57,0.9388744514757347,-0.4639750353923614,0.3307514327804238,-2.242758382892822,1.257893906702308,0.771547219790196,0.3179767841637077,-40.306104241280956,-9.43684697543978,BR_caat
20.314942564373546,14.552619219403848,22.22495741557144,22.107268610943425,21.874006522799228,22.125884817524,22.16418933608388,5,-0.38821323240261674,0.9286722760196405,-0.8890057580539256,1.6732196603110037,0.24185147919062547,0.9981821791144965,-0.8815516028240847,30,31,30,28,30,29,31,84,78,82,138,146,86,99,0.9784743720571086,-0.5093458769089028,0.40233452375164597,-2.3573293708997016,0.8830009922361096,0.9180309614915609,0.27465536502870236,-40.39710357956226,-9.103482173503025,BR_caat
18.072849997371755,17.650270849421567,16.358347730176877,20.521424241253456,15.479548191178496,18.614659435222716,16.328275306144732,5,-0.5469434899985112,0.8275197793338686,-0.361575997311248,1.6142727621888695,-0.6605949048218765,1.4276815611169744,-0.4919167668436663,30,31,30,28,30,29,31,44,40,39,71,74,53,56,0.9298763862152872,-0.35749382208544633,0.28861311175070675,-2.2223294787913703,1.3355589317673202,0.7650416508759164,0.2664835793817827,-40.20782854919828,-9.456520080161997,BR_caat
13.376612255388364,12.250818763868686,18.00878134811723,13.974653882354081,13.405226316890294,15.549258685534939,18.54880170264806,5,-0.44971779815179946,1.1302068519103687,-0.6953786325296987,1.543076998383378,-0.29873912935023705,1.2690858229991409,-0.899696250828757,30,31,30,28,30,29,31,49,36,41,71,73,45,44,0.8288707981949146,-0.5370370169208695,0.4361958238761999,-2.189115088615088,1.1982705921893777,0.8933971469874991,0.40415607507120765,-40.38344918724365,-9.287097817577054,BR_caat
27.095990881736242,24.114426660361584,23.197474687231495,23.974515979021646,26.561630473988462,24.812919235654586,19.817671557017828,1,-0.5380593297039199,0.7827013414108406,-0.6051275033499008,1.7476193457182627,-0.1458016697967605,1.2782107953598394,-0.6972303410125036,30,31,30,28,30,29,31,42,37,34,70,72,50,60,0.9618284372708944,-0.30433120535626385,0.3806071765291843,-2.333123498820803,1.1065363637370176,0.8342510548734052,0.2125654429920793,-40.22633384405114,-9.341984881436758,BR_caat
11.607113010332672,15.657979247078192,17.26536237600773,22.099672041488915,19.00982178823529,16.930796853489287,16.80688087151084,5,-0.48072863306384467,0.7934051302086889,-0.7967495143034837,1.7313046960502132,0.16407518219068137,1.174094233710506,-0.8764398176832117,30,31,30,28,30,29,31,42,40,38,69,73,50,54,0.9163452661237215,-0.390609857156955,0.47269963438369594,-2.335779119473376,0.9969252720937026,0.8887308695221107,0.2957156894775178,-40.26298510764322,-9.184600043659017,BR_caat
15.90887299866492,15.890018839411999,18.017018927420622,15.620605515737179,16.667641550755462,14.364655420121597,16.8607705815994,5,-0.36719562673577677,1.1366756655574346,-0.8572007451901357,1.5845659027208565,0.07321485723017113,0.9435113988255808,-0.8760722694728649,30,31,30,28,30,29,31,43,38,39,69,72,47,55,1.0287054966913056,-0.6211384048490894,0.34277397548412086,-2.319789922803035,0.8826136839097343,0.9163886447827162,0.2576292602162913,-40.45729070359827,-9.132587588708498,BR_caat
14.04032999202885,13.563109973228613,18.024585821304743,17.779758681010858,15.695409665797039,20.29900578570752,17.714562457164575,5,-0.4555896914845406,1.012879175512228,-0.7812346303314653,1.6404690394268961,0.010490435038943466,1.1377016667433884,-0.8849448855876351,30,31,30,28,30,29,31,43,39,34,71,72,52,51,0.9399186745099478,-0.5410371819006379,0.39747858110201495,-2.2913912828075085,1.0301387740455683,0.8934604929982669,0.34454485364388915,-40.35703871789053,-9.241912558785844,BR_caat
