aef_2223,aef_2224,aef_2324,aef_2425,bs,lon,lat
16.83603059833802,19.06591855429324,21.9886147198638,17.88350454530697,136.77777777826682,34.268802,31.222458
22.055870188397094,23.812951320825654,21.258282608042897,15.807592749644758,218.22222222181276,34.268838,31.225164
19.151016550657054,20.048192597558668,24.05950766674324,20.201975755672844,671.8888888905312,34.271987,31.225133
17.445764914474907,21.480568036729323,24.475165631178378,18.46957709644395,158.33333333391994,34.265725,31.227902
20.053819491684102,18.978348331538665,23.01528125352678,17.648653497192687,0.0,34.268874,31.227871
22.98441094402698,23.492898028385856,28.589370516369804,23.709617902613125,0.0,34.272023,31.227839
20.53822482322916,21.536876395322253,29.116535539861655,23.847861484226268,0.0,34.275172,31.227808
16.635615903287185,20.727650839852235,23.10139243493048,19.546246396448268,99.55555555550957,34.265761,31.230608
23.58959460958516,21.812834237613718,27.14947546879083,22.195981158002482,0.0,34.26891,31.230577
25.24481601419609,23.211090577180745,30.40656884117687,23.57382256125275,0.0,34.272059,31.230546
23.724087887757896,23.37261582849474,34.53549029267464,25.9884221394189,0.0,34.275209,31.230514
22.00819227647018,24.36474762197904,33.07651679248741,29.121394155402417,0.0,34.278358,31.230483
17.6767324215197,21.54797251987526,27.292429131597814,23.992163283608445,94.888888889264,34.265797,31.233314
40.19093017736611,29.00528929985851,49.38805440738391,29.997928509961113,0.0,34.268946,31.233283
42.073170119109,31.836741482719116,49.51197260708415,31.72668337918636,0.0,34.272096,31.233252
23.02115261372804,25.857847753561327,34.360236894966214,28.32290532148317,0.0,34.275245,31.233221
20.748356712552496,30.555401123161385,34.55518426061702,28.724550812508923,0.0,34.278394,31.233189
18.96034730396359,23.332936787629457,27.82217530404501,26.081056714489947,0.0,34.281544,31.233158
18.874746276043954,24.487683849061842,22.873118119964992,21.266943878281342,376.2222222225126,34.262684,31.236051
17.481408687394563,23.044400691519048,28.188241023246768,26.328972992510128,74.33333333330452,34.265833,31.23602
29.778535744988393,33.414401197655046,43.61397465461386,30.59474429332216,0.0,34.268982,31.235989
42.06073421869571,44.91098585163386,47.09754193748522,33.47439607723881,0.0,34.272132,31.235958
21.926778996104396,33.53575047792692,35.33853050817734,31.140091904417744,0.0,34.275281,31.235927
20.53363938393393,30.078324060547242,35.24967553318383,28.66653858163774,0.0,34.278431,31.235896
20.01614308488219,26.896942667277056,33.761418577140596,26.469368823764245,0.0,34.28158,31.235864
19.581401915716373,20.002434618406376,25.969446591463942,25.448679857457655,0.0,34.28473,31.235833
15.717784462410744,21.729436685163492,24.286998289153523,22.304898111486676,240.66666666692842,34.26272,31.238757
15.271900924037352,21.597927688894174,26.14500084751321,26.35771875275442,81.55555555544484,34.265869,31.238726
21.017236567044613,31.087115675962973,32.15019172795997,28.55605034104328,12.666666666655145,34.269019,31.238695
41.312734778986375,52.13756732640247,50.67363824139641,38.03567058747102,0.0,34.272168,31.238664
40.346906973913086,59.32575781993627,50.37340070617237,39.10981175685557,0.0,34.275318,31.238633
19.87223720454396,28.685030966446092,34.924398872699015,32.6008678094225,0.0,34.278467,31.238602
16.99411626794333,27.551095692158306,30.37014768734286,28.969595123429393,0.0,34.281617,31.23857
17.42769104572107,24.359811947653796,27.532028999185613,24.413061253252458,0.0,34.284766,31.238539
18.066243987307388,18.679326828624934,24.187599007516194,23.631173000449095,0.0,34.287916,31.238507
15.637427818231801,26.88875187211068,30.30397700127692,27.763418364234102,871.5555555551814,34.262756,31.241464
17.354320607866647,26.691588410355106,29.9178982871328,26.817314758603107,194.6666666664478,34.265905,31.241433
19.08477309478592,25.903464293809044,26.937509228022233,24.91818334980768,14.444444444431307,34.269055,31.241402
34.9372717027767,54.9679493530888,47.64287247092423,34.84195100938275,0.0,34.272205,31.24137
46.44321856439853,61.75511990230968,39.72273531047894,30.129510210941593,0.0,34.275354,31.241339
26.122711758883,29.82326013950002,36.84468066331553,30.245483927242134,0.0,34.278504,31.241308
20.96933559033348,32.391615916878564,39.71044576579832,35.83881208356423,6.1111111111055525,34.281653,31.241277
19.942545101114458,28.100965999971482,35.05821261740203,34.30085754657348,0.0,34.284803,31.241245
20.127832204463832,24.989554480082827,29.53689238032417,29.555900474089157,0.0,34.287953,31.241214
16.788253301099324,21.58244773876968,25.197200118826192,24.891767598100202,0.0,34.291102,31.241182
16.433716172221594,22.35832565516125,22.803136302448255,20.559003672629807,859.8888888897129,34.259642,31.244201
18.445270114000255,29.199380870850913,32.53476134303956,31.596983435082894,579.9999999991478,34.262792,31.24417
16.057729764974358,28.05972674722701,30.150409523740237,27.390197434190814,1505.7777777761928,34.265941,31.244139
17.75703907399363,21.780067439781906,26.25692986967714,24.478219088431683,137.33333333331103,34.269091,31.244108
33.061144188918036,47.61113095664897,42.584129447940626,31.935695575597077,12.222222222211105,34.272241,31.244077
37.01057511545194,45.68289574950957,48.011771043836276,32.404628368374986,0.0,34.275391,31.244045
30.654751684279343,27.564185964921922,38.483031193979386,27.576777504688035,148.99999999966275,34.27854,31.244014
18.29077942806731,30.074576874647533,33.26829936392033,35.960398319823454,8.999999999988935,34.28169,31.243983
18.828210059055547,30.021198129824914,37.25131646424487,35.362046339981426,0.0,34.28484,31.243951
17.64063742203587,31.379202735067103,33.850191645062786,33.876597991381274,0.0,34.287989,31.24392
25.153492735730257,40.88913508320856,32.46265582149056,33.14213870849208,0.0,34.291139,31.243888
26.422119512300103,38.23813520244789,29.718636857729656,31.372030610947323,0.0,34.294289,31.243857
18.16753570878697,23.043269209227166,25.680610209662714,25.665298593643406,0.0,34.297439,31.243825
15.576869759534178,23.57082022511321,27.24951264461433,24.502658475273087,1725.8888888870767,34.259678,31.246907
15.737080971531752,25.847318454321815,28.230075532652492,30.104195782083643,980.777777779203,34.262828,31.246876
16.583003439284592,23.794596895736692,27.19018903627042,33.057324859987304,657.2222222235804,34.265977,31.246845
18.460798885887744,23.266091400370705,30.36889952823485,33.00504939659877,542.3333333324737,34.269127,31.246814
25.099185536745114,30.53291631887768,34.64640627862243,27.5389794304263,173.88888888873075,34.272277,31.246783
39.72122506817975,33.11214069911095,51.12975020228826,28.91382689107915,0.0,34.275427,31.246752
35.455836825096036,27.397333494179765,42.44372074790949,26.893583208689673,341.44444444456127,34.278577,31.24672
21.682530022649708,26.60961222610344,32.47488513969921,29.27847424427854,7.333333333317115,34.281727,31.246689
20.89094164649749,28.49755507536648,35.22693412547225,33.86987006148552,0.0,34.284876,31.246658
20.58393607937726,32.29590189995903,34.47405683315976,35.773516952101275,0.0,34.288026,31.246626
26.898066338383142,37.767083182245244,35.81555173689875,32.62873869753065,0.0,34.291176,31.246594
33.029012558263,52.13973449720964,36.63102016431744,33.29430993479282,0.0,34.294326,31.246563
21.943161381372782,40.331745832253276,36.39301851709333,30.90388714419041,0.0,34.297476,31.246531
14.037876168135494,24.06771677330768,24.709826190283138,21.48458047995559,1974.1111111119155,34.259714,31.249613
15.993859939309385,28.797083519735967,32.30136096188418,28.149946342936815,43.66666666676049,34.262864,31.249582
14.907687350350491,25.698432936116205,28.939099214686518,28.37265223766755,13.777777777759184,34.266014,31.249551
14.126278188402761,26.29968601952014,29.13309637269089,25.352203083782722,1329.1111111115404,34.269163,31.24952
28.718573725582527,31.16300307543737,32.00808691702962,24.77958299418914,72.11111111106797,34.272313,31.249489
51.46424600886391,40.29106130207955,53.169631547087484,30.29478335232259,0.0,34.275463,31.249458
31.438292036077492,23.053235820856504,37.714026537989646,24.858925508440546,163.7777777775515,34.278613,31.249427
15.887807521090247,22.751197578080962,27.326989632246658,25.409600866748168,781.8888888874351,34.281763,31.249395
18.046611202424312,25.714111472929805,30.394552667166383,28.2124867410956,734.2222222208992,34.284913,31.249364
15.98131831587634,27.786659005800182,31.698421721084262,30.124923295996187,168.66666666635456,34.288063,31.249332
18.810800407098906,25.767492616419155,30.721284858469936,25.712978244409523,141.4444444443693,34.291213,31.249301
24.044222114152298,29.755432838303637,33.34747232591304,27.3446905593938,1.7777777777737356,34.294363,31.249269
19.763842654385265,27.69918532901585,30.31936966848013,27.410563368471067,0.0,34.297513,31.249237
14.896969573688624,22.480917411236913,22.131076661311464,18.6003150488914,856.9999999996417,34.2566,31.25235
16.270854244742537,23.679544318001042,24.192547184028253,22.77579644884998,771.666666665359,34.25975,31.252319
14.923588217749788,26.08654639798003,29.21075895711383,24.483861734334802,1045.5555555547082,34.2629,31.252288
13.812164236301266,26.59467058571833,29.674625691773144,25.95424230634928,576.5555555542767,34.26605,31.252257
12.742445018181265,22.472888244209862,26.44973029585261,23.275508814606393,2805.222222221132,34.2692,31.252226
23.911884425601013,27.302553419682305,28.870441393583256,22.45321609701231,736.6666666660198,34.27235,31.252195
47.32112919902764,42.38425234017159,48.31051304817452,27.135469249754486,0.0,34.2755,31.252164
22.19792004985061,21.748775186477143,32.457364840945765,25.723921194045825,160.333333333151,34.27865,31.252133
14.319610550460663,24.73692257563051,29.536977333846018,30.404424629098934,823.8888888911928,34.2818,31.252101
14.355352501726353,29.714587688962187,34.22435298471281,33.209823562160274,597.0000000005543,34.28495,31.25207
16.90906857521751,26.182281210396436,31.79572245978957,30.509607267298016,228.9999999996168,34.2881,31.252038
19.365392900701995,23.507909022915307,29.411162921410757,26.56306758415683,46.88888888885442,34.29125,31.252007
17.43520014556521,21.303874405284976,24.703252093498275,22.10365455998265,1430.5555555529304,34.2944,31.251975
17.69953900205005,23.17559533226917,26.00070532764313,24.099677922267464,1137.5555555539731,34.29755,31.251943
15.681979842119103,24.388205954503942,26.154188373787623,22.422497569875528,726.4444444437481,34.256635,31.255056
15.664792174168902,23.134250733610976,25.242876860402315,22.638630036873213,1094.3333333348373,34.259785,31.255026
15.266048088528194,25.65748712900372,31.42976473883546,26.15852490945301,1627.2222222211938,34.262936,31.254995
12.81145821005884,24.11487472956301,27.769225750822805,23.451017669558805,1886.6666666667393,34.266086,31.254964
13.017078895458043,23.039573734226288,26.024641195942298,23.123454883548245,2426.3333333332016,34.269236,31.254933
16.81380637300163,25.323925129774214,31.331109730789805,25.97757033541228,1415.444444445361,34.272386,31.254901
31.388665799266686,34.832311930854694,50.12478166651721,28.67313139759151,13.444444444505583,34.275536,31.25487
25.966939419631984,25.20421412498512,38.80349018024056,26.77401433895857,359.9999999999096,34.278686,31.254839
13.712668752898209,21.19212796510603,24.934105407101192,24.919772198124786,1638.8888888898448,34.281836,31.254808
13.880645068511573,22.423061213176307,25.518479168840507,25.142333082709104,1424.888888890008,34.284986,31.254776
13.976319801191572,27.054319623788423,30.16273541059311,29.939876871639296,447.77777777715517,34.288136,31.254745
14.975782362012342,23.81044221184649,27.244114600882792,27.11966325455198,486.0000000005176,34.291287,31.254713
17.017351921266375,21.37730859937639,25.174024576340525,19.565434928368827,1148.6666666675303,34.294437,31.254681
16.29342172216593,22.965805648873356,27.615778990222758,28.82399462584069,784.2222222230153,34.297587,31.254649
16.197877431306285,28.824454295541774,31.284855309285007,30.393764921498008,810.333333334831,34.256671,31.257763
13.715522498610326,24.31195283402612,27.872327415887543,23.763054511892072,2949.888888889188,34.259821,31.257732
14.713577704877661,24.876051992084662,28.34786894677131,24.77373145687526,2792.7777777777474,34.262972,31.257701
13.82986733970386,28.3754556413381,34.03814460117287,31.457676959640114,936.6666666677658,34.266122,31.25767
13.149494601170579,26.074438335298105,29.68380375408239,23.412796926393632,2723.3333333333862,34.269272,31.257639
13.076235786238827,24.766105775898417,26.071022408605963,24.92952676571522,1542.8888888893837,34.272422,31.257608
20.360137317008363,26.131947804542982,33.36076726844915,24.949939553277837,1462.3333333307824,34.275572,31.257576
15.507519256187676,24.792476235820814,29.748595948852465,25.157200215473875,2253.5555555548235,34.278723,31.257545
11.968386024793402,22.281148103390688,25.933165528217366,25.083680442217485,2556.7777777755005,34.281873,31.257514
13.633223631089422,20.921477290785983,22.76251069712843,26.127635692964454,1324.7777777777826,34.285023,31.257482
14.116351274762813,23.112604183614263,25.96840307783848,28.08065592430383,329.99999999934687,34.288173,31.257451
15.83774733043343,19.931441079802745,21.669666635474933,20.958255914207534,974.1111111095482,34.291323,31.257419
