src,tgt,AEF_tacc,AEF_drop,AEF_cos_dist,AEF_kappa_ratio,AEF_mmd_lin,AEF_energy,AEF_dom_auc,S2_tacc,S2_drop,S2_cos_dist,S2_kappa_ratio,S2_mmd_lin,S2_energy,S2_dom_auc
AMZ,CGO,0.725,0.2243750000000001,0.48868147214537694,0.27921616670530497,0.7433092602260817,0.6256835127434918,1.0,0.696875,0.21749999999999992,0.360762241782542,0.7686540247160694,0.7581597697681777,0.29448729207961355,0.7850874724010032
AMZ,IBE,0.779375,0.17000000000000004,0.8409674136784255,0.2899423873380783,0.9723110924897449,0.9351004431966834,1.0,0.733125,0.1812499999999999,0.2757775903417856,0.11459820667155615,0.3767720583185481,0.10881062973171218,0.7291342202540672
AMZ,ROK,0.56625,0.38312500000000005,0.9268182187300783,0.3302557280871024,1.014480444942112,0.9841217344330812,1.0,0.735,0.17937499999999995,1.1980086311534777,0.13532454857388432,0.6836420525495412,0.2848251017169683,0.8724597977220272
AMZ,SAH,0.729375,0.22000000000000008,1.0977490636824423,0.1401080539898826,1.1739089697721723,1.3251951099028507,1.0,0.535,0.3793749999999999,1.1963280491139172,1.1636039210681273,2.832790939388345,2.3570049420312134,0.9281362780602831
AMZ,SEA,0.8875,0.061875000000000124,0.5324400812528389,0.4122318168136091,0.7616553857510345,0.612430894591315,1.0,0.816875,0.09749999999999992,0.6126346621245723,0.22253199319181824,0.5209098183895249,0.1831912944187719,0.9292652568504933
CGO,AMZ,0.71375,0.23250000000000004,0.48868147214537694,0.2792161667053051,0.7433092602260817,0.6060422185501765,1.0,0.719375,0.20937499999999998,0.360762241782542,0.7686540247160694,0.7581597697681777,0.27392764885434584,0.7970121154122806
CGO,IBE,0.541875,0.40437500000000004,0.9580532417859366,0.010726220632773186,0.9959953844611854,0.9379024396843616,1.0,0.62125,0.3075,0.6136988978544702,0.8832522313876255,1.056196853511365,0.5327285871429055,0.863041737814222
CGO,ROK,0.504375,0.441875,0.8082769519905113,0.05103956138179739,0.9089015316572391,0.8006523791133503,1.0,0.666875,0.26187499999999997,0.6264132734891261,0.633329476142185,0.9868641084590134,0.5142982794852666,0.8978821483747084
CGO,SAH,0.50375,0.4425,0.7908220962340671,0.4193242206951876,0.9616021420898323,0.9549938427888055,1.0,0.471875,0.456875,1.797508373281314,0.3949498963520579,3.516971317044412,3.524775745463941,0.9785306387955892
CGO,SEA,0.746875,0.19937500000000008,0.3449132584119773,0.13301565010830416,0.5861952459095462,0.3815717465789904,1.0,0.785625,0.14312499999999995,0.18008041896892746,0.5461220315242512,0.6761943561618456,0.22752198414440983,0.9097020246561461
IBE,AMZ,0.8475,0.06185308206134821,0.8409674136784255,0.2899423873380783,0.9723110924897449,0.9069296647505746,1.0,0.826875,0.028749389642476864,0.2757775903417856,0.11459820667155615,0.3767720583185481,0.11108713028026385,0.7388165425102735
IBE,CGO,0.535625,0.3737280820613482,0.9580532417859366,0.010726220632773268,0.9959953844611854,0.9422018025973574,1.0,0.625,0.2306243896424769,0.6136988978544702,0.8832522313876254,1.056196853511365,0.4851660627662282,0.8619674879127339
IBE,ROK,0.726875,0.1824780820613482,0.7930908676779915,0.04031334074902405,0.8987542707688786,0.7706180282303176,1.0,0.79875,0.05687438964247693,0.9544617602679203,0.2499227552454404,0.5746157305850131,0.16408952942128252,0.8824876938184503
IBE,SAH,0.675625,0.2337280820613482,0.9640335407804037,0.430050441327961,1.0593640170532606,1.099482638205083,1.0,0.684375,0.17124938964247693,1.2658479718928597,1.2782021277396833,2.69378398418915,2.203654348132184,0.9118129960782841
IBE,SEA,0.785,0.12435308206134821,0.9938079353602064,0.12228942947553073,0.9923125691403001,0.886329862755946,1.0,0.813125,0.042499389642476904,1.0572769882755735,0.33713019986337434,0.7202508566687887,0.27905601988006845,0.9279752187591868
ROK,AMZ,0.69375,0.18494591300894514,0.9268182187300783,0.3302557280871024,1.014480444942112,0.9529213196893128,1.0,0.725625,0.12929706114536454,1.1980086311534777,0.13532454857388426,0.6836420525495412,0.2809536571861444,0.8726708948642409
ROK,CGO,0.586875,0.2918209130089451,0.8082769519905113,0.05103956138179738,0.9089015316572391,0.7989739912744241,1.0,0.54625,0.3086720611453645,0.6264132734891261,0.6333294761421852,0.9868641084590134,0.5353744721792362,0.8854383627618387
ROK,IBE,0.86375,0.0149459130089451,0.7930908676779915,0.04031334074902404,0.8987542707688786,0.7583866368304595,1.0,0.741875,0.11304706114536456,0.9544617602679203,0.2499227552454403,0.5746157305850131,0.16506834420369687,0.8911614408396351
ROK,SAH,0.655625,0.2230709130089451,0.7456846703810951,0.47036378207698487,0.9274679044184376,0.8779560381263661,1.0,0.550625,0.3042970611453645,1.7842209497177766,1.028279372494243,3.0827385496542385,2.6422776787320843,0.9925130880228171
ROK,SEA,0.71,0.16869591300894515,0.7450931736025777,0.08197608872650677,0.8534338571992758,0.6798486040811403,1.0,0.75,0.10492206114536451,0.5484728493922865,0.08720744461793392,0.6128870844579731,0.2358830293052141,0.7521406813903015
SAH,AMZ,0.47375,0.4637457641187901,1.0977490636824423,0.14010805398988255,1.1739089697721723,1.2910293733151463,1.0,0.6075,0.2874838865613921,1.1963280491139172,1.1636039210681273,2.832790939388345,2.272206577996189,0.9289603387561844
SAH,CGO,0.518125,0.41937076411879015,0.7908220962340671,0.41932422069518754,0.9616021420898323,0.9558406623924539,1.0,0.565,0.3299838865613922,1.797508373281314,0.39494989635205785,3.516971317044412,3.383964926092779,0.9805149519323989
SAH,IBE,0.510625,0.4268707641187901,0.9640335407804037,0.43005044132796094,1.0593640170532606,1.0883564705076052,1.0,0.619375,0.27560888656139215,1.2658479718928597,1.2782021277396833,2.69378398418915,2.0457780614819936,0.9139224038178873
SAH,ROK,0.49875,0.43874576411879007,0.7456846703810951,0.470363782076985,0.9274679044184376,0.8780371166489916,1.0,0.563125,0.3318588865613922,1.7842209497177766,1.028279372494243,3.0827385496542385,2.6273105340735157,0.992667892593774
SAH,SEA,0.516875,0.4206207641187901,0.8643296579021502,0.5523398708034917,0.9860311035052567,0.9492307390173621,1.0,0.6075,0.2874838865613921,1.6335082121060092,0.941071927876309,3.003329367380761,2.4600988447804046,0.9874061008637782
SEA,AMZ,0.9275,-0.0068749999999999645,0.5324400812528389,0.4122318168136091,0.7616553857510345,0.6115230918084814,1.0,0.876875,-0.0006249999999999867,0.6126346621245723,0.22253199319181816,0.5209098183895249,0.17415500625391322,0.9307945383696419
SEA,CGO,0.769375,0.15125,0.3449132584119773,0.13301565010830416,0.5861952459095462,0.38634745708586415,1.0,0.8875,-0.011249999999999982,0.18008041896892746,0.5461220315242512,0.6761943561618456,0.1593017080673702,0.9034519855640828
SEA,IBE,0.696875,0.22375,0.9938079353602064,0.12228942947553079,0.9923125691403001,0.9085135193248026,1.0,0.79625,0.07999999999999996,1.0572769882755735,0.3371301998633744,0.7202508566687887,0.31626892227182823,0.9373119671751763
SEA,ROK,0.704375,0.21625000000000005,0.7450931736025777,0.08197608872650672,0.8534338571992758,0.7045701508062799,1.0,0.774375,0.10187499999999994,0.5484728493922865,0.08720744461793396,0.6128870844579731,0.2401806767002821,0.7725780121216671
SEA,SAH,0.675,0.24562499999999998,0.8643296579021502,0.5523398708034918,0.9860311035052567,0.9785083053136864,1.0,0.633125,0.24312499999999992,1.6335082121060092,0.9410719278763091,3.003329367380761,2.8276300010540765,0.9857564157894407
