event_id,s1_post_radd_any,s1_post_date_upper
F25375,19.4,19.4
RS678,7.5,7.5
F2143,12.838709677419356,8.1
F13139,4.64516129032258,5.354838709677419
F16349,4.64516129032258,4.64516129032258
F2142,8.7,8.7
F25386,8.7,15.066666666666666
RS1610,28.32258064516129,28.32258064516129
F3385,27.161290322580644,27.161290322580644
F2876,7.5,7.5
F29919,27.161290322580644,27.161290322580644
F9009,26.0,26.0
F6935,28.903225806451612,8.1
F16350,6.3,6.3
F16344,4.64516129032258,4.64516129032258
F30437,5.741935483870968,12.741935483870968
F28768,26.0,26.0
F30423,28.32258064516129,28.32258064516129
F16623,8.7,8.7
F39638,12.35483870967742,12.35483870967742
F13141,6.3,6.3
RS677,8.7,8.7
RS1558,5.419354838709678,5.419354838709678
F2150,19.4,19.4
F5570,6.3,6.3
F6941,9.580645161290322,9.580645161290322
F29917,1.4838709677419355,13.032258064516128
F24372,28.32258064516129,28.32258064516129
F2141,10.35483870967742,10.35483870967742
F30454,13.516129032258064,13.516129032258064
F29916,14.466666666666667,14.466666666666667
F16343,7.5,7.5
F41321,10.35483870967742,10.35483870967742
F25370,18.41935483870968,18.41935483870968
F29922,14.466666666666667,14.466666666666667
F2149,8.7,8.7
F13133,9.580645161290322,9.580645161290322
F24373,26.0,26.0
F16305,7.5,7.5
F2147,9.580645161290322,9.580645161290322
F16304,9.580645161290322,9.580645161290322
F2153,8.7,8.7
F41310,10.35483870967742,10.35483870967742
F6182,3.8666666666666667,4.193548387096774
F13142,23.32258064516129,23.32258064516129
F16309,9.580645161290322,9.580645161290322
F13132,7.5,7.5
F16310,5.419354838709678,5.419354838709678
F25393,15.266666666666666,15.266666666666666
F2148,11.67741935483871,8.1
F13140,4.64516129032258,5.354838709677419
F9013,9.580645161290322,9.580645161290322
F35311,11.193548387096774,11.67741935483871
F16303,5.419354838709678,5.419354838709678
F9012,3.8666666666666667,7.3
F2154,9.580645161290322,9.580645161290322
F41311,15.266666666666666,15.266666666666666
F28743,13.516129032258064,13.903225806451612
F1350,27.161290322580644,27.161290322580644
F39676,12.35483870967742,12.35483870967742
F3528,9.580645161290322,9.580645161290322
F3461,27.161290322580644,27.161290322580644
F1349,8.7,8.7
F2681,10.35483870967742,10.35483870967742
F39691,11.193548387096774,11.193548387096774
F3494,9.580645161290322,9.580645161290322
F3521,9.580645161290322,9.580645161290322
F16317,9.580645161290322,9.580645161290322
F37541,7.5,11.096774193548388
F1346,10.35483870967742,10.35483870967742
F13099,8.7,8.7
F26373,18.41935483870968,18.41935483870968
F16319,8.7,8.7
F39661,10.35483870967742,10.67741935483871
F16316,8.7,8.7
F1352,8.7,8.7
F3525,20.53333333333333,8.7
F16323,8.7,8.7
F3909,26.0,26.0
F15186,5.419354838709678,5.419354838709678
F11737,3.0666666666666664,5.483870967741936
F11740,9.580645161290322,9.580645161290322
F39660,9.580645161290322,10.67741935483871
F37555,11.193548387096774,11.193548387096774
F11000,27.161290322580644,27.161290322580644
RS502,4.64516129032258,4.64516129032258
F11732,8.7,8.7
F39674,11.67741935483871,10.67741935483871
F16313,6.3,6.3
F1347,27.161290322580644,27.161290322580644
RS2338,6.3,6.3
F37549,11.193548387096774,11.193548387096774
F1335,9.580645161290322,9.580645161290322
F26372,22.161290322580644,22.161290322580644
F40492,12.35483870967742,12.35483870967742
F3509,10.35483870967742,10.35483870967742
F16311,11.193548387096774,11.193548387096774
F3467,8.7,8.7
F16308,7.5,7.5
F25225,15.266666666666666,15.266666666666666
F32004,12.35483870967742,12.451612903225806
F39647,10.35483870967742,10.67741935483871
F15292,4.64516129032258,4.64516129032258
F40476,28.32258064516129,28.32258064516129
RS501,14.466666666666667,14.466666666666667
F3532,8.7,8.7
F16307,6.3,6.3
F40499,10.35483870967742,10.483870967741936
F40467,7.5,10.483870967741936
F39649,11.193548387096774,11.193548387096774
F16306,8.7,8.7
F25219,18.41935483870968,18.41935483870968
