event_id,region,in_custom_box,lon,lat,area_ha,classname,view_date,alert_code,image_before,image_after,bracket_days,bracket_mid,event_month,overlap_frac,ang_mean_deg,ang_npx,tau_deg,registered,clear_post,clear_total_2021,radd_date,radd_latency_days,block
A_84,A,False,-55.66684974632167,-4.447572171486556,16.126713796750828,DESMATAMENTO_CR,2021-07-26,396751,2021-05-28,2021-07-29,62,2021-06-28,6,0.8904075224916226,40.11866702631749,1545,11.393369413289843,1,18,27,,,-112_-9
A_85,A,False,-55.361138033395164,-4.324970995670996,6.616200052946061,DESMATAMENTO_CR,2021-06-24,347226,2021-06-03,2021-07-19,46,2021-06-26,6,0.8891069634994444,38.97778847650503,596,11.393369413289843,1,28,44,,,-111_-9
A_86,A,True,-56.088575685705074,-4.541807324943531,25.352815690272674,DESMATAMENTO_CR,2021-07-11,534227,2021-06-30,2021-07-18,18,2021-07-09,7,0.8880976038281179,46.085952650983536,2462,11.393369413289843,1,12,24,2021-08-26,48.0,-113_-10
A_87,A,False,-55.17685643595364,-4.2159594425305364,19.599671710627153,DESMATAMENTO_CR,2021-08-09,398159,2021-07-25,2021-08-22,28,2021-08-08,8,0.8877639089524301,34.040648188405015,1896,11.393369413289843,1,12,26,2021-08-14,6.0,-111_-9
A_88,A,True,-55.95873767670558,-4.847780495800041,9.978559232047107,DESMATAMENTO_CR,2021-05-03,327580,2021-04-13,2021-05-06,23,2021-04-24,4,0.8867656021695316,50.75031406749783,933,11.393369413289843,1,26,27,2021-05-16,21.0,-112_-10
A_89,A,False,-55.746795213464694,-4.347191165845649,24.917441896373965,DESMATAMENTO_CR,2021-07-26,397056,2021-06-22,2021-08-22,61,2021-07-22,7,0.8842683549599031,47.43081170380572,2446,11.393369413289843,1,17,31,,,-112_-9
A_90,A,False,-55.55086161231885,-4.259207019927536,22.58780581513578,DESMATAMENTO_CR,2021-08-18,781799,2021-07-26,2021-09-07,43,2021-08-16,8,0.8834526266395362,44.752550211284735,2134,11.393369413289843,1,11,31,2021-09-13,27.0,-112_-9
A_91,A,False,-55.15641354918539,-4.189958745216652,89.29711112686424,DESMATAMENTO_CR,2021-09-07,776909,2021-08-10,2021-10-06,57,2021-09-07,9,0.8826783952295977,24.61909154376999,8811,11.393369413289843,1,5,23,,,-111_-9
A_92,A,True,-55.997259660179175,-4.600018653073834,33.09961752919694,DESMATAMENTO_CR,2021-10-09,451035,2021-08-24,2021-10-24,61,2021-09-23,9,0.8807363984480727,26.063138110571128,3216,11.393369413289843,1,5,28,,,-112_-10
A_93,A,False,-55.15783389596287,-4.183166252097523,20.72999220167678,DESMATAMENTO_CR,2021-10-06,776909,2021-08-10,2021-10-06,57,2021-09-07,9,0.8806084729937872,23.282574937728924,2001,11.393369413289843,1,5,23,,,-111_-9
