p4_event_id,roi,lon,lat,area_ha,date_old,date_new,shift_days,clear_post_old,clear_post,s1_post,event_month,ang,registered,block
C0,CG1,28.680877334586768,0.4447296255905393,4.7591982837935145,2021-01-13,2021-01-01,-12,20.594,21.61898965307365,121.70967741935485,1,48.142,1,57_0
C1,CG1,28.68091070357111,0.4596061719623252,1.4367361520413229,2021-01-13,2021-01-13,0,21.416,21.679435483870968,118.2258064516129,1,51.201,1,57_0
C2,CG1,28.680667553806924,0.6373166884805338,3.5019404425625678,2021-01-08,2021-01-08,0,23.052,23.14474772539289,119.67741935483872,1,63.243,1,57_1
C3,CG1,28.68208412758572,0.5949300272692538,3.501968266590622,2021-01-21,2021-01-13,-8,21.72,21.871794871794872,118.2258064516129,1,52.295,1,57_1
C4,CG1,28.687294356478613,0.4494900184957641,1.7959226987752157,2021-01-01,2021-01-01,0,22.231,21.974193548387095,121.70967741935485,1,55.99,1,57_0
C5,CG1,28.689094195475345,0.4296417424027575,2.514298431703111,2021-01-01,2021-01-01,0,23.422,23.45046082949309,121.70967741935485,1,50.829,1,57_0
C6,CG1,28.69065662229698,0.6026733074915505,1.8856725647773496,2021-01-13,2021-01-13,0,22.274,22.270353302611365,118.2258064516129,1,56.423,1,57_1
C7,CG1,28.691965595897777,0.5928880878634492,1.0775290926684766,2021-01-15,2021-01-08,-7,24.799,24.782258064516128,119.67741935483872,1,38.846,1,57_1
C8,CG1,28.697355487795114,0.6153549529987273,1.3469057429506186,2021-03-14,2021-03-14,0,22.921,22.896774193548385,98.48387096774194,3,59.17,1,57_1
C9,CG1,28.698367068614704,0.6022090850122966,2.065260576558973,2021-03-02,2021-03-02,0,18.732,18.65357643758766,102.35483870967741,3,56.972,1,57_1
C10,CG1,28.69856925779167,0.5894504646589623,3.8611483197954,2021-01-03,2021-01-03,0,26.308,26.298574643660917,121.12903225806451,1,54.564,1,57_1
C11,CG1,28.701667401174472,0.4308897587155271,1.8857235588487116,2021-01-27,2021-01-27,0,19.682,19.924731182795696,114.16129032258064,1,52.744,1,57_0
C12,CG1,28.71835360780112,0.5705424944255345,1.0775333679636023,2021-01-03,2021-01-03,0,23.838,23.81989247311828,121.12903225806451,1,58.713,1,57_1
C13,CG1,28.718875753137688,0.6229872639984231,1.4366974077056525,2021-03-14,2021-04-07,24,23.492,22.016666666666666,90.66666666666667,4,51.915,1,57_1
C14,CG1,28.721592033965376,0.601125638485923,1.3469093640079888,2021-11-16,2021-02-01,-288,3.822,22.623809523809527,112.64285714285714,2,21.247,1,57_1
C15,CG1,28.72185185429475,0.6267511182921731,1.167315829001577,2021-01-01,2021-01-01,0,25.355,25.506203473945412,121.70967741935485,1,59.555,1,57_1
C16,CG1,28.722266461480352,0.603035595249838,2.334642083453472,2021-01-01,2021-01-01,0,23.349,23.491315136476427,121.70967741935485,1,52.697,1,57_1
C17,CG1,28.72660339419451,0.4700403747641017,2.6040804304105496,2021-05-25,2021-04-07,-48,22.5,27.740229885057474,90.66666666666667,4,41.439,1,57_0
C18,CG1,28.732299952313383,0.5659001296975694,1.257123257103287,2021-01-01,2021-01-01,0,23.558,23.497695852534562,121.70967741935485,1,56.43,1,57_1
C19,CG1,28.73943257535866,0.5207803196178843,1.3469278432561649,2021-03-26,2021-03-26,0,34.791,34.57204301075268,94.61290322580645,3,43.364,1,57_1
C20,CG1,28.74011529509918,0.5250563004107841,5.83668332156149,2021-02-01,2021-02-01,0,37.215,37.22637362637362,112.64285714285714,2,44.667,1,57_1
C21,CG1,28.74265624447353,0.6264786622430082,1.25710946926223,2021-01-13,2021-01-13,0,27.087,27.377880184331794,118.2258064516129,1,51.203,1,57_1
C22,CG1,28.74418338024708,0.6137097525986938,1.885668702414793,2021-01-13,2021-01-13,0,26.038,25.485407066052225,118.2258064516129,1,49.121,1,57_1
C23,CG1,28.74522699884564,0.5654996135788323,2.783630319511785,2021-01-01,2021-01-01,0,39.885,39.587929240374606,121.70967741935485,1,55.6,1,57_1
C24,CG1,28.746583165045248,0.508927049465904,1.795907120294512,2021-01-21,2021-01-13,-8,39.487,41.28709677419355,118.2258064516129,1,49.338,1,57_1
C25,CG1,28.75342159037569,0.5256251265023267,5.02852686390144,2021-02-20,2021-02-20,0,42.703,42.8954081632653,105.85714285714286,2,34.272,1,57_1
C26,CG1,28.754583785691167,0.5607003280020998,1.436713591489408,2021-01-13,2021-01-13,0,49.153,49.064516129032256,118.2258064516129,1,53.003,1,57_1
C27,CG1,28.75549573613846,0.5189888221981882,1.257133016143657,2021-01-09,2021-01-15,6,47.669,46.86175115207374,117.64516129032258,1,45.798,1,57_1
C28,CG1,28.75637480198301,0.5302665293051831,1.3469257997574544,2021-01-01,2021-01-01,0,48.98,49.09462365591398,121.70967741935485,1,42.977,1,57_1
C29,CG1,28.759210911741476,0.5397399049989129,1.2571288036786892,2021-05-01,2021-05-01,0,30.531,30.960829493087555,82.67741935483872,5,34.909,1,57_1
C30,CG1,28.76195854025768,0.4923736991164155,1.7061160803932602,2021-01-01,2021-01-09,8,41.222,40.59592529711376,91.67741935483872,1,44.27,1,57_0
C31,CG1,28.76189045746988,0.5405252892643407,1.3469235441855325,2021-01-08,2021-01-08,0,51.109,51.204301075268816,119.67741935483872,1,48.032,1,57_1
C32,CG1,28.762904430845715,0.5610708830107887,1.4367134881216583,2021-01-01,2021-01-01,0,47.507,48.27620967741936,121.70967741935485,1,54.294,1,57_1
C33,CG1,28.7631614289719,0.5873112882380506,2.783619659764466,2021-01-25,2021-01-25,0,42.097,42.268470343392295,114.74193548387098,1,53.951,1,57_1
C34,CG1,28.76694925600476,0.5136951787852008,1.257134057130254,2021-02-26,2021-02-26,0,36.39,36.35714285714286,79.5,2,43.16,1,57_1
C35,CG1,28.767121919141687,0.4585695361938126,2.963268756987524,2021-01-01,2021-01-01,0,43.465,43.68426197458455,93.74193548387098,1,56.255,1,57_0
C36,CG1,28.768816468093007,0.4959239354350099,1.795910694649157,2021-01-01,2021-01-01,0,42.977,43.458064516129035,93.74193548387098,1,40.768,1,57_0
C37,CG1,28.769541537496465,0.4984045692151614,1.8857055287473885,2021-01-09,2021-01-09,0,44.328,44.25806451612904,91.67741935483872,1,49.592,1,57_0
C38,CG1,28.77004992458951,0.5393104907719173,1.167333963576307,2021-01-01,2021-03-14,72,50.874,38.35235732009926,75.38709677419355,3,26.69,1,57_1
C39,CG1,28.771832734934957,0.5310390802259095,2.334671087329641,2021-01-03,2021-01-03,0,50.332,50.38585607940446,93.2258064516129,1,46.921,1,57_1
C40,CG1,28.772540393723407,0.5403611425883125,1.9754878942735128,2021-02-06,2021-02-06,0,45.834,45.61038961038961,84.5,2,36.555,1,57_1
C41,CG1,28.77267922417939,0.5229542425703775,1.0775419022610813,2021-01-01,2021-01-01,0,46.405,46.443548387096776,93.74193548387098,1,37.827,1,57_1
C42,CG1,28.7743770403457,0.5419625940203684,1.3469232250036376,2021-05-15,2021-05-15,0,33.306,33.01505376344086,60.12903225806451,5,40.631,1,57_1
C43,CG1,28.77428121986065,0.5437053257131357,1.616307422230557,2021-01-13,2021-01-13,0,49.545,49.70609318996416,90.64516129032258,1,49.045,1,57_1
C44,CG1,28.774305174962908,0.5242657825251646,1.346927070933771,2021-01-01,2021-01-03,2,45.182,45.5741935483871,93.2258064516129,1,44.234,1,57_1
C45,CG1,28.77531948993381,0.438819204789434,4.130628199649551,2021-01-01,2021-01-01,0,54.04,54.13674614305751,93.74193548387098,1,54.894,1,57_0
C46,CG1,28.77667672744388,0.513252437805435,1.3469294402171434,2021-01-25,2021-01-25,0,38.227,37.98494623655914,87.54838709677419,1,34.028,1,57_1
C47,CG1,28.77811403192412,0.4292749305808473,1.616334807799526,2021-01-13,2021-01-13,0,59.35,59.392473118279575,90.64516129032258,1,56.95,1,57_0
C48,CG1,28.77903031353791,0.5125158194674186,1.3469295914439117,2021-02-06,2021-02-08,2,37.372,37.076190476190476,84.0,2,48.395,1,57_1
C49,CG1,28.77906624594735,0.4891596217790329,1.3469343930825577,2021-01-01,2021-01-01,0,41.499,41.36989247311828,93.74193548387098,1,34.824,1,57_0
C50,CG1,28.78035739209374,0.4352228296972595,3.322463390238984,2021-01-01,2021-01-01,0,60.558,60.5178727114211,93.74193548387098,1,59.347,1,57_0
C51,CG1,28.78195432916017,0.4316629520105174,1.077556205351045,2021-01-01,2021-01-01,0,61.698,61.76612903225806,93.74193548387098,1,55.245,1,57_0
C52,CG1,28.78207352916997,0.5103916488246011,1.1673393669972365,2021-01-01,2021-01-01,0,44.976,44.89081885856079,93.74193548387098,1,44.365,1,57_1
C53,CG1,28.78389132194945,0.5323023359485763,1.436720375637266,2021-02-14,2021-02-14,0,47.714,47.375,82.5,2,37.963,1,57_1
C54,CG1,28.78429315742352,0.5021069113360461,1.2571363407332723,2021-01-03,2021-01-01,-2,36.818,37.22119815668202,93.74193548387098,1,41.195,1,57_1
C55,CG1,28.78587078886091,0.6369504523047282,2.065247061510414,2021-01-01,2021-01-01,0,57.216,57.16690042075736,121.49228611500702,1,61.205,1,57_1
C56,CG1,28.787658631630077,0.6021856508842037,1.0775272734515788,2021-01-09,2021-01-09,0,51.684,51.93279569892472,91.67741935483872,1,53.599,1,57_1
C57,CG1,28.788676146147267,0.4297091162111345,2.334705708418684,2021-01-01,2021-01-01,0,61.144,61.311414392059554,93.74193548387098,1,65.778,1,57_0
C58,CG1,28.790645529714,0.4753884482002996,1.2571413119729256,2021-02-26,2021-02-08,-18,35.924,38.07142857142857,84.0,2,45.48,1,57_0
C59,CG1,28.793609970323946,0.4542780391067444,1.0775529186749748,2021-02-06,2021-02-06,0,41.434,41.642857142857146,84.5,2,45.726,1,57_0
C60,CG1,28.794643033373724,0.5417290323252337,1.0775386275306509,2021-02-02,2021-01-27,-6,40.144,41.524193548387096,87.03225806451613,1,48.67,1,57_1
C61,CG1,28.79569203325835,0.4447312661830365,2.783682022538291,2021-01-13,2021-01-13,0,57.11,57.54006243496359,90.64516129032258,1,54.894,1,57_0
C62,CG1,28.797172688827004,0.4525730370203996,2.244902424152949,2021-01-13,2021-01-13,0,90.394,84.79354838709676,90.64516129032258,1,50.665,1,57_0
C63,CG1,28.79761511856753,0.4634131411421809,4.220410194088227,2021-01-01,2021-01-01,0,91.572,88.66094715168153,93.74193548387098,1,52.246,1,57_0
C64,CG1,28.79981627211345,0.5960903173028272,3.052997311793368,2021-01-09,2021-01-01,-8,102.315,105.24193548387096,93.74193548387098,1,39.064,1,57_1
C65,CG1,28.801518600347865,0.4323418712087393,1.1673524466949892,2021-03-14,2021-03-14,0,85.494,85.60794044665012,75.38709677419355,3,49.192,1,57_0
C66,CG1,28.8017525565442,0.4445120687873754,1.2571467587155578,2021-01-21,2021-01-21,0,109.257,109.04377880184332,88.58064516129032,1,44.606,1,57_0
C67,CG1,28.8023901039816,0.4990770223576128,2.2448873015123567,2021-01-09,2021-01-09,0,84.625,84.41935483870967,91.67741935483872,1,45.548,1,57_0
C68,CG1,28.802984531984603,0.5043398666918293,1.2571358826394927,2021-01-13,2021-01-03,-10,84.207,87.96082949308756,93.2258064516129,1,55.131,1,57_1
C69,CG1,28.80246286757604,0.5827281415166676,1.7958850919242009,2021-02-02,2021-02-02,0,87.381,86.87857142857143,85.5,2,49.547,1,57_1
C70,CG1,28.80302303132694,0.4319805709048978,1.2571488505346975,2021-05-27,2021-05-27,0,59.562,58.7741935483871,57.03225806451613,5,47.06,1,57_0
C71,CG1,28.803286822371422,0.4467870877929702,2.424496555808321,2021-01-09,2021-01-09,0,109.62,109.97968936678615,91.67741935483872,1,58.809,1,57_0
C72,CG1,28.80565637844673,0.5167558669184645,1.346928698001418,2021-01-21,2021-01-13,-8,90.263,92.87741935483871,90.64516129032258,1,56.842,1,57_1
C73,CG1,28.80684215416385,0.4350810415256502,1.346944648870403,2021-01-01,2021-01-01,0,107.702,108.15698924731183,93.74193548387098,1,56.605,1,57_0
C74,CG1,28.80709967139592,0.5176092666319169,1.6163142187359048,2021-01-03,2021-01-03,0,96.269,96.80824372759857,93.2258064516129,1,56.155,1,57_1
C75,CG1,28.807013362564184,0.4691028835047098,1.5265301180053146,2021-01-03,2021-01-03,0,88.149,88.06831119544593,93.2258064516129,1,59.699,1,57_0
C76,CG1,28.80896079646737,0.4788607823349394,1.1673449201245325,2021-02-02,2021-02-02,0,70.657,70.96703296703298,85.5,2,45.229,1,57_0
C77,CG1,28.809768416524296,0.5651189163632058,2.1550687387700287,2021-01-15,2021-01-09,-6,87.024,88.74327956989248,91.67741935483872,1,53.51,1,57_1
C78,CG1,28.81096893644432,0.4985122555041886,2.0652965344961127,2021-01-15,2021-01-15,0,91.205,90.76998597475458,90.12903225806451,1,43.203,1,57_0
C79,CG1,28.811272645345426,0.4391629862228769,2.2449065295684605,2021-01-01,2021-01-01,0,110.377,110.33548387096774,93.74193548387098,1,55.446,1,57_0
C80,CG1,28.81299433063532,0.4479320834652185,1.8857192500779028,2021-01-13,2021-01-13,0,102.517,103.13978494623655,90.64516129032258,1,54.912,1,57_0
C81,CG1,28.812339844125937,0.4705375460082706,1.0775504490785262,2021-01-09,2021-01-09,0,78.526,78.13440860215053,91.67741935483872,1,49.521,1,57_0
C82,CG1,28.814084467290336,0.5821153960216556,1.7060910142277026,2021-01-25,2021-01-25,0,94.471,94.57385398981324,87.54838709677419,1,47.467,1,57_1
C83,CG1,28.814919292171325,0.4271296681650513,1.257149653274302,2021-02-14,2021-02-02,-12,95.251,97.90816326530613,85.5,2,58.997,1,57_0
C84,CG1,28.816911627169564,0.4417304998079867,2.5142944272751366,2021-01-09,2021-01-09,0,99.068,99.79262672811059,91.67741935483872,1,58.725,1,57_0
C85,CG1,28.816719130976487,0.4448922486875649,5.028586693983082,2021-01-01,2021-01-01,0,107.152,106.90956221198158,93.74193548387098,1,60.281,1,57_0
C86,CG1,28.81731426492657,0.5072337250256619,2.1550891354126525,2021-01-01,2021-01-01,0,91.539,91.70967741935485,93.74193548387098,1,53.088,1,57_1
C87,CG1,28.819015959970304,0.6411827420861094,3.9509041485106193,2021-01-01,2021-01-01,0,113.618,113.4567448680352,93.74193548387098,1,64.748,1,57_1
C88,CG1,28.82121969056223,0.4771805870500052,1.7959157211569188,2021-01-01,2021-01-01,0,80.232,81.30967741935484,93.74193548387098,1,48.882,1,57_0
