ang_event,ang_prior,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,event_id,cohort
26.426883512759787,10.039205915392639,2.2348547244823833,0.00018097097339584214,0.36172392664263253,2.883325733502431,5.622547273323172,3.9907191814982137,6.0,5.772186756344672,4.110307508157946,3.0,1.8150498026418904,1.0,E535,2021
41.245082069961015,21.121616407416973,1.9958560910392722,1.5199085045177474,0.4112291062082599,1.5741975136546242,5.343561100480284,1.4087833128461185,7.16420714475803,11.029669501083516,7.327603249230147,4.089122555790702,1.9228688015612543,0.847670160053732,E1015,2021
41.45689311265663,8.035249759292185,1.4143600896269937,2.3499242124686948,2.687524713325424,2.2127323052589953,7.013081586925009,3.4077369184130752,6.156089363384742,10.880288651640972,6.149284961117705,6.0,2.595426387241333,1.339824700144985,E1016,2021
23.61677036296223,10.63875310726563,3.5671499988604976,0.9615893436029735,3.768326703720763,3.9025508597200895,6.0,4.641787219511723,6.0,5.0,4.907023279672523,2.956519903595084,1.2336268744206782,1.7203876371268783,E1056,2021
19.74618007712563,17.437757908720677,1.0,1.9617848370522522,2.818791864497686,1.973724789877553,2.0091911428588842,5.957841422311071,3.934991558532587,3.9877492061363684,4.404068970140972,3.0027122404324946,2.4649694339645634,3.7515709662280345,E1070,2021
25.004212249751813,10.660555779920042,3.767121447417209,1.0835639478336567,3.218697775891068,4.0,6.0,4.322794026770986,6.0,5.0,4.716615528460966,3.9838041451501103,0.04817917537628229,1.0,E1115,2021
12.461551943801163,8.975054084841847,0.260045697910529,3.3701827492507332,3.9549718733175925,3.8943521960855807,5.739644844995919,8.059191087635709,9.99170824554786,10.461659113935328,9.703124668817344,2.242966209828872,5.105067041971711,2.0,E1696,2021
14.456794053937342,6.69990767020205,2.2230035919431357,0.20302814446583112,0.8375087777794619,1.718514926014056,1.350009851320834,2.514809818988295,5.1991937072793695,5.0,4.913399311923131,4.0,0.8131330736626207,0.05331837953350209,E1796,2021
17.07666201961417,15.679930901541795,1.947742643979575,1.0279844207476532,1.8676823974938042,1.0,5.1907308121592965,6.0,5.919688127380339,6.0,5.846633871393885,5.134812295890769,2.4848152614844836,0.0,E2018,2021
15.643241063530965,6.333500099433482,1.9633165092369629,2.9567586660387244,1.2190768369514033,2.593909114335732,1.8171445835591853,0.8868194460488552,6.0,6.0,3.3595928450198587,2.0,0.7933590730159861,0.0,E2035,2021
22.973320465011604,7.579776349885763,0.3093554542022509,0.0,0.23703408940177745,1.41830175395635,2.0220902588590604,1.9331119205771012,3.8594998316446785,4.677038374809964,1.759052924791086,0.7729856030691683,1.512065464711704,2.869325660412013,E2256,2021
18.525017141137557,20.73198877527727,1.0,2.0,0.9397049878345503,0.767373783454988,3.209572688564476,3.1170240267639904,3.919692822384429,4.083607055961073,3.0,2.539233576642334,0.6778588807785889,0.0035964111922141126,E2329,2021
17.700501479698893,11.043781314942882,0.4072632524940355,1.8305639785606664,1.1628606896016649,1.1691159831640467,1.980910848327719,1.464786091589135,5.886460764600531,3.9296756298935134,2.8849025984521774,1.0779891251640599,1.2751908915167225,0.009164732428605599,E2477,2021
12.162262191518282,4.787597525023663,0.10497025571697571,1.7964810010139234,0.0,1.665247852084133,3.0,1.9818561144132079,6.0,6.117970832560396,4.082364092386429,3.8997690085154284,1.5861771036361467,0.0,E3134,2021
16.455951468237945,6.047644291276056,0.9214395262858535,1.894610282765907,1.0876355935646376,0.05784563662956039,3.488502478264401,2.4448281465832444,6.0,7.0,3.5751985658568324,1.9883805964085486,1.920393373689771,0.04979381652717964,E3476,2021
22.50794439251247,21.574926420315578,8.764570726602665,0.0,2.0,3.300445880158334,8.105896537604076,9.714272714864192,10.0,11.983211247099502,12.0,4.267732835888801,0.0,0.0666317848855726,E3600,2021
17.934074834292606,4.129804152214828,2.0,2.0,2.0,9.944107912175577,3.9706824283505053,4.639806026791441,13.836622589621646,7.406142484937688,5.615641014277418,6.763735687011774,0.010522043576328554,0.006929947121541153,E3765,2021
31.347787611990057,21.31520454064851,1.8797912811021997,3.9437332922064563,0.1015731030228254,1.932870655973679,1.708950236479538,1.4717766810610733,1.833389882788402,2.8283466995681663,4.015288916306807,3.891862019329629,1.5541486736582353,1.1290252930289948,E3991,2021
