variant,n,coef,ci_lo,ci_hi,crosses_zero,nboot_ok
main (tau p90),38303,0.21736707639086295,0.11633064014947563,0.33549084252593026,False,1000
tau p85,38303,0.2224092181406231,0.09697455174752867,0.354391165268249,False,1000
tau p95,38303,0.18822417267670027,0.09024539736354731,0.29693933714708315,False,1000
radd_high only,38101,0.19590369011452421,0.0983045566260299,0.300484379567537,False,1000
date_upper,38303,0.21821256024374813,0.11591625724995028,0.3456109938438978,False,1000
no radd_only,35221,0.4630507046194547,0.31410403607046644,0.612962838692628,False,1000
size < 5 ha,221,-0.09069152567222838,-0.8845869207214113,0.7029138015390145,True,1000
size 5-25 ha,29953,0.32326926740730866,0.19933313964934846,0.4493317052210136,False,1000
size >= 25 ha,8129,0.19351328334578793,0.0777835483959382,0.35387708779113686,False,1000
