event_id,uf,radd_any,cp,reg_now,reg_next,truth_year,pred_naive,pred_two_year,pred_k0
E92,RO,2021-06-14,20.133,1,0.0,2021,2021,2021,2021
E93,RO,2021-05-20,49.419,1,0.0,2021,2021,2021,2021
E94,RO,2021-08-06,21.677,1,0.0,2021,2021,2021,2021
E95,PA,2021-01-18,43.0,1,0.0,2021,2021,2021,2021
E96,PA,2021-08-14,22.387,1,0.0,2021,2021,2021,2021
E97,PA,2021-08-20,6.419,1,0.0,2021,2021,2021,2021
E98,MT,2021-08-08,39.419,1,0.0,2021,2021,2021,2021
E99,PA,2021-09-13,15.4,1,0.0,2021,2021,2021,2021
E100,PA,2021-06-21,19.6,1,0.0,2021,2021,2021,2021
E101,PA,2021-07-27,22.516,1,0.0,2021,2021,2021,2021
E102,PA,2021-07-27,15.645,1,0.0,2021,2021,2021,2021
E103,PA,2021-09-25,6.667,1,0.0,2021,2021,2021,2021
E104,PA,2021-09-01,3.967,1,0.0,2021,2021,2021,2021
E105,PA,2021-09-14,9.667,1,0.0,2021,2021,2021,2021
E106,PA,2021-08-03,33.032,1,0.0,2021,2021,2021,2021
E107,PA,2021-09-13,4.7,1,0.0,2021,2021,2021,2021
E108,PA,2021-08-10,10.032,1,0.0,2021,2021,2021,2021
E109,PA,2021-02-22,101.0,1,0.0,2021,2021,2021,2021
E110,PA,2021-07-05,15.516,1,0.0,2021,2021,2021,2021
E111,PA,2021-05-30,13.065,1,0.0,2021,2021,2021,2021
E112,AP,2021-09-19,6.467,1,0.0,2021,2021,2021,2021
E113,PA,2021-08-10,14.129,1,0.0,2021,2021,2021,2021
E114,PA,2021-05-01,23.839,1,0.0,2021,2021,2021,2021
E115,PA,2021-09-10,6.0,1,0.0,2021,2021,2021,2021
E116,PA,2021-01-01,16.968,1,0.0,2021,2021,2021,2021
E117,PA,2021-01-01,19.0,1,0.0,2021,2021,2021,2021
E118,PA,2021-01-01,45.935,1,0.0,2021,2021,2021,2021
E119,PA,2021-01-01,52.968,1,0.0,2021,2021,2021,2021
E120,PA,2021-01-01,43.968,1,0.0,2021,2021,2021,2021
E121,PA,2021-08-26,7.806,1,0.0,2021,2021,2021,2021
E122,PA,2021-05-01,22.871,1,0.0,2021,2021,2021,2021
E123,PA,2021-07-12,10.452,1,0.0,2021,2021,2021,2021
E124,PA,2021-01-01,26.0,1,0.0,2021,2021,2021,2021
E125,PA,2021-01-25,31.0,1,0.0,2021,2021,2021,2021
E126,PA,2021-09-22,6.067,1,0.0,2021,2021,2021,2021
E127,PA,2021-09-20,9.667,1,0.0,2021,2021,2021,2021
E128,PA,2021-02-01,21.964,1,0.0,2021,2021,2021,2021
E131,PA,2021-06-27,33.0,1,0.0,2021,2021,2021,2021
E132,PA,2021-07-03,27.032,1,0.0,2021,2021,2021,2021
E133,AM,2021-08-23,6.29,1,0.0,2021,2021,2021,2021
E134,PA,2021-09-19,15.467,1,0.0,2021,2021,2021,2021
E137,RR,2021-09-28,7.267,1,0.0,2021,2021,2021,2021
E138,PA,2021-09-13,3.567,1,0.0,2021,2021,2021,2021
E141,PA,2021-08-08,27.903,1,0.0,2021,2021,2021,2021
E142,PA,2021-08-26,4.806,1,0.0,2021,2021,2021,2021
E144,PA,2021-07-12,14.29,1,0.0,2021,2021,2021,2021
E145,PA,2021-01-23,23.258,1,0.0,2021,2021,2021,2021
E146,PA,2021-01-01,23.968,1,0.0,2021,2021,2021,2021
E147,PA,2021-07-28,22.581,1,0.0,2021,2021,2021,2021
E148,PA,2021-04-29,56.0,1,0.0,2021,2021,2021,2021
E149,PA,2021-05-05,43.355,1,0.0,2021,2021,2021,2021
E150,PA,2021-08-27,7.645,1,0.0,2021,2021,2021,2021
E151,PA,2021-05-11,39.29,1,0.0,2021,2021,2021,2021
E152,PA,2021-07-12,14.677,1,0.0,2021,2021,2021,2021
E153,PA,2021-07-10,31.419,1,0.0,2021,2021,2021,2021
E154,PA,2021-08-03,15.516,1,0.0,2021,2021,2021,2021
E155,PA,2021-01-11,23.0,1,0.0,2021,2021,2021,2021
E156,PA,2021-09-20,10.0,1,0.0,2021,2021,2021,2021
E157,PA,2021-05-11,43.161,1,0.0,2021,2021,2021,2021
E158,PA,2021-09-20,7.333,1,0.0,2021,2021,2021,2021
E159,PA,2021-04-05,23.667,1,0.0,2021,2021,2021,2021
E160,PA,2021-03-31,22.0,1,0.0,2021,2021,2021,2021
E161,PA,2021-07-17,13.355,1,0.0,2021,2021,2021,2021
E162,PA,2021-04-24,15.2,1,0.0,2021,2021,2021,2021
E163,PA,2021-09-03,12.4,1,0.0,2021,2021,2021,2021
E164,PA,2021-07-17,11.806,1,0.0,2021,2021,2021,2021
E165,PA,2021-08-10,15.065,1,0.0,2021,2021,2021,2021
E166,PA,2021-04-12,22.8,1,0.0,2021,2021,2021,2021
E167,PA,2021-08-27,14.774,1,0.0,2021,2021,2021,2021
E168,PA,2021-01-18,22.0,1,0.0,2021,2021,2021,2021
E169,PA,2021-08-20,5.419,1,0.0,2021,2021,2021,2021
E170,PA,2021-01-06,26.806,1,0.0,2021,2021,2021,2021
E171,PA,2021-01-18,20.419,1,0.0,2021,2021,2021,2021
E172,PA,2021-10-04,1.871,1,0.0,2021,2021,2021,2021
E173,PA,2021-06-11,18.267,1,0.0,2021,2021,2021,2021
E174,PA,2021-01-01,44.935,1,0.0,2021,2021,2021,2021
E175,PA,2021-01-01,46.0,1,0.0,2021,2021,2021,2021
E176,PA,2021-07-29,14.323,1,0.0,2021,2021,2021,2021
E177,PA,2021-09-03,15.4,1,0.0,2021,2021,2021,2021
E178,PA,2021-04-12,16.0,1,0.0,2021,2021,2021,2021
E179,PA,2021-05-18,21.839,1,0.0,2021,2021,2021,2021
